Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,776.4296875
1,0,1,1,1408.51881470713,9.85963170294993,728.315104166667
2,0,2,2,1257.97635004462,8.80583445031233,696.497395833333
3.003,0,3,3,1585.43020726391,11.0980114508474,719.002604166667
4.001,2,4,4,1614.18654601048,11.2993058220733,714.346354166667
5.001,0,5,5,1637.47813571815,11.462346950027,696.109375
6,5,6,6,1199.13502260355,8.39394515822482,712.794270833333
6.999,11,7,7,1484.63948738592,10.3924764117014,699.989583333333
8.001,12,8,8,1468.36635740617,10.2785645018432,699.989583333333
9,27,9,9,1765.79213435147,12.3605449404603,699.213541666667
10.001,44,10,10,1519.46658515523,10.6362660960866,705.809895833333
11,38,11,11,1384.577390813,9.69204173569099,696.109375
12,54,12,12,1529.41982574217,10.7059387801952,696.885416666667
13.001,65,13,13,1463.74035487769,10.2461824841438,696.497395833333
14,82,14,14,1843.46331230379,12.9042431861265,703.869791666667
15,92,15,15,1749.81609432849,12.2487126602994,703.869791666667
16,115,16,16,1655.27010027769,11.5868907019438,699.213541666667
17.001,117,17,17,1568.4033498611,10.9788234490277,698.825520833333
18,150,18,18,1233.1234385612,8.63186406992842,713.958333333333
19.001,155,19,19,1632.81818325825,11.4297272828078,712.40625
20,175,20,20,1728.81935193273,12.1017354635291,696.885416666667
21,257,21,21,1692.57719421688,11.8480403595182,700.765625
22.001,323,22,22,1636.04870833123,11.4523409583186,706.197916666667
23.001,397,23,23,1362.78973665239,9.53952815656673,696.109375
24,544,24,24,1595.62181382085,11.1693526967459,704.2578125
25.001,737,25,25,1516.54231019723,10.6157961713806,698.825520833333
26,1074,26,26,1408.4244218129,9.85897095269027,705.809895833333
27,1332,27,27,1408.25545974236,9.85778821819652,697.2734375
28.001,1691,28,28,1471.87036204917,10.3030925343442,736.463541666667
29,2200,29,29,1698.20072732597,11.8874050912818,708.138020833333
30,2805,30,30,1342.4794252505,9.39735597675347,704.645833333333
31.001,3507,31,31,1502.41385605343,10.516896992374,698.4375
32,4158,32,32,1442.93213395882,10.1005249377118,701.153645833333
33.001,4754,33,33,1437.51997251181,10.0626398075827,696.109375
34,5544,34,34,1441.30717573473,10.0891502301431,700.377604166667
35.001,6123,35,35,1530.94524589868,10.7166167212908,712.018229166667
36.001,6704,36,36,1332.43542791591,9.32704799541136,711.2421875
37,6970,37,37,1703.54743207993,11.9248320245595,696.497395833333
38.001,7261,38,38,1499.1818507585,10.4942729553095,722.494791666667
39.001,7185,39,39,1661.09968796642,11.6276978157649,696.109375
40.001,6854,40,40,1396.26283642631,9.77383985498416,704.645833333333
41,6697,41,41,1520.00910451034,10.6400637315724,715.122395833333
42.001,6022,42,42,1303.0229243167,9.12116047021687,696.109375
43.001,5399,43,43,1163.15123554546,8.1420586488182,698.4375
44,4712,44,44,1265.31598906163,8.85721192343139,708.138020833333
45,4113,45,45,1594.41503634489,11.1609052544142,713.958333333333
46.001,3452,46,46,1522.57992685184,10.6580594879629,699.6015625
47.001,2804,47,47,1765.14756633655,12.3560329643558,712.40625
48.001,2286,48,48,1585.46916508011,11.0982841555608,706.5859375
49,1845,49,49,1890.66620393638,13.2346634275547,704.645833333333
50.001,1441,50,50,1376.88974615396,9.63822822307775,696.497395833333
51,1156,51,51,1469.33424465375,10.2853397125762,696.109375
52,917,52,52,1428.53565078013,9.99974955546094,729.479166666667
53.001,820,53,53,1622.80658028683,11.3596460620078,745.388020833333
54.001,717,54,54,1616.40803470036,11.3148562429025,720.5546875
55.001,712,55,55,1676.26323674236,11.7338426571965,703.869791666667
56,714,56,56,1536.08553501418,10.7525987450993,715.510416666667
57.001,892,57,57,1592.57469035598,11.1480228324919,696.497395833333
57.999,924,58,58,1657.55678535,11.60289749745,715.8984375
59,1175,59,59,1689.91269849113,11.8293888894379,696.109375
60,1430,60,60,1429.46680888029,10.006267662162,710.078125
61,1783,61,61,1728.6810163845,12.1007671146915,705.033854166667
62.001,2279,62,62,1855.0815604228,12.9855709229596,724.822916666667
63.001,3105,63,63,1992.52497593493,13.9476748315445,703.869791666667
63.999,4147,64,64,1585.06964365035,11.0954875055525,722.494791666667
65,5526,65,65,1550.46994744107,10.8532896320875,711.2421875
66,7045,66,66,1436.76623813306,10.0573636669314,699.213541666667
67.001,9239,67,67,1385.70519706386,9.69993637944704,701.9296875
68.001,11655,68,68,1656.4597932436,11.5952185527052,708.9140625
69.001,14486,69,69,1595.39725891558,11.1677808124091,696.109375
70.001,17584,70,70,1452.14103674458,10.164987257212,697.661458333333
71,20599,71,71,1607.6784589752,11.2537492128264,715.510416666667
72.001,24349,72,72,1423.1472173028,9.96203052111963,703.869791666667
73.001,28450,73,73,1517.51178550737,10.6225824985516,701.153645833333
74.001,31842,74,74,1663.27881474996,11.6429517032497,699.6015625
75,35330,75,75,1449.86435713459,10.1490504999421,720.942708333333
76,38034,76,76,1585.6682205476,11.0996775438332,715.122395833333
77,40266,77,77,1562.99876281789,10.9409913397252,739.1796875
78,41495,78,78,1545.02859301838,10.8152001511287,710.078125
79,42218,79,79,1705.08907513486,11.935623525944,753.1484375
80,41850,80,80,1371.98914599217,9.60392402194518,737.239583333333
81,40594,81,81,1103.36449579517,7.7235514705662,715.8984375
82,38032,82,82,1374.11391404347,9.61879739830432,707.75
83.001,35235,83,83,1683.31399270491,11.7831979489343,714.734375
84.001,32265,84,84,1680.49738716707,11.7634817101695,731.807291666667
85,28578,85,85,1846.44133210384,12.9250893247269,722.494791666667
86,24844,86,86,1472.8023242371,10.3096162696597,722.106770833333
87.001,21162,87,87,1378.82762548836,9.65179337841849,705.421875
88,17751,88,88,1460.4858668028,10.2234010676196,716.674479166667
89.001,14592,89,89,1660.48740753729,11.6234118527611,719.778645833333
90,11553,90,90,1729.05351230505,12.1033745861353,699.213541666667
91,9220,91,91,1542.15023893898,10.7950516725729,728.315104166667
92.003,7046,92,92,1658.99779942936,11.6129845960056,698.4375
93,5632,93,93,1692.03787356475,11.8442651149533,704.645833333333
94.001,4003,94,94,1550.88140834252,10.8561698583976,713.958333333333
95.001,3081,95,95,1375.76905157672,9.63038336103702,696.109375
96,2422,96,96,1268.83673829581,8.88185716807066,702.317708333333
97,1797,97,97,1532.93739665715,10.7305617766001,697.661458333333
