Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,696.109375
1,0,1,1,28.5988168563545,0.200191717994481,696.109375
2,0,2,2,23.0058388819082,0.161040872173358,696.109375
3,0,3,3,40.9896173299303,0.286927321309512,696.109375
4,0,4,4,32.2178692301129,0.22552508461079,696.109375
5,0,5,5,32.0337635868205,0.224236345107744,696.497395833333
6,0,6,6,33.318895145437,0.233232266018059,696.109375
7,0,7,7,36.0325518073027,0.252227862651119,696.109375
8,0,8,8,36.6449036655453,0.256514325658817,696.109375
9,0,9,9,30.9888966783202,0.216922276748241,696.109375
10,0,10,10,30.0250198490402,0.210175138943281,696.109375
11,0,11,11,25.9609132490123,0.181726392743086,696.109375
12.001,2,12,12,34.4169644104163,0.240918750872914,696.109375
13.001,8,13,13,28.057596634371,0.196403176440597,698.825520833333
14,8,14,14,29.9836922029629,0.209885845420741,696.109375
15,4,15,15,39.0097134186412,0.273067993930489,696.109375
16,12,16,16,27.7642997527089,0.194350098268963,696.109375
17.001,7,17,17,25.5096806465262,0.178567764525684,696.109375
18.001,10,18,18,44.0879157127227,0.308615409989059,696.109375
19,10,19,19,30.0152177153817,0.210106524007672,696.109375
20.001,9,20,20,30.9875894704171,0.21691312629292,696.109375
21,5,21,21,28.9956970385595,0.202969879269916,696.497395833333
22,6,22,22,32.2033367542901,0.225423357280031,696.109375
23,11,23,23,19.9917034430711,0.139941924101498,696.109375
24,10,24,24,25.0471512622512,0.175330058835758,696.109375
25,6,25,25,33.3043918168445,0.233130742717911,696.109375
26,7,26,26,24.4394207857274,0.171075945500092,696.109375
27.001,11,27,27,33.3242136068763,0.233269495248134,696.109375
28,6,28,28,39.0119961888281,0.273083973321796,696.109375
29.001,15,29,29,34.0053354371301,0.238037348059911,696.109375
30,6,30,30,32.1920010869796,0.225344007608857,696.109375
31.001,8,31,31,39.0096939089364,0.273067857362555,696.109375
32,13,32,32,32.0048871462672,0.224034210023871,696.109375
33,8,33,33,29.9657957089646,0.209760569962752,696.109375
34,9,34,34,28.0223253866355,0.196156277706449,696.109375
35,13,35,35,31.9491816316966,0.223644271421876,696.109375
36,18,36,36,21.0577361008413,0.147404152705889,696.109375
37,8,37,37,32.1766279404306,0.225236395583014,696.109375
38.001,13,38,38,33.0054921138878,0.231038444797214,696.109375
39.001,10,39,39,23.0216357332621,0.161151450132835,696.109375
40,20,40,40,33.9465986057333,0.237626190240133,696.109375
41,12,41,41,40.0032682670174,0.280022877869122,696.109375
41.999,10,42,42,28.036983585047,0.196258885095329,696.109375
43.001,11,43,43,30.9577303150279,0.216704112205195,699.6015625
44.001,14,44,44,34.0301779618165,0.238211245732716,696.109375
45,17,45,45,17.7720867606618,0.124404607324632,696.109375
46,11,46,46,19.982282376293,0.139875976634051,696.109375
47.001,14,47,47,32.0782999222803,0.224548099455962,696.109375
48,11,48,48,34.3918135058427,0.240742694540899,696.109375
49,17,49,49,28.9834417597227,0.202884092318059,696.497395833333
50.001,12,50,50,32.0408103801812,0.224285672661269,697.2734375
51,14,51,51,33.2625764415585,0.232838035090909,696.109375
52.001,22,52,52,19.9778977857497,0.139845284500248,696.109375
53.001,12,53,53,38.0156358310173,0.266109450817121,696.109375
54,16,54,54,31.0349018506212,0.217244312954348,696.109375
55,10,55,55,31.0903841883189,0.217632689318232,696.109375
56,14,56,56,44.4285143537978,0.310999600476585,696.109375
57.001,20,57,57,36.664462725074,0.256651239075518,696.109375
58.001,17,58,58,38.0690992219979,0.266483694553985,696.497395833333
59,15,59,59,31.0712329098509,0.217498630368956,696.109375
60,21,60,60,28.9956129637586,0.20296929074631,696.109375
61,12,61,61,35.9473658668977,0.251631561068284,696.497395833333
62,27,62,62,36.0661669899598,0.252463168929718,699.213541666667
63,17,63,63,28.9870167152133,0.202909117006493,696.109375
64.001,19,64,64,32.2201314936897,0.225540920455828,696.109375
65.001,17,65,65,34.9610813242698,0.244727569269889,696.497395833333
66,21,66,66,37.007912291648,0.259055386041536,696.885416666667
67.001,15,67,67,25.0365107436174,0.175255575205322,696.497395833333
68.001,22,68,68,32.1856736017545,0.225299715212281,696.497395833333
69,16,69,69,33.0253502588587,0.231177451812011,696.109375
70,12,70,70,30.0099212799752,0.210069448959826,696.497395833333
71.001,16,71,71,37.7646734360955,0.264352714052668,696.109375
72.001,15,72,72,37.7417344214053,0.264192140949837,696.109375
73,11,73,73,34.0567453491007,0.238397217443705,696.109375
74,18,74,74,31.0472193833113,0.217330535683179,696.109375
75,18,75,75,31.0174007618274,0.217121805332792,696.109375
76.001,18,76,76,28.880510331947,0.202163572323629,696.109375
77,28,77,77,36.6206711037603,0.256344697726322,696.109375
78,29,78,78,31.0799718756332,0.217559803129432,696.109375
79.001,18,79,79,26.6119701972546,0.186283791380782,696.109375
80,19,80,80,36.635160428698,0.256446123000886,696.109375
81.001,21,81,81,32.0058570718441,0.224040999502909,696.109375
81.999,18,82,82,36.0354047852015,0.25224783349641,696.109375
83.001,32,83,83,28.8643798232656,0.202050658762859,696.109375
84.001,25,84,84,37.0236173655175,0.259165321558622,697.2734375
85.001,33,85,85,29.033870913808,0.203237096396656,696.497395833333
86,37,86,86,43.2826973865796,0.302978881706057,696.109375
87,37,87,87,27.7481704798758,0.19423719335913,696.109375
88,38,88,88,30.0347923034043,0.21024354612383,696.109375
89.001,67,89,89,33.0079384091874,0.231055568864312,696.109375
90.001,63,90,90,26.9861345240815,0.188902941668571,696.109375
91,80,91,91,26.6618616067193,0.186633031247035,696.109375
92,54,92,92,35.5240969941063,0.248668678958744,696.109375
93.001,87,93,93,28.9763089697863,0.202834162788504,696.109375
94.001,67,94,94,40.0950091336431,0.280665063935502,696.109375
95,74,95,95,24.4223042688301,0.17095612988181,696.109375
96,100,96,96,33.991423963734,0.237939967746138,696.109375
97,79,97,97,26.0024364282933,0.182017054998053,696.109375
98,97,98,98,35.0165838541133,0.245116086978793,696.109375
99,104,99,99,45.5442302236399,0.31880961156548,700.377604166667
100,76,100,100,33.3029277602882,0.233120494322017,696.109375
101,84,101,101,34.4226893048038,0.240958825133627,696.109375
102,84,102,102,37.972636917837,0.265808458424859,696.109375
103,96,103,103,31.0144186032086,0.21710093022246,696.109375
104.001,105,104,104,40.9958799140686,0.28697115939848,696.109375
105.001,79,105,105,36.0378866302143,0.2522652064115,696.109375
106,108,106,106,34.4311731400419,0.241018211980293,696.109375
107,80,107,107,25.9909109784308,0.181936376849016,696.497395833333
108,79,108,108,34.0234047000932,0.238163832900652,696.109375
109.001,71,109,109,32.2074390077177,0.225452073054024,696.109375
110,90,110,110,20.9907179045426,0.146935025331798,696.109375
111,74,111,111,38.8651207084023,0.272055844958816,696.109375
112.001,86,112,112,36.0222617577663,0.252155832304364,696.109375
113.001,85,113,113,21.9928369330109,0.153949858531076,696.109375
114.001,69,114,114,20.0097847847597,0.140068493493318,696.109375
115.001,60,115,115,22.2195509384316,0.155536856569021,696.497395833333
116,73,116,116,22.0069850170444,0.154048895119311,696.109375
117.001,61,117,117,41.0230385384432,0.287161269769102,696.497395833333
118,57,118,118,35.0193201589317,0.245135241112522,696.497395833333
119.001,64,119,119,38.8336760312782,0.271835732218947,696.109375
120,61,120,120,37.0181129626726,0.259126790738708,696.109375
121,57,121,121,32.2157218054668,0.225510052638268,696.109375
122,52,122,122,25.5351359585007,0.178745951709505,696.109375
123,49,123,123,28.0155009766904,0.196108506836833,696.109375
124,52,124,124,44.4169996738682,0.310918997717077,696.109375
125.001,53,125,125,33.3030460631082,0.233121322441757,696.109375
126,62,126,126,28.863716521003,0.202046015647021,696.497395833333
127,61,127,127,43.1205002379149,0.301843501665404,696.109375
128.001,64,128,128,27.6998059019201,0.193898641313441,696.109375
129.001,77,129,129,32.0981722598568,0.224687205818997,696.109375
130.001,96,130,130,34.3805081594373,0.240663557116061,696.109375
131.001,71,131,131,23.3316404931953,0.163321483452367,696.497395833333
132,115,132,132,33.2990538073861,0.233093376651702,696.497395833333
133,129,133,133,36.0090022505626,0.252063015753939,696.109375
134.001,158,134,134,38.0092134333362,0.266064494033354,696.497395833333
135.001,153,135,135,34.0626650849568,0.238438655594698,696.109375
136.001,174,136,136,41.0454839428957,0.28731838760027,696.109375
137,228,137,137,39.9994444521604,0.279996111165123,696.109375
138,219,138,138,28.8848257567324,0.202193780297127,696.109375
139,268,139,139,39.9671589854617,0.279770112898232,696.109375
140,239,140,140,35.0293475874087,0.245205433111861,696.109375
141,305,141,141,48.8281412558176,0.341796988790723,696.109375
142.001,308,142,142,31.0914267833543,0.21763998748348,696.885416666667
143.001,311,143,143,34.4190049754337,0.240933034828036,696.109375
144,382,144,144,28.0075928584239,0.196053150008967,696.109375
145,367,145,145,31.0743605007589,0.217520523505312,696.109375
146,394,146,146,27.0505331008858,0.1893537317062,696.109375
147.001,367,147,147,29.9864361353881,0.209905052947717,696.109375
148.001,417,148,148,34.9573345731535,0.244701342012074,696.109375
149,377,149,149,21.0425564661972,0.147297895263381,696.497395833333
150,361,150,150,34.9497946200283,0.244648562340198,696.109375
151,396,151,151,40.0065890852223,0.280046123596556,696.109375
152,356,152,152,25.5180695114432,0.178626486580103,696.109375
153,334,153,153,33.1040626208486,0.23172843834594,696.109375
154.001,268,154,154,26.6545891761489,0.186582124233042,696.109375
155,285,155,155,33.2965332648461,0.233075732853922,696.497395833333
156,226,156,156,21.995183054911,0.153966281384377,696.109375
157.001,234,157,157,31.9741648747812,0.223819154123468,696.109375
158.001,238,158,158,28.0283703164343,0.19619859221504,696.109375
159,214,159,159,39.9957284562009,0.279970099193406,696.109375
160.001,151,160,160,35.0342214274904,0.245239549992433,696.109375
161,164,161,161,26.6404820328819,0.186483374230173,696.109375
162,130,162,162,35.5307511433962,0.248715258003774,696.109375
163.001,115,163,163,30.9853036704691,0.216897125693284,696.497395833333
164.001,126,164,164,31.0874190436422,0.217611933305495,696.109375
165,98,165,165,40.0313525553213,0.280219467887249,696.109375
166.001,85,166,166,35.9788552267832,0.251851986587483,696.109375
167.001,81,167,167,27.9823459379477,0.195876421565634,696.109375
168,61,168,168,31.0526746520122,0.217368722564085,696.497395833333
169,63,169,169,27.7481889589512,0.194237322712659,696.109375
170,56,170,170,36.6595954380355,0.256617168066249,696.885416666667
171.001,56,171,171,29.940292403549,0.209582046824843,696.109375
172,58,172,172,34.1021701016245,0.238715190711371,696.497395833333
173,35,173,173,31.0966131790112,0.217676292253078,696.109375
174,43,174,174,37.9689376121395,0.265782563284977,696.497395833333
175.001,31,175,175,30.0139865177173,0.210097905624021,696.109375
176.001,34,176,176,34.4325154907444,0.241027608435211,696.497395833333
177,32,177,177,23.3123910353865,0.163186737247706,696.109375
178,31,178,178,35.0635070239217,0.245444549167452,696.109375
179,33,179,179,26.6483444493941,0.186538411145759,696.109375
180,27,180,180,29.9622575429151,0.209735802800406,696.109375
181,23,181,181,32.1930160027042,0.22535111201893,696.497395833333
182,23,182,182,35.0245066473011,0.245171546531108,696.497395833333
183,21,183,183,30.0415986015836,0.210291190211085,696.497395833333
184,30,184,184,25.9828928633388,0.181880250043371,697.2734375
185,19,185,185,24.9937915421809,0.174956540795266,696.497395833333
186,29,186,186,28.8537642398875,0.201976349679213,696.109375
186.999,17,187,187,27.7733988385609,0.194413791869926,696.109375
188,31,188,188,24.9974902519787,0.174982431763851,696.109375
189,17,189,189,29.9933084928752,0.209953159450127,696.109375
190,11,190,190,30.9955304445099,0.216968713111569,696.109375
191.001,22,191,191,28.0491814347277,0.196344270043094,696.109375
192,17,192,192,27.7439209462497,0.194207446623748,696.497395833333
193,22,193,193,36.6317891332131,0.256422523932491,696.109375
