Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,694.9453125,
1.001,0,1,1,1586.58977884548,717.450520833333,11.1061284519184
2.001,1,2,2,1609.26440524036,712.794270833333,11.2648508366826
3,0,3,3,1583.27865584246,712.794270833333,11.0829505908972
4.001,1,4,4,1545.49029729995,721.330729166667,10.8184320810997
5,0,5,5,1612.19954292694,718.2265625,11.2853968004886
6.001,0,6,6,1562.78983398209,714.734375,10.9395288378747
7,2,7,7,1538.35520621712,717.450520833333,10.7684864435198
8,1,8,8,1639.48574797039,725.598958333333,11.4764002357927
9.001,1,9,9,1568.84044892634,711.630208333333,10.9818831424844
10,25,10,10,1597.18717468688,707.361979166667,11.1803102228082
11,109,11,11,1628.08511873163,725.986979166667,11.3965958311214
12.001,142,12,12,1611.3680514757,713.182291666667,11.2795763603299
13.001,188,13,13,1551.68844139838,713.958333333333,10.8618190897887
14.001,266,14,14,1539.69844135065,714.734375,10.7778890894546
15.001,312,15,15,1605.97044172056,715.122395833333,11.2417930920439
15.999,353,16,16,1535.67738729554,722.106770833333,10.7497417110688
17.001,370,17,17,1557.06944529726,712.794270833333,10.8994861170808
18,386,18,18,1593.18759645169,710.078125,11.1523131751618
19,343,19,19,1606.14050344895,714.346354166667,11.2429835241426
20.001,397,20,20,1556.92681034963,708.9140625,10.8984876724474
21,366,21,21,1634.25707053866,712.40625,11.4397994937706
22.001,424,22,22,1603.34259178553,720.5546875,11.2233981424987
23.001,404,23,23,1582.67152752913,714.734375,11.0787006927039
24,398,24,24,1558.69044407781,714.346354166667,10.9108331085446
25.001,432,25,25,1657.70570725538,706.197916666667,11.6039399507877
26.001,432,26,26,1579.23147471587,720.5546875,11.0546203230111
27.001,421,27,27,1608.56592459714,711.2421875,11.25996147218
28,436,28,28,1525.69073316102,716.286458333333,10.6798351321271
29,455,29,29,1562.21774873514,710.078125,10.935524241146
30,434,30,30,1614.31781018067,712.40625,11.3002246712647
31.001,475,31,31,1549.95209138056,717.0625,10.8496646396639
32.001,504,32,32,1617.63398808995,712.40625,11.3234379166296
33.001,459,33,33,1546.81534248594,711.2421875,10.8277073974016
34.001,475,34,34,1569.75912918251,718.614583333333,10.9883139042776
35,491,35,35,1637.73464990174,716.674479166667,11.4641425493122
36,459,36,36,1593.04433270481,713.5703125,11.1513103289337
37.001,491,37,37,1572.75976089647,711.630208333333,11.0093183262753
38,485,38,38,1611.50762490184,723.658854166667,11.2805533743129
39.001,507,39,39,1595.75017414998,716.286458333333,11.1702512190499
40.001,513,40,40,1591.65616470014,712.794270833333,11.141593152901
41,532,41,41,1622.1124770789,717.838541666667,11.3547873395523
42,507,42,42,1576.60443372255,720.166666666667,11.0362310360578
43.001,543,43,43,1623.87364402048,716.674479166667,11.3671155081434
