Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,745.776041666667
1.001,2,1,1,4199.40069998444,29.3958048998911,767.505208333333
2,4,2,2,4854.95664440489,33.9846965108342,760.908854166667
3,4,3,3,4712.94805334489,32.9906363734142,773.325520833333
4,7,4,4,4807.20187314693,33.6504131120285,768.669270833333
5,20,5,5,4456.29431851916,31.1940602296341,762.4609375
6,52,6,6,4636.99509135669,32.4589656394968,767.505208333333
7,83,7,7,4645.6675824316,32.5196730770212,765.565104166667
8,161,8,8,4727.70548526949,33.0939383968864,761.684895833333
9,221,9,9,4486.37701624613,31.4046391137229,768.669270833333
10,331,10,10,4712.1590473065,32.9851133311455,763.236979166667
11.001,470,11,11,4473.74308872704,31.3162016210893,768.669270833333
12,607,12,12,4772.46228177675,33.4072359724372,758.580729166667
12.999,714,13,13,4370.498236799,30.593487657593,762.072916666667
14,879,14,14,4656.55157719044,32.5958610403331,769.833333333333
15,1003,15,15,4651.22474740014,32.558573231801,759.356770833333
16,1145,16,16,4613.96385634899,32.2977469944429,774.877604166667
17.001,1185,17,17,4632.18435471962,32.4252904830373,764.013020833333
18.001,1263,18,18,4642.16307918897,32.4951415543228,770.609375
19,1375,19,19,4417.48131569837,30.9223692098886,743.8359375
20,1357,20,20,4798.08140771467,33.5865698540027,763.236979166667
21,1470,21,21,4382.9294348361,30.6805060438527,770.609375
22,1528,22,22,4735.97608467105,33.1518325926974,761.684895833333
23.001,1491,23,23,4568.65683190876,31.9805978233614,756.640625
24.001,1472,24,24,4848.57890302842,33.940052321199,761.684895833333
25,1496,25,25,4547.93296196717,31.8355307337702,756.252604166667
26,1607,26,26,4687.54737104775,32.8128315973342,759.356770833333
27.001,1729,27,27,4649.14474357324,32.5440132050127,755.088541666667
28,1824,28,28,4619.13025270801,32.3339117689561,754.700520833333
29,1969,29,29,4375.58798214536,30.6291158750175,764.013020833333
30,2006,30,30,4792.67115611668,33.5486980928168,759.744791666667
31,2254,31,31,4607.9684532776,32.2557791729432,769.057291666667
32,2669,32,32,4156.05399827829,29.092377987948,756.252604166667
32.999,2846,33,33,4267.59937388549,29.8731956171984,771.385416666667
34,3256,34,34,4686.73741232349,32.8071618862644,748.4921875
35,3641,35,35,4610.15403703467,32.2710782592427,758.96875
36.001,4012,36,36,4569.62704206943,31.987389294486,764.013020833333
37,4445,37,37,4826.66127522594,33.7866289265816,762.072916666667
38,4892,38,38,4621.44153443407,32.3500907410385,760.908854166667
39.001,5125,39,39,4266.67646777116,29.8667352743981,770.609375
40,5579,40,40,4682.52512942195,32.7776759059537,760.1328125
41,5733,41,41,4702.64594362911,32.9185216054038,751.984375
42,5976,42,42,4473.50867680766,31.3145607376536,764.401041666667
43.001,6101,43,43,4573.55040640233,32.0148528448163,765.953125
44,5874,44,44,4835.40695205379,33.8478486643765,760.520833333333
45,5752,45,45,4649.95174358781,32.5496622051146,758.580729166667
46,5590,46,46,4785.37085571851,33.4975959900296,769.4453125
47,5249,47,47,4721.72006752093,33.0520404726465,765.953125
48,4839,48,48,4542.92796514685,31.8004957560279,765.177083333333
48.999,4445,49,49,4264.82651782744,29.8537856247921,762.848958333333
49.999,4110,50,50,4756.29038158052,33.2940326710637,766.729166666667
50.999,3737,51,51,4170.77129077774,29.1953990354442,764.7890625
52,3412,52,52,4595.58262656742,32.1690783859719,774.877604166667
53,3238,53,53,4707.3638912604,32.9515472388228,764.7890625
54,2942,54,54,4818.16263107633,33.7271384175343,767.1171875
55,2850,55,55,4645.06669924804,32.5154668947363,760.1328125
56.001,2766,56,56,4657.94680068043,32.605627604763,763.625
57,2559,57,57,4831.09987301742,33.8176991111219,769.057291666667
58,2543,58,58,4797.62010816416,33.5833407571491,769.4453125
59,2422,59,59,4733.31774810909,33.1332242367636,770.997395833333
60.001,2494,60,60,4813.12182848935,33.6918527994255,766.729166666667
61.001,2400,61,61,4753.37826211962,33.2736478348373,764.401041666667
62,2308,62,62,4757.59123155946,33.3031386209162,774.877604166667
63.001,2365,63,63,4276.06212662897,29.9324348864028,771.385416666667
64,2440,64,64,4822.74002517797,33.7591801762458,766.341145833333
65,2412,65,65,4617.0677121802,32.3194739852614,774.1015625
66,2458,66,66,4780.03043027261,33.4602130119083,760.520833333333
67,2341,67,67,4827.54555795641,33.7928189056949,757.028645833333
68,2420,68,68,4573.36172716596,32.0135320901617,774.1015625
69,2395,69,69,4776.40975299095,33.4348682709367,763.625
70.001,2314,70,70,4791.16763299101,33.538173430937,759.356770833333
71.001,2346,71,71,4510.05772873893,31.5704041011725,770.997395833333
72,2315,72,72,4582.06383241297,32.0744468268908,763.625
73,2352,73,73,4826.57259717017,33.7860081801912,766.729166666667
74,2506,74,74,4205.69458852287,29.4398621196601,768.669270833333
75,2397,75,75,4779.16731133852,33.4541711793696,769.4453125
76,2432,76,76,4640.07127859077,32.4804989501354,770.221354166667
77,2480,77,77,4452.00160080956,31.1640112056669,763.625
78.001,2540,78,78,4731.90449788412,33.1233314851888,760.908854166667
79,2446,79,79,4577.887050799,32.045209355593,767.893229166667
80,2557,80,80,4651.82137893657,32.562749652556,761.684895833333
81.001,2598,81,81,4581.67762023711,32.0717433416598,758.96875
82,2623,82,82,4680.96993059814,32.766789514187,766.341145833333
83,2700,83,83,4497.32854462649,31.4812998123854,760.908854166667
84,2663,84,84,4558.89856300989,31.9122899410692,762.4609375
85.001,2786,85,85,4709.05990241007,32.9634193168705,756.640625
86,2773,86,86,4793.78728716893,33.5565110101825,767.1171875
87.001,2816,87,87,4796.63575501402,33.5764502850982,768.669270833333
88.001,2942,88,88,4796.40188868448,33.5748132207914,758.580729166667
89.001,2993,89,89,4776.75130699692,33.4372591489784,769.057291666667
89.999,3197,90,90,4626.78473157028,32.3874931209919,765.177083333333
91,3266,91,91,4738.11958126119,33.1668370688283,762.4609375
92,3338,92,92,4715.25818362697,33.0068072853888,772.161458333333
92.999,3377,93,93,4781.05202753022,33.4673641927115,760.520833333333
94,3500,94,94,4662.73422095165,32.6391395466615,767.1171875
95,3487,95,95,4640.18358996907,32.4812851297835,765.177083333333
96,3558,96,96,4759.5241195355,33.3166688367485,762.848958333333
97,3627,97,97,4678.18155388909,32.7472708772236,762.4609375
98.001,3701,98,98,4734.87895106678,33.1441526574675,759.744791666667
99,3594,99,99,4838.60510498853,33.8702357349197,762.072916666667
100,3630,100,100,4811.12344172718,33.6778640920903,774.489583333333
101,3491,101,101,4265.85677182967,29.8609974028077,772.161458333333
102,3647,102,102,4607.26629179013,32.2508640425309,762.848958333333
103.001,3606,103,103,4815.32366176428,33.70726563235,758.96875
104,3502,104,104,4864.33725124779,34.0503607587345,755.088541666667
105.001,3546,105,105,4774.99329679355,33.4249530775548,763.625
106,3353,106,106,4765.12059859525,33.3558441901668,767.893229166667
107.001,3303,107,107,4753.24923687332,33.2727446581133,770.997395833333
108,3293,108,108,4440.03896911877,31.0802727838314,775.265625
109,3226,109,109,4549.57133396853,31.8469993377797,759.356770833333
110,3179,110,110,4524.48375640339,31.6713862948238,772.161458333333
111,3045,111,111,4804.00816681388,33.6280571676972,769.4453125
112,3087,112,112,4800.93122965794,33.6065186076056,764.401041666667
113,3057,113,113,4653.92147645234,32.5774503351664,761.296875
114,2984,114,114,4784.78273168214,33.493479121775,763.625
115.001,3014,115,115,4722.28122015419,33.0559685410793,768.669270833333
116,2875,116,116,4744.73692441228,33.213158470886,760.908854166667
117,2842,117,117,4760.40545543067,33.3228381880147,765.953125
118,2824,118,118,4679.74182388276,32.7581927671793,767.505208333333
119,2817,119,119,4542.57273345486,31.798009134184,766.729166666667
120.001,2814,120,120,4657.30497285571,32.6011348099899,764.401041666667
121,2790,121,121,4670.73794330397,32.6951656031278,762.072916666667
122,2793,122,122,4519.99667959482,31.6399767571637,760.520833333333
