Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,696.109375
1,0,1,1,25.4205027794142,0.1779435194559,696.109375
2,0,2,2,25.0615813176136,0.175431069223295,696.109375
3,0,3,3,25.5317061051971,0.178721942736379,696.109375
4,0,4,4,26.6662400068266,0.186663680047786,696.109375
5,0,5,5,29.9816032882223,0.209871223017556,696.109375
6.001,0,6,6,19.9850851309668,0.139895595916767,696.109375
7,0,7,7,29.0443623590672,0.203310536513471,696.109375
8,0,8,8,26.6594389965387,0.186616072975771,696.109375
9,0,9,9,22.0157082078063,0.154109957454644,696.109375
10,0,10,10,29.9917889146794,0.209942522402755,696.109375
11.001,0,11,11,21.0944301045495,0.147661010731847,696.109375
12,0,12,12,21.1102549729928,0.147771784810949,696.109375
13.001,0,13,13,20.0145786190661,0.140102050333463,696.109375
14,0,14,14,18.9556305555586,0.13268941388891,696.109375
15,0,15,15,31.0422329579393,0.217295630705575,696.109375
16,3,16,16,29.9746048486699,0.209822233940689,696.109375
17,1,17,17,25.0183409457473,0.175128386620231,695.721354166667
18,1,18,18,31.0399017937559,0.217279312556291,696.109375
19.001,1,19,19,12.2099444447528,0.0854696111132694,696.109375
20.001,1,20,20,31.050435221931,0.217353046553517,695.721354166667
21,6,21,21,16.0032022407684,0.112022415685379,696.109375
22.001,3,22,22,21.0993470529431,0.147695429370602,696.109375
23,0,23,23,25.5426990636935,0.178798893445854,696.109375
24,2,24,24,29.9985867332472,0.209990107132731,695.721354166667
25,1,25,25,34.0135918312958,0.238095142819071,696.109375
26,3,26,26,27.7563498756738,0.194294449129716,695.721354166667
27.001,1,27,27,17.0031183719094,0.119021828603366,696.109375
28,3,28,28,31.1017080280506,0.217711956196354,696.109375
29.001,2,29,29,32.0213934929927,0.224149754450949,696.109375
30,1,30,30,35.0457697753266,0.245320388427286,696.109375
31.001,0,31,31,35.5176976362861,0.248623883454003,696.109375
32,2,32,32,19.9985689912855,0.139989982938999,695.721354166667
33.001,1,33,33,23.326281021038,0.163283967147266,696.109375
34,0,34,34,26.6436199354225,0.186505339547958,695.721354166667
35.001,2,35,35,18.8614915245888,0.132030440672121,696.109375
36.001,3,36,36,22.0143115039087,0.154100180527361,696.109375
37,1,37,37,27.0030162369137,0.189021113658396,696.109375
38.001,3,38,38,25.0122034540652,0.175085424178457,695.721354166667
39,3,39,39,15.9973092525837,0.111981164768086,696.109375
40,5,40,40,24.4363505821016,0.171054454074711,696.109375
41,4,41,41,28.8835646851319,0.202184952795923,696.109375
42.001,1,42,42,19.9886642064323,0.139920649445026,696.109375
42.999,4,43,43,29.0078640319391,0.203055048223573,697.2734375
44.001,1,44,44,19.0194835589578,0.133136384912705,696.109375
45,2,45,45,28.8565983553293,0.201996188487305,696.109375
46,2,46,46,21.0158333288299,0.14711083330181,696.109375
47,1,47,47,14.0026465001885,0.0980185255013197,696.109375
48,1,48,48,24.4263011307712,0.170984107915398,696.109375
49,2,49,49,22.9926239662316,0.160948367763621,696.109375
50.001,2,50,50,15.9870073591192,0.111909051513835,696.109375
51.001,3,51,51,36.6325536186802,0.256427875330761,696.109375
51.999,2,52,52,24.0456916232224,0.168319841362557,696.109375
53.001,1,53,53,18.0078586295059,0.126055010406541,696.109375
54.001,1,54,54,26.9896036046915,0.18892722523284,696.109375
55,2,55,55,20.027493743411,0.140192456203877,696.109375
56,2,56,56,31.0965717362371,0.21767600215366,696.109375
57,2,57,57,32.2076107028334,0.225453274919834,696.109375
58.001,4,58,58,21.1061253752725,0.147742877626907,696.109375
59,3,59,59,32.0422444951424,0.224295711465997,696.109375
59.999,4,60,60,25.9971975021093,0.181980382514765,696.109375
61,5,61,61,19.9652936645132,0.139757055651592,696.109375
62,5,62,62,21.0046378240315,0.147032464768221,696.497395833333
63.001,2,63,63,23.9842471464742,0.167889730025319,696.497395833333
64,1,64,64,27.0212386936132,0.189148670855292,696.109375
65,2,65,65,20.9979841935174,0.146985889354622,696.109375
66,6,66,66,18.0053367818221,0.126037357472755,696.109375
67.001,4,67,67,28.8534952680268,0.201974466876187,696.109375
68,4,68,68,20.0105155259089,0.140073608681362,696.109375
69,3,69,69,23.0336959938694,0.161235871957086,696.109375
70,3,70,70,27.7492330666965,0.194244631466875,696.109375
71,1,71,71,25.0048709488608,0.175034096642026,696.109375
72,2,72,72,34.9790335672798,0.244853234970958,696.109375
73.001,1,73,73,21.0143002313074,0.147100101619152,696.109375
74,7,74,74,31.9884841457075,0.223919389019953,696.109375
75.001,5,75,75,24.4315608680134,0.171020926076094,696.109375
76.001,6,76,76,31.0076185718831,0.217053330003182,696.109375
77,6,77,77,29.0171607488669,0.203120125242068,696.109375
78.001,5,78,78,18.8658013404485,0.132060609383139,696.109375
79.001,3,79,79,24.0248489012185,0.16817394230853,696.109375
80,6,80,80,20.0107157382778,0.140075010167945,696.109375
81,5,81,81,35.5269760770225,0.248688832539157,696.109375
82,1,82,82,17.0198724030178,0.119139106821124,697.2734375
83.001,4,83,83,28.9653545394354,0.202757481776048,696.109375
84,3,84,84,28.9810029525646,0.202867020667952,696.109375
85,7,85,85,22.9922033438461,0.160945423406923,696.109375
86,8,86,86,28.0070157574472,0.196049110302131,696.109375
87.001,11,87,87,25.0471211490176,0.175329848043124,696.109375
88.001,6,88,88,34.3944082236808,0.240760857565766,696.109375
89,10,89,89,20.0144504332128,0.140101153032489,696.109375
90,3,90,90,19.0171610861642,0.133120127603149,696.109375
91,9,91,91,27.7431204551914,0.19420184318634,696.109375
92,5,92,92,20.0147709009249,0.140103396306474,696.109375
93.001,7,93,93,19.9444922619802,0.139611445833861,696.109375
94.001,7,94,94,26.0585796871367,0.182410057809957,696.109375
95,12,95,95,17.9940871429648,0.125958610000754,696.497395833333
96.001,6,96,96,32.2095423990311,0.225466796793218,696.109375
97.001,13,97,97,33.9873227286222,0.237911259100356,696.109375
98,13,98,98,35.9943021019773,0.251960114713841,696.109375
99,9,99,99,16.0142911534253,0.112100038073977,696.109375
100,7,100,100,28.8700143150856,0.202090100205599,696.109375
,8,101,101,,,
,4,102,102,,,
,10,103,103,,,
,9,104,104,,,
,13,105,105,,,
,8,106,106,,,
,7,107,107,,,
,4,108,108,,,
,8,109,109,,,
,9,110,110,,,
,6,111,111,,,
,6,112,112,,,
,3,113,113,,,
,7,114,114,,,
,5,115,115,,,
,6,116,116,,,
,3,117,117,,,
,7,118,118,,,
,7,119,119,,,
,3,120,120,,,
,1,121,121,,,
,5,122,122,,,
,7,123,123,,,
,11,124,124,,,
,6,125,125,,,
,12,126,126,,,
,2,127,127,,,
,5,128,128,,,
,4,129,129,,,
,12,130,130,,,
,8,131,131,,,
,8,132,132,,,
,5,133,133,,,
,6,134,134,,,
,1,135,135,,,
,5,136,136,,,
,6,137,137,,,
,0,138,138,,,
,6,139,139,,,
,4,140,140,,,
,7,141,141,,,
,8,142,142,,,
,8,143,143,,,
,6,144,144,,,
,9,145,145,,,
,5,146,146,,,
,14,147,147,,,
,5,148,148,,,
,3,149,149,,,
,5,150,150,,,
,8,151,151,,,
,4,152,152,,,
