Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1.001,0,1,1,7.32955128487034,696.109375,0.0513068589940924
2,0,2,2,15.0185058028503,696.109375,0.105129540619952
2.999,0,3,3,17.0136772951776,696.109375,0.119095741066243
4.001,0,4,4,14.4443016063508,696.109375,0.101110111244455
5.001,0,5,5,11.1052290414622,696.109375,0.077736603290235
6.001,0,6,6,13.9828262927472,696.109375,0.0978797840492307
7.001,0,7,7,12.2188973244947,696.109375,0.0855322812714629
8,0,8,8,21.0315494272959,696.109375,0.147220845991071
9.001,0,9,9,9.98477322083822,696.109375,0.0698934125458676
10.001,0,10,10,14.4401717580676,696.109375,0.101081202306473
11.001,0,11,11,15.0382708956022,696.109375,0.105267896269216
12.001,1,12,12,24.3772283002778,696.109375,0.170640598101945
13.001,4,13,13,8.88747874226178,696.109375,0.0622123511958325
14,6,14,14,15.0217860963756,696.109375,0.105152502674629
15.001,7,15,15,13.3258915632226,696.109375,0.0932812409425581
16.001,7,16,16,9.98155962312736,696.109375,0.0698709173618915
17,4,17,17,6.66263947125293,696.109375,0.0466384762987705
18.001,4,18,18,10.0108337242564,696.109375,0.0700758360697947
19.001,6,19,19,12.0106161836447,696.109375,0.0840743132855131
20.001,4,20,20,18.8647043379277,696.109375,0.132052930365494
21.001,5,21,21,11.1008329732038,696.109375,0.0777058308124267
22,8,22,22,19.0467578859342,696.885416666667,0.133327305201539
22.999,5,23,23,12.2174194188995,696.109375,0.0855219359322968
24.001,6,24,24,11.9949345391441,696.109375,0.0839645417740088
25,3,25,25,15.0076989495611,696.109375,0.105053892646928
26.001,4,26,26,13.3220214568918,696.109375,0.0932541501982428
27,6,27,27,14.4205671897487,696.109375,0.100943970328241
28,4,28,28,6.01721887352849,696.109375,0.0421205321146994
29.001,5,29,29,11.1039379671843,696.109375,0.0777275657702902
30.001,7,30,30,9.99064376211678,696.109375,0.0699345063348174
31,7,31,31,19.9783135406516,696.497395833333,0.139848194784561
32.001,6,32,32,15.0241588474267,696.109375,0.105169111931987
33.001,8,33,33,11.0919159343691,696.109375,0.0776434115405839
34.001,3,34,34,11.0073341867686,696.497395833333,0.0770513393073805
35,6,35,35,14.02319576812,696.109375,0.0981623703768403
36.001,3,36,36,16.6435727847848,696.109375,0.116505009493494
37,7,37,37,17.7741577743111,696.109375,0.124419104420178
38,6,38,38,16.6616811214156,696.109375,0.116631767849909
39.001,7,39,39,15.0125279545781,696.109375,0.105087695682047
40,13,40,40,14.0095418989874,696.109375,0.0980667932929118
41,9,41,41,17.7485203280459,696.109375,0.124239642296321
42,3,42,42,14.4387651968004,696.109375,0.101071356377603
43,7,43,43,15.0579081975553,696.109375,0.105405357382887
44.001,8,44,44,17.7447764368888,696.109375,0.124213435058222
45.001,7,45,45,16.6545939365731,696.109375,0.116582157556012
46,7,46,46,10.9885411492895,695.721354166667,0.0769197880450266
47,14,47,47,13.3255941243902,696.109375,0.0932791588707314
48.001,6,48,48,11.0177804941615,696.109375,0.0771244634591303
49.001,7,49,49,10.0093697710427,696.109375,0.0700655883972987
50.001,11,50,50,9.99524448479068,696.109375,0.0699667113935348
51,9,51,51,11.0889725933825,696.109375,0.0776228081536772
52,3,52,52,13.3201389956504,696.109375,0.0932409729695529
53.001,11,53,53,12.2164750494045,696.109375,0.0855153253458317
54.001,11,54,54,13.0152590897568,696.109375,0.0911068136282978
55.001,6,55,55,13.3230538571129,696.109375,0.0932613769997904
56,12,56,56,16.9986877013095,696.109375,0.118990813909166
57,9,57,57,18.0045137315925,696.109375,0.126031596121148
58.001,7,58,58,16.6624010919871,696.109375,0.11663680764391
59.001,12,59,59,14.9996595077292,696.109375,0.104997616554104
60,17,60,60,12.2222208641977,696.109375,0.0855555460493838
60.999,12,61,61,13.3134031687897,696.109375,0.0931938221815276
62.001,19,62,62,15.0321974637476,696.109375,0.105225382246233
63,7,63,63,2.99815553471504,696.109375,0.0209870887430053
64,12,64,64,16.0038777395763,696.109375,0.112027144177034
65.001,9,65,65,7.77173223362582,696.109375,0.0544021256353807
66.001,5,66,66,15.0228362133279,696.109375,0.105159853493295
67.001,9,67,67,12.2037552286157,696.109375,0.08542628660031
68.001,8,68,68,12.2067887722845,696.109375,0.0854475214059913
69,13,69,69,14.9981297332223,696.885416666667,0.104986908132556
70,9,70,70,12.0187384150629,696.109375,0.0841311689054405
71.001,15,71,71,13.9932608455768,696.109375,0.0979528259190374
72,9,72,72,12.9883533435568,696.109375,0.0909184734048978
73.001,15,73,73,10.0213906583603,696.109375,0.0701497346085219
74.001,13,74,74,18.8667079292667,696.109375,0.132066955504867
75,11,75,75,18.0338694101392,696.109375,0.126237085870974
76.001,14,76,76,16.6454104774869,696.109375,0.116517873342408
77.001,4,77,77,11.0180012103775,696.109375,0.0771260084726426
78,19,78,78,16.6591644895915,696.109375,0.116614151427141
79.001,8,79,79,11.1011533765324,696.109375,0.0777080736357265
80,11,80,80,14.9987341068414,696.109375,0.10499113874789
81.001,28,81,81,18.85903294429,696.497395833333,0.13201323061003
82.001,17,82,82,9.00989917622492,696.109375,0.0630692942335744
83.001,16,83,83,17.9971870396657,696.109375,0.12598030927766
84.001,28,84,84,23.3283410683447,696.109375,0.163298387478413
85.001,22,85,85,17.0173730361326,696.109375,0.119121611252928
86.001,28,86,86,12.1945663008038,697.2734375,0.0853619641056267
86.999,14,87,87,9.01280629646665,696.109375,0.0630896440752665
88.001,26,88,88,13.3284950896158,696.109375,0.0932994656273106
89,31,89,89,21.0280872160945,696.109375,0.147196610512662
90,29,90,90,12.2203796605334,696.109375,0.0855426576237338
91,22,91,91,15.517761186089,696.497395833333,0.108624328302623
92.001,24,92,92,15.5434575644179,696.109375,0.108804202950925
93,34,93,93,13.3181565540424,696.109375,0.0932270958782969
94.001,32,94,94,15.0152464812771,696.109375,0.10510672536894
95.001,37,95,95,12.0076416631544,696.109375,0.084053491642081
96,47,96,96,11.9988121176004,696.109375,0.0839916848232025
97.001,31,97,97,8.99460323805717,696.109375,0.0629622226664002
98,41,98,98,15.0029240699012,696.497395833333,0.105020468489309
99,25,99,99,15.5548244788051,696.109375,0.108883771351635
100.001,40,100,100,13.3276350289343,696.109375,0.0932934452025401
101.001,39,101,101,14.4314529298181,696.109375,0.101020170508726
102,38,102,102,17.0058959441238,697.661458333333,0.119041271608867
103.001,28,103,103,18.0225678594736,696.109375,0.126157975016315
104,22,104,104,11.0995971290226,696.109375,0.0776971799031582
105,35,105,105,20.0082814276829,696.497395833333,0.14005796999378
106.001,24,106,106,16.6473815999377,696.109375,0.116531671199564
107,24,107,107,20.0444686537083,696.109375,0.140311280575958
108,26,108,108,21.0980865590087,696.109375,0.147686605913061
109.001,23,109,109,12.2181400058891,696.109375,0.085526980041224
109.999,38,110,110,7.77609727675519,696.109375,0.0544326809372863
111,22,111,111,13.9847552183365,696.109375,0.0978932865283555
112.001,26,112,112,25.5206178297466,696.109375,0.178644324808226
112.999,24,113,113,13.0212454640992,696.109375,0.0911487182486946
114.001,29,114,114,13.3199881851705,696.109375,0.0932399172961934
115,19,115,115,19.9882189437546,696.109375,0.139917532606282
116,23,116,116,10.0119101683363,696.109375,0.0700833711783538
117.001,31,117,117,7.76898846216425,695.721354166667,0.0543829192351497
118,31,118,118,10.0106423138438,696.109375,0.0700744961969069
119,17,119,119,15.5343528899001,696.109375,0.1087404702293
120,31,120,120,21.0098262957585,696.109375,0.14706878407031
121.001,25,121,121,14.0281446666447,696.109375,0.0981970126665128
122,23,122,122,17.7541489781711,696.109375,0.124279042847197
123.001,29,123,123,14.0128890553531,696.109375,0.0980902233874718
124.001,35,124,124,13.3237994146411,696.109375,0.0932665959024876
125,36,125,125,13.3284181089218,696.109375,0.0932989267624528
126,28,126,126,13.0023183133553,696.109375,0.0910162281934869
127.001,31,127,127,21.0009996475832,696.109375,0.147006997533083
128,38,128,128,13.3041484663144,696.109375,0.0931290392642008
129.001,29,129,129,13.0197366187403,696.109375,0.0911381563311824
130,25,130,130,19.002297377753,696.109375,0.133016081644271
131.001,39,131,131,14.9743444556441,695.721354166667,0.104820411189509
132.001,21,132,132,12.0254398179348,696.109375,0.0841780787255439
133.001,32,133,133,19.9789909810395,696.109375,0.139852936867276
134.001,20,134,134,13.0007046381914,696.109375,0.0910049324673397
135,26,135,135,14.0051384853103,696.109375,0.0980359693971718
136.001,29,136,136,7.77244329086581,696.109375,0.0544071030360607
137,32,137,137,10.0183215063709,696.109375,0.070128250544596
138,36,138,138,12.2062930098444,696.109375,0.0854440510689106
138.999,32,139,139,8.01078171110498,696.109375,0.0560754719777348
140,19,140,140,13.3029700432635,696.109375,0.0931207903028443
141,29,141,141,19.0490169303652,696.109375,0.133343118512557
142,24,142,142,16.6596733060278,696.109375,0.116617713142194
143.001,37,143,143,9.98075820714975,696.109375,0.0698653074500482
144.001,23,144,144,13.0091727677185,696.109375,0.0910642093740296
145.001,23,145,145,25.0101966571771,696.109375,0.17507137660024
146.001,25,146,146,16.6557220066725,696.109375,0.116590054046708
147.001,21,147,147,14.0208265357362,697.661458333333,0.0981457857501533
148,24,148,148,11.1082822019104,696.109375,0.0777579754133725
149,30,149,149,16.6597954265974,696.109375,0.116618567986182
150.001,26,150,150,13.0145528730226,696.109375,0.0911018701111583
151,33,151,151,9.96792322306817,696.109375,0.0697754625614772
152,15,152,152,11.1073087090964,696.109375,0.0777511609636745
153,30,153,153,13.3101618205107,696.109375,0.0931711327435748
154,29,154,154,20.0335602200807,696.109375,0.140234921540565
155.001,34,155,155,11.97434735566,696.109375,0.0838204314896198
156.001,23,156,156,17.0182469643952,696.109375,0.119127728750767
157,30,157,157,7.00250059296175,696.109375,0.0490175041507322
158,23,158,158,7.76880222161108,696.109375,0.0543816155512775
159.001,20,159,159,20.0509474523818,696.109375,0.140356632166672
159.999,27,160,160,12.207420047225,696.109375,0.0854519403305747
161,17,161,161,14.4344509928737,696.109375,0.101041156950116
162.001,36,162,162,19.9716026001695,696.109375,0.139801218201187
162.999,28,163,163,14.0197173304536,696.109375,0.0981380213131748
164.001,26,164,164,11.1086030354036,696.109375,0.0777602212478249
165.001,20,165,165,17.9883363627024,696.109375,0.125918354538917
166,24,166,166,10.9931205051879,696.109375,0.076951843536315
167.001,15,167,167,13.0180651690351,696.109375,0.0911264561832455
168,23,168,168,8.88469333925646,696.109375,0.0621928533747952
169,20,169,169,15.0076103592132,696.109375,0.105053272514492
170,17,170,170,16.9986962000015,696.109375,0.11899087340001
171.001,26,171,171,15.5498245813182,696.109375,0.108848772069227
172.001,18,172,172,12.0133384096362,696.109375,0.0840933688674535
173,18,173,173,11.0981287667049,696.109375,0.0776869013669343
174,35,174,174,19.9812220915056,696.109375,0.139868554640539
175.001,22,175,175,9.991702446213,696.109375,0.069941917123491
176.001,25,176,176,18.0236614627683,696.109375,0.126165630239378
177.001,28,177,177,16.6507984557383,696.109375,0.116555589190168
178.001,27,178,178,18.8709070112746,696.109375,0.132096349078922
179,26,179,179,18.9868307342028,696.109375,0.132907815139419
180.001,24,180,180,14.0151124958042,695.721354166667,0.0981057874706296
181.001,22,181,181,18.0079000657589,696.109375,0.126055300460312
182,20,182,182,14.9770596377529,696.109375,0.10483941746427
183.001,21,183,183,27.0787911586343,696.109375,0.18955153811044
184.001,17,184,184,12.2079673856383,696.109375,0.0854557716994678
185.001,16,185,185,9.99233476897278,696.109375,0.0699463433828094
186,23,186,186,19.979050855231,696.109375,0.139853355986617
187,28,187,187,11.1097606579822,696.109375,0.0777683246058757
188,24,188,188,13.0172569775752,696.109375,0.0911207988430262
189,17,189,189,12.0098937504716,696.109375,0.0840692562533015
