Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1,0,1,1,10.5827653739537,696.109375,0.0740793576176756
2,0,2,2,13.3292220088559,696.109375,0.0933045540619915
3.001,0,3,3,21.0913859782468,696.109375,0.147639701847728
4.002,0,4,4,20.9968798636523,696.109375,0.146978159045566
5.001,0,5,5,15.5462399031336,696.109375,0.108823679321935
6.001,0,6,6,18.0335008345003,696.109375,0.126234505841502
7,0,7,7,15.5323398848743,696.109375,0.10872637919412
8.001,0,8,8,13.3283973835023,696.109375,0.0932987816845162
9.001,0,9,9,24.4386117624371,696.109375,0.17107028233706
10.001,0,10,10,17.9895606579502,696.109375,0.125926924605651
11.001,0,11,11,20.0504248133631,696.109375,0.140352973693542
12.001,0,12,12,16.6391787433826,696.109375,0.116474251203678
13.001,7,13,13,17.7743927434264,695.721354166667,0.124420749203985
14,3,14,14,14.4363889394163,696.109375,0.101054722575914
15.001,7,15,15,16.0121436097136,696.109375,0.112085005267995
16.001,4,16,16,13.3233911228021,696.109375,0.093263737859615
17.001,8,17,17,24.0616531739276,696.109375,0.168431572217493
18.001,10,18,18,14.4330759915884,696.109375,0.101031531941119
19.001,2,19,19,15.9976627414735,696.109375,0.111983639190314
20.001,4,20,20,15.5431918099814,696.109375,0.10880234266987
21.001,3,21,21,12.9999324003515,696.109375,0.0909995268024606
22,6,22,22,16.0174670478156,696.109375,0.112122269334709
23.001,5,23,23,21.1088899867981,696.109375,0.147762229907586
24.001,3,24,24,19.9728724008635,696.109375,0.139810106806045
25.001,4,25,25,19.0285485313616,696.109375,0.133199839719531
26,7,26,26,12.2082397183315,696.109375,0.0854576780283205
27.001,9,27,27,18.9893982189743,696.109375,0.13292578753282
28,10,28,28,14.9939619315302,696.109375,0.104957733520711
29,3,29,29,11.0244931163566,696.885416666667,0.0771714518144963
30.001,6,30,30,18.8654852064078,696.109375,0.132058396444855
31.001,8,31,31,15.5388409423153,696.109375,0.108771886596207
32.001,6,32,32,14.0008386502351,696.109375,0.098005870551646
33,7,33,33,18.0243978248958,696.109375,0.12617078477427
34.001,4,34,34,11.1021948150974,696.109375,0.0777153637056817
35.001,12,35,35,7.77651193444623,696.109375,0.0544355835411236
36.001,6,36,36,11.1004238696855,696.109375,0.0777029670877982
37,4,37,37,11.0186104330214,696.109375,0.0771302730311496
38.001,4,38,38,22.9742045631165,696.497395833333,0.160819431941816
39.001,5,39,39,18.0263238407046,696.109375,0.126184266884932
40.001,13,40,40,22.1855938068471,696.109375,0.15529915664793
41.001,9,41,41,12.0274261398266,696.109375,0.0841919829787865
42.001,11,42,42,9.9801815772058,696.109375,0.0698612710404406
43.001,7,43,43,15.5350906627891,696.109375,0.108745634639524
44,11,44,44,17.0347986867573,696.109375,0.119243590807301
45.001,7,45,45,15.003919023649,696.109375,0.105027433165543
46.001,6,46,46,24.407962676231,696.109375,0.170855738733617
47.001,9,47,47,18.987210215199,696.109375,0.132910471506393
48.001,3,48,48,17.0133129173578,696.109375,0.119093190421505
49.001,4,49,49,21.0272176305009,696.109375,0.147190523413506
50.001,10,50,50,14.4315266246125,696.109375,0.101020686372287
51,11,51,51,21.1027216068989,696.109375,0.147719051248293
52.001,7,52,52,14.997916789358,696.109375,0.104985417525506
53.001,9,53,53,11.0724645191179,696.109375,0.0775072516338252
54,15,54,54,9.01774060108451,696.109375,0.0631241842075916
55,9,55,55,13.3280406203137,696.109375,0.0932962843421957
56.001,10,56,56,11.096511800419,696.109375,0.0776755826029332
57,8,57,57,12.002970735257,696.109375,0.0840207951467988
58,12,58,58,15.9938967290082,696.109375,0.111957277103057
59.001,14,59,59,10.0160507212809,696.109375,0.070112355048966
60,9,60,60,16.6301155205431,696.109375,0.116410808643802
61.001,9,61,61,15.0411857748888,696.109375,0.105288300424222
62,5,62,62,8.88137721740235,696.109375,0.0621696405218164
63.001,6,63,63,17.7576228758137,696.109375,0.124303360130696
63.999,10,64,64,15.0073355856343,696.109375,0.10505134909944
65,9,65,65,10.9996051141764,696.109375,0.0769972357992348
66.001,10,66,66,10.9945642874163,696.109375,0.0769619500119141
67,9,67,67,15.5419080334235,696.109375,0.108793356233965
68.001,13,68,68,12.0037367632544,696.109375,0.0840261573427808
69.001,6,69,69,22.0109922895494,696.109375,0.154076946026846
70.001,12,70,70,17.7612598061581,696.109375,0.124328818643106
71.001,9,71,71,13.0198370236893,696.109375,0.0911388591658251
72.001,10,72,72,19.9984881142986,696.109375,0.13998941680009
73,7,73,73,14.998702612224,696.109375,0.104990918285568
74.001,14,74,74,17.750672500869,696.109375,0.124254707506083
75,10,75,75,17.0292477329814,696.109375,0.11920473413087
76.001,10,76,76,23.0002047018218,696.109375,0.161001432912753
77.001,13,77,77,14.4282559412783,696.109375,0.100997791588948
78,22,78,78,16.9869862698187,696.109375,0.118908903888731
79.001,11,79,79,17.7674686976068,696.109375,0.124372280883248
80,22,80,80,18.0476313085495,696.109375,0.126333419159847
81,9,81,81,13.3257687386127,696.109375,0.093280381170289
82.001,29,82,82,12.9864719921258,696.109375,0.0909053039448806
83,12,83,83,9.99038148271692,696.109375,0.0699326703790184
84.001,23,84,84,12.0120973832747,696.109375,0.0840846816829229
85,22,85,85,14.0124935392396,696.109375,0.0980874547746771
86.001,18,86,86,13.33318666828,695.721354166667,0.0933323066779599
87.001,28,87,87,17.0304726246673,696.109375,0.119213308372671
88.001,20,88,88,14.3901233277847,696.109375,0.100730863294493
89.001,30,89,89,19.0478214605589,696.109375,0.133334750223912
90.001,32,90,90,13.3235967449121,696.109375,0.0932651772143845
91.001,22,91,91,11.1073136439908,696.109375,0.0777511955079358
92,30,92,92,9.98899878267401,696.109375,0.0699229914787181
93,29,93,93,17.7690571194115,696.109375,0.124383399835881
94,29,94,94,16.0076452513721,696.109375,0.112053516759604
95,27,95,95,15.0129982538882,696.109375,0.105090987777218
96,31,96,96,22.1985536310396,696.109375,0.155389875417277
97,28,97,97,23.3176975217174,696.109375,0.163223882652022
98.001,28,98,98,14.4190492944038,696.109375,0.100933345060827
99,35,99,99,14.4235079213906,696.109375,0.100964555449734
100.001,48,100,100,15.0012646066063,696.109375,0.105008852246244
101.001,33,101,101,14.0135497012061,696.109375,0.0980948479084427
102,31,102,102,12.9908349659315,696.109375,0.0909358447615207
103.001,34,103,103,18.016611315633,696.109375,0.126116279209431
104.001,26,104,104,13.0140030673004,696.109375,0.0910980214711029
105,40,105,105,14.4341993704913,695.721354166667,0.101039395593439
106.001,32,106,106,16.0070719243762,696.109375,0.112049503470633
107,36,107,107,21.0941045752447,696.109375,0.147658732026713
108.001,38,108,108,11.0905935131119,696.109375,0.077634154591783
109.001,33,109,109,9.02560292782536,696.109375,0.0631792204947775
110.001,49,110,110,13.3163948790472,696.885416666667,0.0932147641533303
111,22,111,111,12.0076945306552,696.109375,0.0840538617145867
112.001,31,112,112,16.6571683790976,696.497395833333,0.116600178653683
113.001,31,113,113,15.0266091194287,696.497395833333,0.105186263836001
114,35,114,114,11.0936607826999,696.109375,0.0776556254788995
115.001,33,115,115,15.5378234461538,696.109375,0.108764764123077
116.001,20,116,116,12.0053892192205,696.109375,0.0840377245345436
117,27,117,117,11.0327153107109,696.109375,0.077229007174976
118.001,32,118,118,16.6374180856721,696.109375,0.116461926599704
119.001,37,119,119,23.3091927793449,696.109375,0.163164349455414
120.001,26,120,120,12.0110189087469,696.109375,0.0840771323612282
121,23,121,121,8.87948945599475,696.109375,0.0621564261919632
122.001,30,122,122,9.99819143825984,696.109375,0.0699873400678188
122.999,39,123,123,14.01550395047,696.109375,0.0981085276532901
124,24,124,124,12.2103117414691,696.109375,0.0854721821902835
125,22,125,125,19.9837192639157,696.109375,0.13988603484741
126.001,20,126,126,17.7719821369365,696.497395833333,0.124403874958555
127,37,127,127,17.7770706454121,696.109375,0.124439494517885
128.001,39,128,128,14.0371493156639,696.109375,0.0982600452096473
129,22,129,129,11.1104185616874,696.109375,0.077772929931812
130.001,23,130,130,15.5317005891951,696.109375,0.108721904124365
131,27,131,131,22.2136107457898,696.109375,0.155495275220528
132.001,31,132,132,14.0050222009613,696.109375,0.0980351554067289
133.001,33,133,133,11.1078639122274,696.109375,0.0777550473855921
134,32,134,134,19.9966538932485,696.109375,0.13997657725274
135.001,22,135,135,16.0170742010984,696.109375,0.112119519407689
136,35,136,136,17.9818185832305,696.109375,0.125872730082613
137.001,37,137,137,15.0388573997495,696.109375,0.105272001798246
138,28,138,138,8.88882567946183,696.109375,0.0622217797562328
