Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,694.9453125,,
1.001,0,1,1,696.109375,33.45857295,0.234210011
2,0,2,2,696.109375,28.96811769,0.202776824
3.001,0,3,3,696.109375,26.97818544,0.188847298
4.001,0,4,4,696.109375,27.03986758,0.189279073
5,0,5,5,696.109375,26.65133327,0.186559333
6,0,6,6,696.109375,26.00502417,0.182035169
7,0,7,7,696.109375,35.98837935,0.251918655
8,0,8,8,696.109375,26.01072943,0.182075106
9.001,0,9,9,696.109375,34.41799231,0.240925946
10.001,0,10,10,696.109375,21.09248879,0.147647422
11,0,11,11,696.109375,29.99858007,0.20999006
12.001,3,12,12,696.109375,30.02871045,0.210200973
13.001,5,13,13,696.109375,31.01520676,0.217106447
14,12,14,14,696.109375,36.02662007,0.25218634
15.001,11,15,15,696.109375,22.21333935,0.155493375
16,9,16,16,696.109375,39.96469341,0.279752854
17.001,13,17,17,696.109375,27.9740904,0.195818633
18,10,18,18,696.109375,26.02263188,0.182158423
19,8,19,19,696.109375,26.66633186,0.186664323
20.001,13,20,20,696.109375,33.9958899,0.237971229
21.001,9,21,21,696.109375,21.09670675,0.147676947
22,7,22,22,696.109375,32.19984691,0.225398928
23.001,11,23,23,696.109375,27.99425558,0.195959789
24,8,24,24,696.4973958,39.04818937,0.273337326
25.001,11,25,25,696.109375,32.20021516,0.225401506
26.001,12,26,26,696.109375,28.8617332,0.202032132
27.001,11,27,27,696.109375,18.9946682,0.132962677
28,12,28,28,696.109375,35.5512894,0.248859026
29.001,11,29,29,696.109375,16.02620766,0.112183454
30,13,30,30,696.109375,18.87005657,0.132090396
31.001,9,31,31,696.109375,22.21750224,0.155522516
32,11,32,32,696.109375,35.53519784,0.248746385
33.001,20,33,33,696.109375,24.02882979,0.168201809
34.001,10,34,34,696.109375,30.01523573,0.21010665
35.001,19,35,35,696.109375,43.27494101,0.302924587
36,21,36,36,696.109375,12.21792966,0.085525508
37,19,37,37,696.109375,34.00966215,0.238067635
38,13,38,38,696.109375,24.98078478,0.174865493
39,12,39,39,696.109375,20.99912644,0.146993885
40,15,40,40,696.109375,23.01379907,0.161096594
41,14,41,41,696.4973958,40.06739336,0.280471753
42,13,42,42,696.109375,29.97482448,0.209823771
43,14,43,43,696.109375,28.87712307,0.202139861
44,14,44,44,696.109375,24.38373436,0.170686141
45.001,16,45,45,696.109375,26.00476927,0.182033385
46.001,21,46,46,696.109375,34.04047753,0.238283343
47.001,17,47,47,696.109375,19.99988222,0.139999176
48.001,7,48,48,696.109375,31.97410417,0.223818729
49,11,49,49,695.7213542,23.29693317,0.163078532
50.001,18,50,50,696.109375,23.03327848,0.161232949
51.001,22,51,51,696.109375,32.18678814,0.225307517
52.001,13,52,52,696.109375,28.07534581,0.196527421
53,14,53,53,696.109375,32.14602186,0.225022153
54.001,15,54,54,696.109375,20.00840753,0.140058853
55,12,55,55,696.109375,25.99736647,0.181981565
56.001,26,56,56,696.109375,26.65331928,0.186573235
57.001,18,57,57,696.109375,34.02464745,0.238172532
58,12,58,58,696.109375,30.95013006,0.21665091
59.001,20,59,59,696.109375,24.02792285,0.16819546
60.001,18,60,60,696.109375,31.97254198,0.223807794
61,19,61,61,696.4973958,27.00187933,0.189013155
62,26,62,62,696.109375,23.04453587,0.161311751
63.001,25,63,63,696.109375,28.0119527,0.196083669
63.999,14,64,64,696.109375,21.08074781,0.147565235
65.001,25,65,65,696.109375,24.9999375,0.174999563
66.001,18,66,66,696.109375,27.77627786,0.194433945
67.001,24,67,67,696.109375,33.07030747,0.231492152
68,16,68,68,696.109375,27.74705562,0.194229389
69,19,69,69,696.109375,29.96829654,0.209778076
70.001,21,70,70,696.109375,34.98521525,0.244896507
71,23,71,71,696.109375,39.04707906,0.273329553
72,18,72,72,696.109375,27.76908914,0.194383624
73,18,73,73,696.109375,31.02621715,0.21718352
74,20,74,74,696.4973958,31.93187335,0.223523113
75.001,17,75,75,696.109375,32.05401422,0.2243781
76.001,28,76,76,696.109375,24.4005641,0.170803949
77.001,30,77,77,696.109375,23.00890445,0.161062331
78,24,78,78,696.109375,33.07985145,0.23155896
79.001,19,79,79,698.0494792,29.95708481,0.209699594
80.001,21,80,80,696.109375,34.44421482,0.241109504
81,31,81,81,696.109375,26.94642243,0.188624957
82.001,24,82,82,696.109375,20.04212052,0.140294844
83,30,83,83,696.4973958,25.53887016,0.178772091
84,28,84,84,696.109375,29.99688032,0.209978162
85,15,85,85,696.109375,27.02839874,0.189198791
86.001,44,86,86,696.109375,18.86254211,0.132037795
87,36,87,87,696.109375,19.01407612,0.133098533
88,34,88,88,696.4973958,21.99000994,0.15393007
89.001,45,89,89,696.109375,29.99984333,0.209998903
90,43,90,90,696.109375,25.01210836,0.175084759
91.001,52,91,91,696.109375,41.0542282,0.287379597
92.001,46,92,92,696.4973958,31.0785615,0.21754993
93,45,93,93,696.109375,27.07885905,0.189552013
94.001,54,94,94,696.109375,30.99000561,0.216930039
95.001,45,95,95,696.109375,35.0669709,0.245468796
96,53,96,96,696.109375,24.97555393,0.174828877
97.001,50,97,97,696.109375,40.06454398,0.280451808
98.001,42,98,98,696.109375,18.87221633,0.132105514
99.001,62,99,99,696.109375,25.01814816,0.175127037
100,52,100,100,696.109375,25.53622747,0.178753592
101.001,54,101,101,696.109375,35.03238744,0.245226712
102,60,102,102,696.109375,33.28789536,0.233015267
103.001,46,103,103,696.109375,19.00752698,0.133052689
104,53,104,104,696.109375,36.98960592,0.258927241
104.999,52,105,105,696.109375,29.95620403,0.209693428
106,49,106,106,696.109375,32.03935394,0.224275478
107,36,107,107,696.109375,33.3280675,0.233296472
108.001,29,108,108,696.4973958,25.98937814,0.181925647
109,53,109,109,696.109375,25.02085989,0.175146019
110,43,110,110,696.109375,23.0153236,0.161107265
110.999,53,111,111,696.109375,29.96614492,0.209763014
112.001,45,112,112,696.109375,29.97527939,0.209826956
113,48,113,113,696.109375,34.00609049,0.238042633
114.001,42,114,114,696.109375,28.00688129,0.196048169
