Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,696.109375,,
1,0,1,1,696.109375,30.67123901,0.214698673
2.001,0,2,2,696.109375,28.88231014,0.202176171
3.001,0,3,3,696.109375,34.42540719,0.24097785
4.001,0,4,4,696.109375,35.54379056,0.248806534
5.001,0,5,5,696.109375,31.07400874,0.217518061
6.001,0,6,6,696.109375,42.01685716,0.294118
6.999,0,7,7,696.109375,37.06999557,0.259489969
8,0,8,8,696.109375,26.62687133,0.186388099
9.001,0,9,9,696.109375,25.01134014,0.175079381
10,0,10,10,696.109375,31.96807987,0.223776559
11.001,0,11,11,696.109375,38.07099479,0.266496964
12.001,6,12,12,696.109375,33.29259799,0.233048186
13.001,5,13,13,696.109375,32.04660538,0.224326238
14.001,12,14,14,696.109375,25.49755429,0.17848288
15.001,15,15,15,697.6614583,30.04203782,0.210294265
16.001,9,16,16,696.109375,33.28588615,0.233001203
17.001,20,17,17,696.109375,38.04218117,0.266295268
18,12,18,18,696.109375,29.05942362,0.203415965
19,10,19,19,696.109375,31.07657468,0.217536023
20,11,20,20,696.109375,39.97628207,0.279833975
21.001,11,21,21,696.109375,29.95800886,0.209706062
22.001,8,22,22,696.109375,37.0488452,0.259341916
23.001,15,23,23,696.109375,30.98974859,0.21692824
24.001,9,24,24,696.109375,35.53697367,0.248758816
25.001,16,25,25,696.109375,36.65857327,0.256610013
26,19,26,26,696.109375,29.0203723,0.203142606
27,12,27,27,696.109375,28.86342814,0.202043997
28,14,28,28,696.8854167,36.02100745,0.252147052
29,10,29,29,696.109375,38.99809689,0.272986678
30.001,10,30,30,696.109375,29.04271894,0.203299033
31,13,31,31,696.109375,35.54039166,0.248782742
32.001,13,32,32,696.109375,43.28193363,0.302973535
33,14,33,33,696.109375,32.18237329,0.225276613
34.001,18,34,34,696.109375,24.0355919,0.168249143
35.001,15,35,35,696.109375,39.99857338,0.279990014
36.001,17,36,36,696.109375,37.74416031,0.264209122
37,19,37,37,696.109375,38.05268394,0.266368788
38,18,38,38,696.109375,38.86255303,0.272037871
39,17,39,39,696.109375,40.95449546,0.286681468
40.001,17,40,40,696.8854167,31.04602573,0.21732218
41,21,41,41,696.109375,35.525359,0.248677513
42.001,15,42,42,696.109375,37.01785371,0.259124976
43.001,16,43,43,696.109375,44.44208901,0.311094623
44.001,18,44,44,696.109375,47.72299178,0.334060942
45.001,20,45,45,696.109375,37.08274644,0.259579225
46,21,46,46,696.109375,27.72654221,0.194085795
47,18,47,47,696.109375,31.01956714,0.21713697
48,26,48,48,696.109375,33.31550214,0.233208515
49,12,49,49,696.109375,38.02166094,0.266151627
50,18,50,50,696.109375,34.99615742,0.244973102
51,28,51,51,696.109375,22.21644101,0.155515087
52,20,52,52,696.109375,30.99955671,0.216996897
53,25,53,53,696.4973958,42.18333856,0.29528337
54,20,54,54,696.109375,42.18632635,0.295304284
55.001,29,55,55,696.109375,34.40959899,0.240867193
56.001,21,56,56,696.109375,34.02436825,0.238170578
57,20,57,57,696.109375,31.08589354,0.217601255
58,22,58,58,696.4973958,34.06040613,0.238422843
59.001,23,59,59,696.109375,26.02070988,0.182144969
60,22,60,60,696.109375,42.09723087,0.294680616
61.001,28,61,61,696.109375,27.03447707,0.189241339
