Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,696.109375,,
1.001,0,1,1,696.109375,53.4366021865,0.3740562153055
2,0,2,2,696.885416666667,57.0790430588279,0.399553301411795
3.001,0,3,3,696.109375,59.007222484032,0.413050557388224
4.001,0,4,4,696.109375,49.9904968065571,0.349933477645899
5,0,5,5,696.109375,44.4395511560894,0.311076858092626
6,0,6,6,696.109375,50.9817994975794,0.356872596483056
7,0,7,7,696.885416666667,62.0465224825574,0.434325657377902
8,0,8,8,696.109375,54.4094349957711,0.380866044970397
9,0,9,9,696.109375,56.66074876624,0.39662524136368
10,0,10,10,696.109375,57.0692763946154,0.399484934762308
11,0,11,11,696.109375,55.4388629090058,0.38807204036304
12.001,1,12,12,696.109375,55.9865184463581,0.391905629124507
13,4,13,13,696.109375,61.0226393992171,0.42715847579452
13.999,10,14,14,696.109375,50.9805509198241,0.356863856438769
15,9,15,15,696.109375,53.3327466731199,0.373329226711839
16,6,16,16,696.497395833333,49.0022001987889,0.343015401391522
17,12,17,17,696.109375,56.0423007285899,0.39229610510013
18.001,9,18,18,696.109375,55.4669809499763,0.388268866649834
19,11,19,19,696.109375,51.030807298366,0.357215651088562
19.999,7,20,20,696.497395833333,68.9763273244622,0.482834291271236
21.001,13,21,21,696.109375,57.0902711367214,0.39963189795705
22,11,22,22,696.497395833333,61.0200353183964,0.427140247228775
23,13,23,23,696.109375,50.9771061816138,0.356839743271297
24,13,24,24,696.109375,61.0866208283346,0.427606345798342
25,22,25,25,696.497395833333,57.6989097790997,0.403892368453698
26,9,26,26,696.109375,59.9238434531758,0.419466904172231
27,13,27,27,698.049479166667,52.2055338532338,0.365438736972637
28.001,17,28,28,696.497395833333,61.0921575196183,0.427645102637328
29.001,14,29,29,696.109375,54.3637867062346,0.380546506943642
30.001,9,30,30,696.109375,54.3846937941959,0.380692856559371
31.001,9,31,31,697.661458333333,60.0623206639209,0.420436244647446
32,9,32,32,696.109375,61.0552252282855,0.427386576597998
33,7,33,33,697.661458333333,65.0706146309976,0.455494302416983
34,12,34,34,696.885416666667,55.9513950231434,0.391659765162004
35,6,35,35,696.497395833333,54.0477295499656,0.378334106849759
36,15,36,36,696.885416666667,68.0031417451486,0.47602199221604
37.001,9,37,37,696.109375,58.8244956742908,0.411771469720035
38,4,38,38,696.109375,57.7365090041751,0.404155563029226
39.001,11,39,39,696.109375,58.8742357457699,0.41211965022039
40.001,14,40,40,696.109375,54.0494552515552,0.378346186760886
41.001,12,41,41,696.109375,51.056373006318,0.357394611044226
42,12,42,42,696.109375,53.9922089242522,0.377945462469766
43.001,11,43,43,696.109375,50.0309441389499,0.35021660897265
44,12,44,44,696.109375,44.0409624992205,0.308286737494544
45.001,10,45,45,696.885416666667,53.9261427548829,0.37748299928418
46.001,9,46,46,696.109375,50.0241866942667,0.350169306859867
47.001,14,47,47,696.109375,43.297531085962,0.303082717601734
48.001,16,48,48,696.109375,51.0664053102845,0.357464837171991
49,7,49,49,696.497395833333,49.9262146021752,0.349483502215226
50,18,50,50,696.109375,36.6609231220442,0.256626461854309
51,11,51,51,696.497395833333,45.9993422094064,0.321995395465845
