Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,694.9453125,,
1,0,1,1,696.109375,12.5817908145168,0.0880725357016178
2.001,0,2,2,696.109375,16.0292646284321,0.112204852399025
3,0,3,3,696.109375,18.8615354710036,0.132030748297025
4.001,0,4,4,696.109375,8.01429108386074,0.0561000375870252
5,0,5,5,696.109375,9.97666679340729,0.069836667553851
6.001,0,6,6,696.109375,12.0261171185463,0.0841828198298244
7.001,0,7,7,696.109375,14.4167642570709,0.100917349799496
8,0,8,8,696.109375,18.0158395261114,0.126110876682779
9,0,9,9,696.109375,15.5194142884365,0.108635900019056
10,0,10,10,696.109375,16.0210308071405,0.112147215649984
11.001,0,11,11,696.109375,16.0079767748269,0.112055837423788
12,0,12,12,696.109375,7.99599720379978,0.0559719804265984
13.001,4,13,13,696.109375,17.0320969867716,0.119224678907401
14,6,14,14,696.497395833333,15.5442894000271,0.108810025800189
15.001,2,15,15,696.109375,15.5322830181667,0.108725981127167
16.001,6,16,16,696.109375,16.986736755941,0.118907157291587
17,9,17,17,696.109375,16.0034807570647,0.112024365299453
18.001,1,18,18,696.109375,15.0262403234769,0.105183682264338
19,7,19,19,696.109375,8.88132693241299,0.062169288526891
20,3,20,20,696.109375,12.2033950954555,0.0854237656681886
21.001,6,21,21,696.109375,9.99944503080079,0.0699961152156055
22.001,4,22,22,696.109375,13.3227595032076,0.0932593165224533
23,7,23,23,696.109375,14.442303774085,0.101096126418595
24.001,7,24,24,696.109375,16.0133663568981,0.112093564498287
25,5,25,25,696.109375,12.9843694160969,0.0908905859126783
26,2,26,26,696.109375,15.5510008401984,0.108857005881389
27,2,27,27,696.109375,20.0258152784755,0.140180706949328
28,6,28,28,696.497395833333,16.6428673663328,0.11650007156433
29,7,29,29,696.497395833333,8.99219118117827,0.0629453382682479
30.001,7,30,30,696.109375,11.0301431752694,0.0772110022268856
31,3,31,31,696.109375,16.6452239193199,0.11651656743524
32.001,6,32,32,696.109375,8.88566438001499,0.0621996506601049
33.001,5,33,33,696.109375,14.442006954604,0.101094048682228
34,10,34,34,696.109375,21.0174381684484,0.147122067179139
35,8,35,35,696.497395833333,22.0128709256302,0.154090096479411
36,6,36,36,696.497395833333,16.6597602704923,0.116618321893446
37,6,37,37,696.109375,18.9901479112636,0.132931035378845
38,9,38,38,696.109375,22.2116346763598,0.155481442734519
39,10,39,39,696.109375,13.0052658321354,0.091036860824948
40.001,6,40,40,696.109375,9.99281072783747,0.0699496750948623
41,9,41,41,695.721354166667,17.0318529714272,0.11922297079999
42.001,1,42,42,696.109375,16.6286996500989,0.116400897550692
43,7,43,43,696.109375,15.0220914877419,0.105154640414193
44,10,44,44,696.109375,20.9804378397582,0.146863064878307
45,9,45,45,696.109375,15.0137105204473,0.105095973643131
46,6,46,46,696.109375,17.992033127731,0.125944231894117
47,8,47,47,696.109375,16.9965717914697,0.118976002540288
48.001,14,48,48,696.109375,15.0223487482327,0.105156441237629
49,4,49,49,696.109375,8.87830102168159,0.0621481071517711
50,12,50,50,696.109375,10.0045240457735,0.0700316683204145
51,8,51,51,696.109375,14.4417566730636,0.101092296711445
52.001,10,52,52,696.109375,11.1089300578431,0.0777625104049016
53,2,53,53,696.109375,15.5494808916872,0.10884636624181
54,8,54,54,696.109375,13.3313499247168,0.0933194494730173
55.001,12,55,55,696.109375,7.00844587812773,0.0490591211468941
56.001,9,56,56,696.109375,15.5515605324499,0.108860923727149
57,13,57,57,696.109375,17.7723769498936,0.124406638649255
58,7,58,58,696.109375,18.8822696043776,0.132175887230643
59.001,10,59,59,696.109375,17.7626578087253,0.124338604661077
60,15,60,60,696.109375,13.9969108817684,0.0979783761723787
61.001,6,61,61,696.109375,21.0735697174134,0.147514988021894
62.001,8,62,62,696.109375,20.0356634809962,0.140249644366973
63.001,7,63,63,696.109375,17.0048191657516,0.119033734160261
64,9,64,64,696.109375,13.3196880529058,0.0932378163703406
65.001,12,65,65,696.109375,15.0375698645496,0.105262989051847
66.001,13,66,66,696.109375,21.0548385459573,0.147383869821701
67,10,67,67,696.109375,18.8645598948112,0.132051919263679
68.004,12,68,68,696.109375,13.0257375548346,0.0911801628838422
69.003,13,69,69,696.109375,13.3257154659919,0.0932800082619436
70.001,8,70,70,696.109375,21.9715051549645,0.153800536084752
71.001,15,71,71,696.109375,17.0261879797316,0.119183315858121
