Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1.001,0,1,1,11.6876089139056,696.109375,0.081813262397339
2,0,2,2,11.1023698452529,696.109375,0.0777165889167706
3.001,0,3,3,9.9900643260242,696.109375,0.0699304502821694
4,0,4,4,19.9785430447699,696.109375,0.139849801313389
5.001,0,5,5,7.00966071439658,696.109375,0.0490676250007761
5.999,0,6,6,21.1052743302436,696.109375,0.147736920311705
7,0,7,7,14.0054074878311,696.109375,0.0980378524148174
7.999,0,8,8,13.3302955071017,696.109375,0.0933120685497116
9,0,9,9,11.1096150162889,696.109375,0.0777673051140224
10,0,10,10,13.3304376660403,696.109375,0.0933130636622822
11.001,0,11,11,12.2164682656691,696.109375,0.0855152778596836
12.001,0,12,12,15.006024919005,696.109375,0.105042174433035
13.001,0,13,13,13.0076602110983,696.109375,0.0910536214776882
14,0,14,14,11.1010695769527,696.109375,0.0777074870386687
15,4,15,15,18.0123492666572,696.109375,0.126086444866601
16.001,2,16,16,13.3189961738964,696.109375,0.0932329732172746
17,2,17,17,11.0041309507589,696.109375,0.0770289166553124
18,7,18,18,11.9992812430535,696.109375,0.0839949687013748
19,2,19,19,14.9882656867938,696.109375,0.104917859807557
20.001,5,20,20,14.0041816486403,696.109375,0.098029271540482
21,4,21,21,16.0186922119421,695.721354166667,0.112130845483595
22.001,5,22,22,13.3312003412787,696.109375,0.0933184023889511
23.001,4,23,23,15.0100582400266,696.109375,0.105070407680186
24.001,3,24,24,8.8813259464385,696.109375,0.0621692816250695
25,10,25,25,11.9980335223057,696.109375,0.0839862346561398
26,4,26,26,15.0141688711637,696.109375,0.105099182098146
27.001,4,27,27,18.9739790850827,696.109375,0.132817853595579
28.001,7,28,28,15.5525556403787,696.109375,0.108867889482651
29,13,29,29,21.0524141956228,696.109375,0.14736689936936
30.001,5,30,30,14.4217670170195,696.109375,0.100952369119136
31.001,8,31,31,18.8704713088914,696.109375,0.13209329916224
32,4,32,32,13.0069287909669,696.109375,0.0910485015367686
33.001,7,33,33,19.0256275202698,696.109375,0.133179392641889
34,7,34,34,9.97341972826642,696.109375,0.069813938097865
34.999,5,35,35,16.0244725745158,696.109375,0.112171308021611
36,5,36,36,15.0125159345346,696.109375,0.105087611541742
37.001,7,37,37,15.5318177607446,696.109375,0.108722724325212
38.001,6,38,38,18.9956613909383,696.109375,0.132969629736568
39.001,7,39,39,14.0161858914675,696.109375,0.0981133012402723
40,6,40,40,12.9945773628665,696.109375,0.0909620415400653
41.001,5,41,41,9.00239373649453,696.109375,0.0630167561554617
41.999,9,42,42,9.0256717180677,696.109375,0.0631797020264739
43,10,43,43,14.3809175401507,696.109375,0.100666422781055
44,7,44,44,19.0238254389798,696.109375,0.133166778072858
45.001,7,45,45,13.0103927016901,696.109375,0.0910727489118308
46.001,8,46,46,6.6633764394559,696.109375,0.0466436350761913
47.001,9,47,47,11.0969784925021,696.109375,0.0776788494475147
48,11,48,48,13.3331392620841,696.109375,0.0933319748345885
49,8,49,49,14.9898099272115,696.109375,0.10492866949048
50,8,50,50,13.0274645006603,696.109375,0.091192251504622
51.001,10,51,51,9.99316800414117,696.109375,0.0699521760289882
52.001,5,52,52,27.0286151949068,696.109375,0.189200306364348
53.001,5,53,53,14.4236823550101,696.109375,0.100965776485071
54,6,54,54,17.0317727721064,696.109375,0.119222409404745
55.001,14,55,55,11.1093681746819,696.109375,0.0777655772227735
56.001,13,56,56,18.8550691798034,696.109375,0.131985484258624
57.001,11,57,57,7.99636405326498,696.109375,0.0559745483728549
58,7,58,58,14.0103073831418,696.109375,0.0980721516819924
59,8,59,59,12.9930344342398,696.109375,0.0909512410396786
60,13,60,60,18.0070839868404,696.109375,0.126049587907883
61.001,8,61,61,8.01136171318163,696.109375,0.0560795319922714
62,7,62,62,11.0926627803892,696.109375,0.0776486394627247
63,6,63,63,11.9894744403888,696.109375,0.0839263210827215
63.999,8,64,64,11.0017129667089,696.109375,0.0770119907669624
65,12,65,65,9.99338992775112,696.109375,0.0699537294942579
66,13,66,66,21.0896933558586,696.109375,0.14762785349101
67,7,67,67,9.01185870486974,696.109375,0.0630830109340882
68.001,9,68,68,17.7562631056481,696.109375,0.124293841739537
69,14,69,69,14.4426712053687,696.109375,0.101098698437581
70.001,8,70,70,13.3288711234783,696.109375,0.0933020978643483
71.001,11,71,71,14.0122957895553,696.109375,0.0980860705268874
72.001,7,72,72,14.4370671031547,696.109375,0.101059469722083
73,17,73,73,15.532048662796,696.109375,0.108724340639572
74,16,74,74,11.0380570129693,696.109375,0.0772663990907852
75.001,17,75,75,17.7376650337298,696.109375,0.124163655236109
76,8,76,76,14.4303219693438,696.109375,0.101012253785406
77.001,6,77,77,14.0074281391422,696.109375,0.0980519969739953
78.003,15,78,78,14.4363713048025,696.109375,0.101054599133618
79.001,11,79,79,15.554819294109,696.109375,0.108883735058763
80,24,80,80,11.0314440280576,695.721354166667,0.077220108196403
81.001,12,81,81,6.99438770330687,696.109375,0.0489607139231481
82.001,9,82,82,11.093060236981,696.109375,0.0776514216588673
83.001,23,83,83,7.00234228349383,696.109375,0.0490163959844568
84.001,17,84,84,17.772244685599,696.109375,0.124405712799193
85,19,85,85,10.9960106473371,696.109375,0.07697207453136
86.001,23,86,86,14.0049031165811,696.109375,0.0980343218160678
87.001,22,87,87,16.0385679443357,696.109375,0.11226997561035
88.001,12,88,88,12.2105909559705,696.109375,0.0854741366917935
89.001,17,89,89,19.0037855540824,696.109375,0.133026498878577
90.001,37,90,90,10.9737398405615,696.109375,0.0768161788839307
91.001,28,91,91,16.0395036936471,696.109375,0.11227652585553
92,28,92,92,16.6419866005381,696.109375,0.116493906203766
93.001,39,93,93,13.9976385983685,696.109375,0.0979834701885792
94,36,94,94,11.0059200844134,696.109375,0.0770414405908939
95,36,95,95,23.0125464403193,696.109375,0.161087825082235
96.001,32,96,96,19.9781283889981,696.109375,0.139846898722987
97,26,97,97,5.55461188871357,696.109375,0.038882283220995
98,42,98,98,15.5364267616727,696.109375,0.108754987331709
99.001,36,99,99,16.0418419363225,696.109375,0.112292893554258
100.001,33,100,100,17.9726420442802,695.721354166667,0.125808494309961
101.001,37,101,101,21.0956573701065,696.109375,0.147669601590746
102.001,40,102,102,15.016731642396,696.109375,0.105117121496772
103.001,29,103,103,15.9965447463348,696.109375,0.111975813224344
104.001,27,104,104,9.99555530973894,696.109375,0.0699688871681725
105.001,34,105,105,20.017595466415,696.109375,0.140123168264905
106.001,23,106,106,12.2142124131486,696.109375,0.0854994868920403
107,34,107,107,8.88446245226267,696.109375,0.0621912371658387
108.001,39,108,108,17.0381637830577,696.109375,0.119267146481404
109.001,34,109,109,14.423895201747,696.109375,0.100967266412229
110.001,25,110,110,16.9998028022875,696.109375,0.118998619616012
111.001,25,111,111,12.2117499681939,696.109375,0.0854822497773576
112.001,24,112,112,17.0231753509227,696.109375,0.119162227456459
113.001,35,113,113,8.88709961949883,696.109375,0.0622096973364918
114.001,25,114,114,11.1083229220577,696.109375,0.0777582604544037
115.001,28,115,115,13.3258427290704,696.109375,0.0932808991034928
116.001,23,116,116,15.9948784399235,696.109375,0.111964149079465
117.001,25,117,117,22.0176846042742,696.109375,0.154123792229919
118,37,118,118,10.0106964291345,696.109375,0.0700748750039417
119.001,24,119,119,12.1995405653023,696.109375,0.0853967839571162
120,29,120,120,9.0234718549892,696.109375,0.0631643029849244
121,25,121,121,6.6629894368297,696.109375,0.0466409260578079
121.999,25,122,122,15.532606991648,696.109375,0.108728248941536
123.001,37,123,123,18.0149884704074,696.109375,0.126104919292852
124,23,124,124,4.44302662528136,696.109375,0.0311011863769695
125.001,31,125,125,15.0272489104493,696.109375,0.105190742373145
126,32,126,126,14.4182560853082,696.109375,0.100927792597157
127.001,25,127,127,15.9905639682024,696.109375,0.111933947777417
128,35,128,128,14.4289957996083,696.109375,0.101002970597258
129,34,129,129,10.0194537714426,696.109375,0.0701361764000984
130,20,130,130,16.6586131526859,696.109375,0.116610292068801
131.001,26,131,131,13.9932538523178,696.109375,0.0979527769662246
132,31,132,132,10.0074004726495,696.109375,0.0700518033085467
133.001,30,133,133,12.0153339692115,696.109375,0.0841073377844806
134,35,134,134,16.6383684992646,696.109375,0.116468579494852
135.001,28,135,135,14.4383161813541,696.109375,0.101068213269479
136,34,136,136,9.99976000575986,696.109375,0.069998320040319
137.001,28,137,137,14.4317749495693,696.109375,0.101022424646985
138,36,138,138,12.0302078519162,696.109375,0.0842114549634131
139.001,29,139,139,8.87325224659655,696.109375,0.0621127657261759
140,19,140,140,15.5498159457143,696.109375,0.10884871162
141.001,30,141,141,15.9845301716998,696.109375,0.111891711201899
142.001,29,142,142,17.0470344728139,696.109375,0.119329241309698
143.001,16,143,143,14.4364995575213,695.721354166667,0.101055496902649
144.001,26,144,144,15.9928272169932,696.109375,0.111949790518952
145.001,24,145,145,11.1017942386795,696.109375,0.0777125596707563
146.001,25,146,146,20.0115106209091,696.109375,0.140080574346364
147,24,147,147,8.99370530565657,696.109375,0.062955937139596
