Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1,0,1,1,7.38193621226737,696.109375,0.0516735534858716
2.001,0,2,2,19.0409704561305,696.109375,0.133286793192913
3,0,3,3,7.76163530115921,696.109375,0.0543314471081145
4,0,4,4,13.0129218313786,696.109375,0.0910904528196499
5.001,0,5,5,11.1089979328377,696.109375,0.0777629855298637
6.001,0,6,6,17.0241044294617,696.885416666667,0.119168731006232
7.001,0,7,7,15.5276006984315,696.109375,0.10869320488902
8.001,0,8,8,16.9968436861275,696.109375,0.118977905802892
9.001,0,9,9,7.00204319620465,696.109375,0.0490143023734326
10.001,0,10,10,9.9976795385791,696.109375,0.0699837567700537
11.001,0,11,11,12.2203267137675,696.109375,0.0855422869963725
12,0,12,12,12.9971913069586,697.2734375,0.09098033914871
13.001,0,13,13,14.0260800933255,696.497395833333,0.0981825606532787
14.001,1,14,14,14.4268629075145,696.109375,0.100988040352601
15,1,15,15,12.2135166989307,696.109375,0.0854946168925149
16,4,16,16,14.0011690976197,696.109375,0.0980081836833376
17.001,3,17,17,13.0220098009656,696.109375,0.0911540686067591
18,6,18,18,14.4429953305796,696.109375,0.101100967314057
19.001,3,19,19,13.319617087648,696.109375,0.0932373196135357
20,4,20,20,10.0183476017979,696.109375,0.0701284332125855
21.001,2,21,21,17.7422577777068,696.497395833333,0.124195804443948
22.001,7,22,22,8.88383497388152,696.109375,0.0621868448171707
23,3,23,23,16.010815305739,696.497395833333,0.112075707140173
24,9,24,24,13.3283085610058,696.109375,0.0932981599270408
25,9,25,25,9.00377528297615,696.885416666667,0.0630264269808331
26,12,26,26,12.0074902724319,696.109375,0.0840524319070236
27,4,27,27,13.3249815310204,696.109375,0.0932748707171427
28.001,4,28,28,16.9961248835266,696.109375,0.118972874184686
29,4,29,29,7.00219658906999,696.497395833333,0.0490153761234899
30,8,30,30,18.8832448968031,696.109375,0.132182714277621
31.001,3,31,31,15.5539172096095,696.109375,0.108877420467266
32.001,9,32,32,15.9903865795884,696.109375,0.111932706057118
33,9,33,33,15.0105118614566,696.109375,0.105073583030196
34,5,34,34,13.0148838211379,696.109375,0.091104186747965
35.001,5,35,35,14.4294922838845,696.109375,0.101006445987191
36.001,6,36,36,8.8841911260479,696.109375,0.0621893378823353
37.001,5,37,37,12.2166622834763,696.109375,0.0855166359843342
38,8,38,38,19.9817034202349,696.109375,0.139871923941644
