Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,13.333630006601,696.109375,0.0933354100462069
1,0,1,1,5.29758438628121,696.109375,0.0370830907039684
2,0,2,2,15.5472878533704,696.109375,0.108831014973593
3,0,3,3,6.66515811921235,696.109375,0.0466561068344865
4,0,4,4,18.994782133348,696.109375,0.132963474933436
5,0,5,5,13.3110122448002,696.109375,0.0931770857136011
6,0,6,6,18.0348180196688,696.109375,0.126243726137681
7,0,7,7,15.5245168714905,696.109375,0.108671618100433
8,0,8,8,15.0271510565289,696.109375,0.105190057395703
9,0,9,9,15.5361715921324,696.109375,0.108753201144927
10,0,10,10,12.2149800962452,696.109375,0.0855048606737161
11,0,11,11,16.0183842996607,696.109375,0.112128690097625
12.001,0,12,12,24.4256746704421,696.109375,0.170979722693095
13,6,13,13,11.0175664078807,696.109375,0.0771229648551651
14,15,14,14,17.7603174123928,696.109375,0.12432222188675
15,14,15,15,16.6607706050692,696.109375,0.116625394235484
16,12,16,16,14.0043595571301,696.109375,0.0980305168999109
17,15,17,17,16.9859695891194,696.109375,0.118901787123836
18.001,10,18,18,19.0198110351742,696.109375,0.13313867724622
19,13,19,19,19.9763120891247,696.109375,0.139834184623873
20,15,20,20,9.00138081181653,696.109375,0.0630096656827157
21,15,21,21,10.004736242137,696.109375,0.0700331536949592
22,14,22,22,16.0065626907032,696.109375,0.112045938834922
23.001,17,23,23,10.9977553581314,696.109375,0.0769842875069198
24.001,25,24,24,21.0901475044916,696.109375,0.147631032531442
25.001,19,25,25,18.0194844685559,696.109375,0.126136391279891
26,16,26,26,19.0192189207194,696.109375,0.133134532445036
27,23,27,27,21.0381531336163,696.109375,0.147267071935314
28,20,28,28,25.0773485739415,696.109375,0.17554144001759
29.001,16,29,29,12.2152554548611,696.109375,0.0855067881840279
30.001,19,30,30,11.9913781990749,696.109375,0.0839396473935241
31,25,31,31,19.9922674352287,696.109375,0.139945872046601
32,22,32,32,12.0186360971322,696.109375,0.0841304526799255
33,28,33,33,14.4131055486132,696.109375,0.100891738840293
34.001,30,34,34,14.0146088282426,696.109375,0.0981022617976979
35.001,22,35,35,11.1005606449159,696.109375,0.0777039245144115
36.001,34,36,36,16.0286753001119,696.109375,0.112200727100783
37.001,21,37,37,18.9994737145781,695.721354166667,0.132996316002047
38,28,38,38,17.7606466473838,696.109375,0.124324526531687
39.001,26,39,39,21.0738735765014,696.109375,0.14751711503551
40,25,40,40,26.0492278307546,696.109375,0.182344594815282
41,13,41,41,21.0855390379334,696.109375,0.147598773265534
42,36,42,42,19.0292651068078,696.109375,0.133204855747654
43.001,31,43,43,18.8681297532426,696.109375,0.132076908272698
44.001,26,44,44,18.0052611373043,696.109375,0.12603682796113
45.001,32,45,45,11.0167167660208,696.109375,0.0771170173621453
