Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1,0,1,1,12.7158690973333,696.109375,0.0890110836813331
2,0,2,2,14.4181041701372,696.109375,0.10092672919096
3.001,0,3,3,15.0243710322514,696.109375,0.10517059722576
4.001,0,4,4,21.0085021408164,696.109375,0.147059514985715
5,0,5,5,13.3316683560853,696.109375,0.0933216784925971
6.001,0,6,6,19.9830122192789,696.109375,0.139881085534952
7,0,7,7,22.0129700419487,696.109375,0.154090790293641
8,0,8,8,19.9966538932485,696.109375,0.13997657725274
9.001,0,9,9,19.996920474247,696.109375,0.139978443319729
10.001,0,10,10,16.0213275912895,696.109375,0.112149293139027
11,0,11,11,21.0712396432085,696.109375,0.147498677502459
11.999,0,12,12,28.0198688890292,696.109375,0.196139082223204
13.001,1,13,13,18.0125223055068,696.109375,0.126087656138548
14,9,14,14,11.992045676103,696.109375,0.0839443197327213
15.001,11,15,15,15.5534420156017,696.109375,0.108874094109212
16.001,16,16,16,6.66417500567843,696.109375,0.046649225039749
17,19,17,17,27.008383402208,696.109375,0.189058683815456
18,11,18,18,22.2047322947514,696.109375,0.15543312606326
19,14,19,19,17.0068299429051,696.109375,0.119047809600335
20.001,17,20,20,18.881118259774,696.109375,0.132167827818418
21,18,21,21,20.0321716676983,696.109375,0.140225201673888
22,20,22,22,14.4361677082917,696.109375,0.101053173958042
23.001,19,23,23,18.9955170579743,696.109375,0.13296861940582
24.001,22,24,24,19.0211781797854,696.109375,0.133148247258498
25.001,14,25,25,17.7724460439646,696.109375,0.124407122307752
26.001,20,26,26,12.983638019368,696.109375,0.0908854661355759
27,13,27,27,19.0127385348183,696.109375,0.133089169743728
28.001,19,28,28,12.017722535423,696.109375,0.0841240577479609
29,17,29,29,15.508329246704,696.109375,0.108558304726928
30.001,13,30,30,27.0467611453442,696.109375,0.189327328017409
31,28,31,31,21.0835104533155,696.109375,0.147584573173208
32,25,32,32,19.9800709891922,696.109375,0.139860496924346
33,29,33,33,14.044446459711,696.109375,0.0983111252179773
34.001,20,34,34,24.4142575713052,696.109375,0.170899802999136
35,19,35,35,12.2194239741321,696.109375,0.085535967818925
36.001,25,36,36,22.9912977937851,696.109375,0.160939084556495
37,31,37,37,12.2056943558761,696.109375,0.0854398604911327
38.001,21,38,38,22.0231022342437,696.109375,0.154161715639706
39.001,22,39,39,28.0025398303626,696.109375,0.196017778812538
40,28,40,40,17.0103371819054,696.109375,0.119072360273338
41,21,41,41,21.1049531547795,696.109375,0.147734672083457
42.001,28,42,42,19.0188057951703,695.721354166667,0.133131640566192
43.001,32,43,43,19.9587961741205,696.109375,0.139711573218844
44.001,27,44,44,17.0151792414013,696.497395833333,0.119106254689809
45.001,24,45,45,22.0118974305612,696.109375,0.154083282013929
46.001,36,46,46,31.0833743800393,696.109375,0.217583620660275
47,27,47,47,23.3298908783237,696.109375,0.163309236148266
48,32,48,48,17.0047647350788,696.109375,0.119033353145551
49,35,49,49,22.0028405667172,696.109375,0.15401988396702
50,45,50,50,10.9925811070109,696.109375,0.0769480677490762
51,25,51,51,18.0185230416869,696.109375,0.126129661291808
52,27,52,52,21.0903184005369,696.109375,0.147632228803758
53,29,53,53,26.0374105514804,696.109375,0.182261873860363
54,34,54,54,25.5384618117829,696.109375,0.17876923268248
55,31,55,55,14.406282202889,696.109375,0.100843975420223
56,35,56,56,24.0346892670191,696.109375,0.168242824869134
57,37,57,57,17.0080465068024,696.109375,0.119056325547617
58,25,58,58,13.001798148684,696.109375,0.0910125870407877
59,40,59,59,16.6520812936847,696.109375,0.116564569055793
60.001,29,60,60,20.003530623155,696.109375,0.140024714362085
61,36,61,61,19.0249645584937,696.109375,0.133174751909456
62,41,62,62,15.5439148904043,696.109375,0.10880740423283
63,29,63,63,14.4341769332526,696.109375,0.101039238532768
64.001,43,64,64,18.8697800915828,696.109375,0.13208846064108
65,31,65,65,12.0261580964756,696.109375,0.0841831066753295
66.002,26,66,66,24.4000472030004,696.109375,0.170800330421003
67,31,67,67,16.6639615502417,696.109375,0.116647730851692
68.001,39,68,68,19.0197177413825,696.109375,0.133138024189677
69.001,37,69,69,16.6442265505595,696.109375,0.116509585853917
70,48,70,70,10.0086003903154,696.109375,0.0700602027322078
71,43,71,71,19.9987645207696,696.109375,0.139991351645387
72,36,72,72,13.3170983108149,696.109375,0.093219688175704
73,35,73,73,24.0052427450155,696.109375,0.168036699215109
74,39,74,74,15.989683456234,696.109375,0.111927784193638
75,42,75,75,18.0394034689973,696.109375,0.126275824282981
76,52,76,76,18.8694910520873,696.109375,0.132086437364611
77,34,77,77,19.0418673537507,696.109375,0.133293071476255
78,39,78,78,13.2938947788228,696.109375,0.0930572634517598
79.001,37,79,79,14.0082340399687,696.109375,0.0980576382797808
80,54,80,80,17.9927075556277,696.109375,0.125948952889394
81,49,81,81,17.0310868428142,696.109375,0.119217607899699
82,67,82,82,18.8659123039152,696.109375,0.132061386127406
