Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,
0,0,0,0,696.109375,
1.001,0,1,1,696.109375,
2.001,0,2,2,696.109375,
3,0,3,3,696.109375,
3.999,0,4,4,696.109375,
5,0,5,5,696.109375,
6,0,6,6,694.9453125,
7.001,0,7,7,696.109375,
8,0,8,8,696.109375,
9.001,0,9,9,696.109375,
10.001,0,10,10,696.109375,
11,0,11,11,696.109375,
12.001,0,12,12,696.109375,
13.001,0,13,13,696.497395833333,
14,2,14,14,696.109375,
15,4,15,15,696.109375,
16,3,16,16,696.109375,
17,5,17,17,696.109375,
18,2,18,18,696.109375,
19.001,5,19,19,696.109375,
20.001,2,20,20,696.109375,
21.001,4,21,21,696.109375,
22.001,5,22,22,696.109375,
23.001,3,23,23,696.109375,
24.001,3,24,24,696.109375,
25,5,25,25,696.109375,
26,6,26,26,696.109375,
27,4,27,27,696.109375,
28.001,8,28,28,696.109375,
29,3,29,29,696.109375,
30,3,30,30,696.109375,
31.001,11,31,31,696.109375,
32.001,3,32,32,695.333333333333,
33.001,6,33,33,696.109375,
34.001,11,34,34,696.109375,
35.001,9,35,35,696.109375,
36.001,8,36,36,696.109375,
37.001,10,37,37,696.109375,
38.001,6,38,38,696.109375,
39.001,2,39,39,696.109375,
40.001,3,40,40,696.109375,
41,7,41,41,696.109375,
42,7,42,42,696.109375,
43.001,8,43,43,696.109375,
44.001,6,44,44,696.109375,
45,8,45,45,696.109375,
46.001,11,46,46,696.109375,
47,9,47,47,696.109375,
48,6,48,48,696.109375,
49,12,49,49,696.109375,
50.001,7,50,50,696.109375,
51.001,9,51,51,696.109375,
52,10,52,52,696.109375,
53,9,53,53,696.109375,
54.001,6,54,54,696.109375,
55,9,55,55,696.109375,
56.001,11,56,56,696.109375,
57.001,11,57,57,696.109375,
58,12,58,58,695.721354166667,
59.001,11,59,59,696.109375,
59.999,10,60,60,696.109375,
61.001,4,61,61,696.109375,
62,12,62,62,696.109375,
63,10,63,63,696.109375,
63.999,8,64,64,696.109375,
65.001,16,65,65,696.109375,
66,11,66,66,696.109375,
67.001,8,67,67,695.721354166667,
68,9,68,68,696.109375,
69.001,9,69,69,696.109375,
70.001,14,70,70,696.109375,
71.001,9,71,71,696.109375,
72.001,15,72,72,696.109375,
73.001,9,73,73,696.885416666667,
74,12,74,74,696.109375,
75,6,75,75,696.109375,
76.001,10,76,76,696.109375,
77.001,12,77,77,696.109375,
78,12,78,78,696.109375,
79.001,9,79,79,696.109375,
80,18,80,80,695.333333333333,
81,19,81,81,696.109375,
82.001,19,82,82,696.109375,
83,18,83,83,696.885416666667,
83.999,15,84,84,696.109375,
85.001,25,85,85,696.109375,
86,18,86,86,695.333333333333,
87,15,87,87,696.109375,
88,19,88,88,695.721354166667,
89.001,30,89,89,694.9453125,
90,28,90,90,696.109375,
91.001,33,91,91,696.109375,
