Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
0,0,0,0,696.109375
1.001,0,1,1,696.109375
2.001,0,2,2,696.109375
3.001,0,3,3,696.109375
4.001,0,4,4,696.109375
5,0,5,5,696.109375
6,0,6,6,696.109375
7.001,0,7,7,696.109375
8.001,0,8,8,696.109375
9,0,9,9,696.497395833333
10,0,10,10,696.109375
11.001,0,11,11,696.109375
12,0,12,12,696.109375
13.001,1,13,13,696.109375
14,3,14,14,696.109375
15.001,3,15,15,696.109375
16,6,16,16,696.109375
17.001,6,17,17,696.109375
18.001,5,18,18,696.109375
19.001,6,19,19,696.109375
20.001,2,20,20,696.109375
21,4,21,21,696.109375
22.001,6,22,22,696.109375
23,2,23,23,696.109375
24.001,3,24,24,696.109375
24.999,6,25,25,696.109375
26.001,2,26,26,696.109375
27.001,4,27,27,696.109375
28,11,28,28,696.109375
29.001,4,29,29,696.109375
30,5,30,30,696.109375
31.001,4,31,31,696.109375
32,5,32,32,696.109375
33,7,33,33,696.109375
34,2,34,34,696.109375
35,3,35,35,696.497395833333
36,6,36,36,696.109375
37,11,37,37,696.109375
38,13,38,38,696.109375
39.001,7,39,39,696.109375
40,12,40,40,696.109375
41.001,7,41,41,696.109375
42.001,7,42,42,696.885416666667
43,11,43,43,696.109375
44.001,10,44,44,696.109375
45.001,7,45,45,696.109375
46,6,46,46,696.109375
47.001,10,47,47,696.109375
48.003,9,48,48,696.109375
49.001,6,49,49,696.109375
50.001,10,50,50,696.109375
51.001,12,51,51,696.109375
52,9,52,52,696.109375
53,7,53,53,696.109375
54.001,13,54,54,696.109375
55,10,55,55,696.109375
56.001,7,56,56,696.109375
57.001,10,57,57,696.109375
58,15,58,58,696.109375
59.001,21,59,59,696.109375
60,6,60,60,696.109375
61.001,15,61,61,696.109375
62.001,11,62,62,696.109375
63.001,15,63,63,696.497395833333
64.001,8,64,64,696.109375
65,8,65,65,696.109375
66,12,66,66,696.109375
67,7,67,67,696.109375
68.001,12,68,68,696.109375
69.001,8,69,69,696.109375
70,10,70,70,696.109375
71.001,17,71,71,696.109375
72.001,8,72,72,696.109375
73,13,73,73,696.109375
74,12,74,74,696.109375
75,10,75,75,696.109375
76,7,76,76,696.109375
77.001,8,77,77,696.109375
77.999,9,78,78,696.109375
79,19,79,79,696.109375
80.001,15,80,80,696.109375
81.001,9,81,81,696.109375
82.001,17,82,82,696.109375
83.001,12,83,83,696.109375
84.001,18,84,84,696.109375
85.001,23,85,85,696.109375
86.001,27,86,86,696.109375
87,24,87,87,696.109375
88,27,88,88,696.109375
89,29,89,89,696.109375
89.999,34,90,90,696.109375
91,29,91,91,696.109375
92,19,92,92,696.109375
92.999,39,93,93,696.109375
94.001,27,94,94,696.109375
95,36,95,95,696.109375
96,38,96,96,696.109375
97.001,35,97,97,696.109375
98,41,98,98,696.109375
99.001,27,99,99,696.109375
