Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V
0,0,0,0,696.109375
1.001,0,1,1,696.497395833333
2,0,2,2,696.109375
3.001,0,3,3,696.109375
4,0,4,4,696.109375
5.001,0,5,5,696.109375
6,0,6,6,696.109375
7.001,0,7,7,696.109375
8.001,0,8,8,696.109375
9.001,0,9,9,696.109375
10,0,10,10,696.885416666667
11.001,0,11,11,696.109375
12,0,12,12,696.109375
13.001,2,13,13,696.109375
14,4,14,14,696.109375
15.001,4,15,15,696.885416666667
16,3,16,16,696.109375
17.001,5,17,17,696.109375
18.001,7,18,18,696.109375
19.001,7,19,19,696.109375
20,5,20,20,696.109375
21.001,6,21,21,696.497395833333
22.001,5,22,22,696.497395833333
23,6,23,23,696.497395833333
24.001,5,24,24,696.885416666667
25,6,25,25,696.109375
26.001,5,26,26,696.497395833333
27,13,27,27,696.109375
28.001,8,28,28,696.109375
29,5,29,29,696.109375
30,11,30,30,696.109375
31,8,31,31,696.109375
32.001,9,32,32,696.109375
33,5,33,33,696.109375
34,12,34,34,696.109375
35.001,7,35,35,696.109375
36,6,36,36,696.497395833333
37.001,8,37,37,696.109375
38.001,14,38,38,696.109375
39.001,10,39,39,696.109375
40,6,40,40,696.497395833333
41.001,8,41,41,696.109375
42.001,6,42,42,696.109375
43.001,6,43,43,696.109375
44,8,44,44,696.109375
45.001,10,45,45,696.109375
46,11,46,46,696.109375
47,10,47,47,696.109375
48.001,9,48,48,696.109375
49,6,49,49,696.109375
50.001,9,50,50,696.109375
51.001,8,51,51,696.109375
52.001,1,52,52,696.109375
53,8,53,53,696.109375
54,14,54,54,696.109375
55.001,11,55,55,696.109375
56.001,12,56,56,696.109375
57.001,9,57,57,696.109375
58.001,6,58,58,696.109375
59.001,18,59,59,696.109375
60,19,60,60,696.109375
61.001,11,61,61,696.497395833333
62.001,14,62,62,696.109375
63,13,63,63,696.109375
64,4,64,64,696.109375
65,9,65,65,696.109375
66.001,8,66,66,696.885416666667
67,9,67,67,696.109375
68.001,14,68,68,696.109375
69,9,69,69,696.109375
70,10,70,70,696.497395833333
71.001,16,71,71,696.109375
72.001,6,72,72,696.109375
73.001,13,73,73,696.497395833333
74,21,74,74,696.109375
75.001,15,75,75,696.109375
76,17,76,76,696.497395833333
77.001,23,77,77,696.109375
78.001,18,78,78,696.109375
79,13,79,79,696.109375
80.001,15,80,80,696.109375
81,15,81,81,696.109375
82.001,23,82,82,696.109375
83.001,23,83,83,696.109375
84,14,84,84,696.109375
85.001,15,85,85,696.109375
86,15,86,86,696.109375
87.001,20,87,87,696.109375
88.001,29,88,88,696.109375
89.003,19,89,89,696.109375
90.001,31,90,90,696.109375
91.001,40,91,91,696.109375
92,25,92,92,696.109375
93.001,26,93,93,696.497395833333
94,27,94,94,696.109375
95.001,38,95,95,696.109375
96.001,43,96,96,696.109375
97,34,97,97,696.109375
98.001,37,98,98,696.109375
99,41,99,99,696.109375
100.001,48,100,100,696.109375
101,51,101,101,696.109375
102.001,37,102,102,696.109375
103,28,103,103,696.109375
104.001,28,104,104,696.109375
105.001,42,105,105,696.109375
106.001,34,106,106,696.109375
107.001,29,107,107,696.109375
108,36,108,108,696.109375
109,30,109,109,696.109375
110.001,40,110,110,696.109375
111,33,111,111,696.109375
112.001,37,112,112,696.109375
113.001,37,113,113,696.109375
114.001,37,114,114,696.109375
115,26,115,115,696.497395833333
116.001,31,116,116,696.109375
117,38,117,117,696.109375
118.001,31,118,118,696.497395833333
119,41,119,119,696.109375
120.001,31,120,120,696.109375
121.001,29,121,121,696.109375
122,27,122,122,696.109375
123.001,28,123,123,696.109375
124.001,38,124,124,696.109375
125.001,27,125,125,698.4375
126.001,32,126,126,696.109375
127.001,20,127,127,696.109375
128.001,45,128,128,696.109375
129,42,129,129,696.109375
130.001,31,130,130,696.109375
131,36,131,131,696.109375
132.001,22,132,132,696.109375
133.001,37,133,133,696.109375
134,25,134,134,696.109375
135.001,25,135,135,696.109375
136,30,136,136,696.109375
137.001,31,137,137,696.109375
138.001,32,138,138,696.109375
139,37,139,139,696.109375
140,25,140,140,696.109375
141,34,141,141,696.109375
142.001,22,142,142,696.497395833333
143,28,143,143,696.109375
144.001,32,144,144,696.885416666667
145.001,28,145,145,696.109375
146,35,146,146,696.109375
147.001,38,147,147,696.109375
148.001,39,148,148,696.497395833333
149.001,31,149,149,696.109375
150.001,35,150,150,696.109375
151,28,151,151,696.109375
152.001,36,152,152,696.109375
153.001,32,153,153,696.109375
154,39,154,154,696.109375
155.001,41,155,155,696.109375
156,25,156,156,696.109375
157.001,34,157,157,696.109375
158.001,26,158,158,696.109375
159.001,33,159,159,696.497395833333
160,36,160,160,696.109375
161.001,30,161,161,696.109375
162.001,25,162,162,696.109375
163,37,163,163,696.109375
164.001,40,164,164,696.109375
165.001,30,165,165,696.109375
166,27,166,166,696.497395833333
167.001,28,167,167,696.109375
168.001,29,168,168,696.109375
169,34,169,169,696.109375
170.001,24,170,170,696.109375
171.001,32,171,171,696.109375
172,23,172,172,696.109375
173.001,26,173,173,696.109375
174.001,30,174,174,696.109375
175,20,175,175,696.109375
176,25,176,176,696.109375
177.001,31,177,177,696.109375
178,26,178,178,696.109375
179,28,179,179,696.109375
180.001,34,180,180,696.109375
181.001,29,181,181,696.109375
182,37,182,182,696.109375
183.001,28,183,183,696.109375
184.001,33,184,184,696.109375
185,33,185,185,696.109375
186.001,24,186,186,696.109375
187.001,31,187,187,696.109375
188,29,188,188,696.109375
189,39,189,189,696.109375
190.001,44,190,190,696.109375
191.001,22,191,191,696.109375
192,38,192,192,696.109375
193.001,32,193,193,696.109375
194,32,194,194,696.109375
195.001,27,195,195,696.109375
196.001,27,196,196,696.109375
197,28,197,197,696.109375
198.001,29,198,198,697.661458333333
199.001,24,199,199,696.109375
200.001,19,200,200,696.109375
201,21,201,201,696.109375
202.001,26,202,202,696.109375
203.001,30,203,203,696.109375
204,23,204,204,696.109375
205.001,31,205,205,696.109375
206.001,21,206,206,696.109375
207,25,207,207,696.109375
208.001,30,208,208,696.109375
209.001,20,209,209,696.109375
210,26,210,210,696.109375
211.001,31,211,211,696.109375
212.001,20,212,212,696.109375
213,28,213,213,696.109375
214,19,214,214,696.109375
215.001,14,215,215,696.109375
216.001,20,216,216,696.109375
217,24,217,217,696.109375
218.001,29,218,218,696.109375
219,22,219,219,696.109375
220.001,18,220,220,696.109375
221.001,21,221,221,696.109375
222,24,222,222,696.109375
223.001,24,223,223,696.109375
224.001,30,224,224,696.109375
225.001,25,225,225,696.109375
226,31,226,226,696.109375
227,15,227,227,696.109375
228,25,228,228,696.497395833333
229,30,229,229,696.109375
230,19,230,230,696.109375
231.001,19,231,231,696.109375
232,14,232,232,696.109375
233,27,233,233,696.109375
233.999,28,234,234,696.109375
235,24,235,235,696.109375
236,20,236,236,696.109375
237,24,237,237,696.109375
238,23,238,238,696.109375
239.001,27,239,239,696.109375
240,24,240,240,696.109375
241.001,26,241,241,696.109375
242.001,25,242,242,696.109375
243.001,27,243,243,696.109375
244.001,20,244,244,696.885416666667
245,18,245,245,696.109375
246.001,17,246,246,696.109375
247,16,247,247,697.2734375
248.001,23,248,248,696.109375
249.001,31,249,249,696.109375
250.001,18,250,250,696.109375
251,20,251,251,696.109375
252,22,252,252,696.109375
253,19,253,253,696.109375
254,27,254,254,696.109375
255.001,20,255,255,696.109375
256.001,13,256,256,696.109375
257,15,257,257,696.109375
258,17,258,258,696.109375
259.001,21,259,259,696.109375
259.999,19,260,260,696.109375
261.001,23,261,261,696.109375
262.001,22,262,262,696.109375
263.001,21,263,263,696.109375
264,10,264,264,696.109375
265,22,265,265,696.109375
266,20,266,266,696.109375
267.001,21,267,267,696.109375
268,21,268,268,696.109375
269.001,12,269,269,696.109375
270.001,27,270,270,696.109375
271.001,14,271,271,696.109375
272,8,272,272,696.109375
273.001,7,273,273,696.109375
274,18,274,274,696.497395833333
275,11,275,275,696.109375
276,16,276,276,696.109375
277,13,277,277,696.109375
278,21,278,278,696.497395833333
278.999,13,279,279,696.109375
280,10,280,280,696.109375
281,17,281,281,696.109375
282.001,20,282,282,696.109375
283.001,14,283,283,696.109375
284.001,7,284,284,698.825520833333
285.001,23,285,285,696.109375
286.001,13,286,286,696.109375
287,10,287,287,696.109375
288.001,10,288,288,696.109375
289,22,289,289,696.109375
290.002,10,290,290,696.497395833333
291,18,291,291,696.109375
292.001,16,292,292,696.109375
293.001,12,293,293,696.109375
294.001,10,294,294,696.497395833333
295,11,295,295,696.109375
296,10,296,296,696.109375
297,13,297,297,696.109375
298.001,9,298,298,696.109375
299,14,299,299,696.109375
300,15,300,300,696.109375
301,16,301,301,696.109375
302.001,11,302,302,696.109375
303.001,13,303,303,696.109375
304,17,304,304,696.109375
305,18,305,305,696.109375
306,15,306,306,696.109375
307.001,9,307,307,696.109375
308,16,308,308,696.109375
309.001,16,309,309,696.109375
310.002,15,310,310,696.109375
311,10,311,311,696.109375
312,9,312,312,696.109375
313,11,313,313,696.109375
314,11,314,314,696.109375
315.001,8,315,315,696.109375
316,12,316,316,696.109375
317,14,317,317,696.109375
318.001,7,318,318,696.885416666667
319,7,319,319,696.109375
320.001,13,320,320,696.109375
321,13,321,321,696.109375
322,10,322,322,696.109375
323.001,15,323,323,696.109375
324.001,11,324,324,696.109375
325.001,14,325,325,696.109375
326.001,15,326,326,696.109375
327.001,11,327,327,696.109375
328,14,328,328,696.109375
329.001,11,329,329,698.4375
330,8,330,330,696.109375
331,11,331,331,696.109375
332,5,332,332,696.109375
333.001,12,333,333,696.109375
334.001,14,334,334,696.109375
335,14,335,335,696.109375
336,12,336,336,696.109375
337,11,337,337,696.109375
338,9,338,338,696.109375
339.001,8,339,339,696.109375
340.001,8,340,340,696.109375
341.001,12,341,341,696.109375
342,10,342,342,696.109375
343.001,9,343,343,696.109375
344.001,9,344,344,696.109375
345.001,10,345,345,696.109375
346.001,11,346,346,696.109375
347,6,347,347,696.109375
348,6,348,348,696.497395833333
349,7,349,349,696.109375
350,11,350,350,696.109375
351,6,351,351,696.109375
352,9,352,352,696.109375
353,11,353,353,696.109375
354,10,354,354,696.497395833333
355,3,355,355,696.109375
356.001,9,356,356,696.885416666667
357.001,12,357,357,696.109375
358,4,358,358,696.109375
359,6,359,359,696.497395833333
360.001,14,360,360,696.109375
361,7,361,361,696.109375
362,9,362,362,696.109375
363,6,363,363,696.109375
364,15,364,364,696.109375
365,8,365,365,696.109375
366,7,366,366,696.109375
367.001,11,367,367,696.109375
368.001,8,368,368,696.109375
369.001,5,369,369,696.109375
370,4,370,370,696.109375
371.001,5,371,371,696.109375
372,8,372,372,696.109375
373,8,373,373,696.109375
374.001,8,374,374,696.109375
375,6,375,375,696.109375
376,7,376,376,696.109375
377,11,377,377,696.109375
378,12,378,378,696.497395833333
379.001,15,379,379,696.109375
380,10,380,380,696.109375
381.001,11,381,381,696.109375
382,12,382,382,696.109375
383.001,8,383,383,696.109375
384.001,8,384,384,696.109375
385,9,385,385,696.109375
386.001,9,386,386,696.109375
387.001,10,387,387,696.109375
388.001,8,388,388,696.109375
389,4,389,389,696.109375
390,5,390,390,696.109375
391,9,391,391,696.109375
392,6,392,392,696.109375
393,2,393,393,696.109375
394.001,6,394,394,696.109375
395,8,395,395,696.109375
396,4,396,396,696.109375
397,7,397,397,696.109375
398,8,398,398,696.109375
399,5,399,399,696.109375
400,7,400,400,696.109375
401,3,401,401,696.109375
402.001,10,402,402,696.109375
403.001,5,403,403,696.109375
404.001,7,404,404,696.497395833333
405,6,405,405,696.109375
406,7,406,406,696.109375
407,7,407,407,696.109375
408,7,408,408,696.109375
409.001,7,409,409,696.109375
410,8,410,410,696.109375
411,5,411,411,696.109375
412.001,12,412,412,696.109375
413.001,3,413,413,696.109375
414,6,414,414,696.497395833333
415.001,6,415,415,696.109375
416.001,7,416,416,696.109375
417.001,3,417,417,696.109375
418,6,418,418,696.109375
419,5,419,419,696.109375
420.001,8,420,420,696.497395833333
421,5,421,421,696.109375
422,10,422,422,696.109375
423,5,423,423,696.109375
