Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,696.109375,,
1.001,0,1,1,696.109375,18.0029897671006,0.126020928369704
2,0,2,2,696.109375,12.0189683358276,0.0841327783507932
3,0,3,3,695.721354166667,14.4394868872798,0.101076408210959
4,0,4,4,696.109375,15.5542783764755,0.108879948635329
5,0,5,5,696.109375,12.9928357503672,0.0909498502525707
6.001,0,6,6,696.109375,25.5448834709055,0.178814184296338
7,0,7,7,696.109375,15.9915356801645,0.111940749761151
8.001,0,8,8,696.109375,7.00318294664925,0.0490222806265448
9.001,0,9,9,696.109375,5.55390419470833,0.0388773293629583
10.001,0,10,10,696.109375,14.007250152679,0.0980507510687532
11,0,11,11,696.109375,12.2160504020913,0.0855123528146391
12.001,1,12,12,696.109375,16.6629915513079,0.116640940859155
13.001,0,13,13,696.109375,12.011325478794,0.0840792783515577
14.001,3,14,14,696.109375,16.6388963486608,0.116472274440625
15.001,0,15,15,696.109375,12.0236240164676,0.0841653681152729
16,6,16,16,696.109375,17.7322217299068,0.124125552109347
17.001,4,17,17,696.109375,9.02235649716432,0.0631564954801503
18.001,5,18,18,696.109375,14.978088554254,0.104846619879778
19.001,5,19,19,696.109375,15.5502166478398,0.108851516534879
20,7,20,20,695.721354166667,11.0940829264948,0.0776585804854637
21.001,5,21,21,696.109375,14.0285241982523,0.0981996693877661
22,3,22,22,695.333333333333,17.0051015304591,0.119035710713214
23.001,4,23,23,695.333333333333,13.311979439204,0.0931838560744282
24.001,6,24,24,696.109375,12.9932123458705,0.0909524864210936
25.001,5,25,25,696.109375,12.0279216172423,0.0841954513206959
26.001,7,26,26,696.109375,13.3270118873614,0.09328908321153
27.001,6,27,27,696.109375,16.6446568820496,0.116512598174347
28,7,28,28,696.109375,7.99054957701526,0.0559338470391069
29.001,6,29,29,696.497395833333,9.01684436696192,0.0631179105687334
30.001,7,30,30,696.109375,19.0007809320963,0.133005466524674
31,8,31,31,696.109375,13.3316816861022,0.0933217718027155
32.001,6,32,32,696.109375,18.0081612987006,0.126057129090904
33.001,8,33,33,696.109375,6.66331131923347,0.0466431792346343
34,5,34,34,696.109375,12.1969582560213,0.0853787077921487
35,9,35,35,696.109375,15.0211196942902,0.105147837860031
36.001,6,36,36,696.109375,18.8831316318669,0.132181921423068
37.001,8,37,37,696.109375,17.0164225494024,0.119114957845817
38,4,38,38,696.109375,17.7607452231088,0.124325216561762
39.001,5,39,39,696.109375,11.1013111203499,0.0777091778424491
40.001,10,40,40,696.109375,12.0106558538736,0.0840745909771149
41.001,6,41,41,696.109375,12.2104052633507,0.0854728368434548
42.001,6,42,42,696.109375,14.4427738969304,0.101099417278513
43.001,11,43,43,696.109375,18.0331575668181,0.126232102967727
44.001,7,44,44,696.109375,24.422873619733,0.170960115338131
45,5,45,45,696.109375,13.3093690749046,0.093165583524332
46.001,8,46,46,698.049479166667,19.0076657916138,0.133053660541296
47.001,5,47,47,696.109375,16.02170620757,0.11215194345299
48.001,7,48,48,696.109375,18.88046190939,0.13216323336573
49,8,49,49,696.109375,17.7695879721213,0.124387115804849
50,7,50,50,696.109375,13.0238923304803,0.0911672463133619
51.001,8,51,51,696.109375,16.6497616087133,0.116548331260993
52.001,6,52,52,696.109375,13.3284299520476,0.0932990096643335
53,5,53,53,696.109375,16.0072945241146,0.112051061668802
54,1,54,54,696.109375,9.99604489823527,0.0699723142876469
55,8,55,55,696.109375,16.0014321281755,0.112010024897228
56.001,9,56,56,696.109375,8.87722323120495,0.0621405626184346
57.001,5,57,57,696.109375,9.98839947285223,0.0699187963099656
58,9,58,58,696.109375,13.0193741306438,0.0911356189145067
59.001,6,59,59,696.109375,12.2145704724085,0.0855019933068595
60,6,60,60,696.109375,12.9983817014782,0.0909886719103472
61,14,61,61,696.109375,20.0009600460822,0.140006720322575
62,4,62,62,696.109375,5.99485461628284,0.0419639823139799
63.001,14,63,63,696.109375,16.0290558695748,0.112203391087023
64,11,64,64,696.109375,13.9855641007352,0.0978989487051465
65.001,12,65,65,696.109375,14.9877939406148,0.104914557584303
66,17,66,66,696.109375,13.0202477873341,0.0911417345113386
67,7,67,67,696.109375,19.9868530921883,0.139907971645318
67.999,7,68,68,696.109375,10.0055590886296,0.0700389136204075
69.001,8,69,69,698.4375,15.5514050583389,0.108859835408372
70.001,10,70,70,696.109375,20.9886010907476,0.146920207635233
71,9,71,71,696.109375,13.3187966067702,0.0932315762473913
71.999,11,72,72,696.109375,13.0236287696768,0.0911654013877378
73.001,15,73,73,696.109375,12.0157923558933,0.0841105464912534
74.001,8,74,74,696.109375,11.0948276024666,0.0776637932172659
75,10,75,75,696.109375,11.1079145001605,0.0777554015011236
76.001,20,76,76,696.109375,19.0133663965768,0.133093564776038
77,21,77,77,696.109375,14.9851302552477,0.104895911786734
78,12,78,78,696.109375,14.0042895138781,0.0980300265971467
79.001,8,79,79,696.109375,16.6578195136361,0.116604736595453
80.001,18,80,80,696.109375,17.9911645390949,0.125938151773664
81,17,81,81,696.109375,14.0238517670855,0.0981669623695982
82,19,82,82,696.109375,11.1101210758775,0.0777708475311422
83,22,83,83,696.109375,21.0829138850628,0.14758039719544
84.001,23,84,84,696.109375,9.99700189913045,0.0699790132939132
85.001,21,85,85,696.109375,13.9950345617375,0.0979652419321625
86,19,86,86,696.109375,12.2089104402056,0.0854623730814391
87,23,87,87,696.109375,17.7457978782459,0.124220585147721
88,31,88,88,696.109375,15.0197660120719,0.105138362084503
89,26,89,89,696.109375,14.4238247855898,0.100966773499129
90,19,90,90,696.109375,14.0259367622608,0.0981815573358254
91.001,37,91,91,696.109375,18.8736264163269,0.132115384914288
92.001,32,92,92,696.109375,13.9830190217,0.0978811331519003
93.001,32,93,93,696.109375,14.0207310529349,0.0981451173705441
94,39,94,94,696.109375,14.0060239909185,0.0980421679364295
95,29,95,95,696.109375,15.0062591106751,0.105043813774725
96.001,40,96,96,696.109375,12.2110152238057,0.0854771065666399
97.001,38,97,97,696.109375,4.44158751665179,0.0310911126165625
98,37,98,98,696.109375,17.9964457019739,0.125975119913817
99.001,47,99,99,696.109375,16.9979092571614,0.11898536480013
100.001,31,100,100,696.109375,18.0285175089957,0.12619962256297
101,33,101,101,696.109375,14.4391420706063,0.101073994494244
102.001,29,102,102,696.109375,15.5369060892797,0.108758342624958
103.001,31,103,103,696.109375,12.0271898681349,0.0841903290769442
104,33,104,104,696.109375,12.2113676731794,0.0854795737122558
105,42,105,105,696.109375,3.32780104896726,0.0232946073427708
106.001,35,106,106,696.109375,11.0060610378135,0.0770424272646947
107.001,33,107,107,696.109375,16.9910440206967,0.118937308144877
108.001,35,108,108,696.109375,13.0123369967066,0.091086358976946
109.001,32,109,109,696.109375,7.00113698464631,0.0490079588925241
110.001,32,110,110,696.109375,8.98581947828132,0.0629007363479693
111.001,36,111,111,696.109375,18.018411212577,0.126128878488039
112.001,43,112,112,696.109375,15.5481373664609,0.108836961565227
113,29,113,113,696.109375,18.0162236093602,0.126113565265522
114,33,114,114,696.109375,14.9975928863417,0.104983150204392
115,31,115,115,696.109375,19.0181947068761,0.133127362948132
116.001,30,116,116,696.109375,13.9980626681267,0.0979864386768871
117.001,25,117,117,696.109375,15.541552616648,0.108790868316536
118.001,34,118,118,696.109375,14.4391067879685,0.101073747515779
119,25,119,119,696.109375,9.00446441345619,0.0630312508941933
120.001,33,120,120,696.109375,11.009497893833,0.0770664852568311
121.001,33,121,121,696.109375,13.3266818383536,0.093286772868475
122.001,22,122,122,696.109375,24.3997847051724,0.170798492936207
123,25,123,123,696.109375,16.9967621168167,0.118977334817717
124.001,27,124,124,696.109375,12.0101822324967,0.084071275627477
125.001,20,125,125,696.109375,16.0204677495969,0.112143274247178
126.001,31,126,126,696.109375,19.9554240172841,0.139687968120988
127.001,27,127,127,696.109375,14.0409898617033,0.0982869290319229
128,37,128,128,696.109375,14.4162798390655,0.100913958873459
129,21,129,129,696.109375,19.9802151469567,0.139861506028697
130,32,130,130,696.109375,15.0133829295434,0.105093680506804
131.001,33,131,131,696.109375,17.7484277943485,0.12423899456044
132.001,36,132,132,696.109375,12.0280879910768,0.0841966159375373
133.001,29,133,133,696.109375,6.66249668401988,0.0466374767881392
134,33,134,134,696.109375,8.88275978463749,0.0621793184924624
135.001,37,135,135,696.109375,7.77005693120714,0.0543903985184499
135.999,28,136,136,696.109375,18.9951581341916,0.132966106939341
137,20,137,137,695.721354166667,17.0352971356651,0.119247079949656
138,27,138,138,696.109375,8.88508607205005,0.0621956025043503
139,30,139,139,696.109375,15.5451989985339,0.108816392989737
140.001,27,140,140,696.109375,21.1108718545634,0.147776102981944
141.001,39,141,141,695.333333333333,12.0087760135107,0.0840614320945747
142,23,142,142,696.109375,16.0094615918008,0.112066231142605
143.001,28,143,143,696.109375,15.5340667631998,0.108738467342399
144.001,29,144,144,695.721354166667,10.9983348521034,0.0769883439647237
144.999,25,145,145,695.721354166667,13.993139163868,0.0979519741470757
146.001,32,146,146,696.109375,9.02009496756875,0.0631406647729812
147,36,147,147,696.109375,12.1964024382604,0.085374817067823
148,31,148,148,696.109375,16.6514139714688,0.116559897800282
149.001,28,149,149,696.109375,8.87660760911681,0.0621362532638177
150.001,23,150,150,696.109375,15.5492840110045,0.108844988077031
151.001,27,151,151,696.109375,15.0085834088515,0.105060083861961
