Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,696.109375,,
1,0,1,1,701.9296875,847.678788790829,5.9337515215358
2,0,2,2,708.526041666667,944.260332573691,6.60982232801583
3,0,3,3,704.645833333333,888.752862549866,6.22127003784906
4,0,4,4,706.5859375,859.603627216339,6.01722539051437
5,0,5,5,707.361979166667,820.224331354626,5.74157031948238
6.001,0,6,6,707.75,844.528505939017,5.91169954157312
7.001,0,7,7,705.421875,869.939882049911,6.08957917434938
7.999,0,8,8,699.213541666667,904.372928542821,6.33061049979974
8.999,1,9,9,705.421875,837.181797358258,5.86027258150781
9.999,0,10,10,710.466145833333,879.962748243658,6.1597392377056
11,1,11,11,710.078125,961.166474033303,6.72816531823312
12.001,14,12,12,707.75,913.574924133319,6.39502446893323
13,107,13,13,700.377604166667,911.551516653806,6.38086061657664
14,232,14,14,708.526041666667,918.729600345611,6.43110720241927
15,244,15,15,707.361979166667,873.926691431254,6.11748684001878
16,265,16,16,708.526041666667,859.480587231783,6.01636411062248
16.999,309,17,17,709.690104166667,883.707530553688,6.18595271387582
18.001,289,18,18,704.2578125,823.974687319929,5.7678228112395
19,294,19,19,710.854166666667,843.21701511792,5.90251910582544
20,292,20,20,704.2578125,878.629081581098,6.15040357106769
21,263,21,21,705.809895833333,842.287098915853,5.89600969241097
22,289,22,22,705.033854166667,914.222088424959,6.39955461897472
23.001,351,23,23,703.09375,868.431610510424,6.07902127357297
24,325,24,24,703.869791666667,857.53561674622,6.00274931722354
25.001,321,25,25,705.033854166667,856.389314582409,5.99472520207686
26.001,289,26,26,703.481770833333,886.243768192601,6.20370637734821
27,334,27,27,704.645833333333,889.99555002225,6.22996885015575
28,338,28,28,708.526041666667,880.050692521802,6.16035484765261
29,359,29,29,703.869791666667,907.591721474875,6.35314205032413
30.001,309,30,30,718.2265625,946.089131812203,6.62262392268542
31.001,364,31,31,711.2421875,916.550248792918,6.41585174155042
32,351,32,32,709.690104166667,790.867925056516,5.53607547539561
33,362,33,33,704.645833333333,860.264992698293,6.02185494888805
34,377,34,34,710.854166666667,852.498180302063,5.96748726211444
35.001,397,35,35,706.5859375,940.329175161455,6.58230422613018
36,393,36,36,705.421875,901.958549672868,6.31370984771007
37.001,381,37,37,698.049479166667,850.922395433191,5.95645676803233
38.001,415,38,38,705.421875,857.530332636238,6.00271232845367
39.001,388,39,39,700.765625,927.953045575894,6.49567131903126
40,337,40,40,705.421875,874.393535309722,6.12075474716805
40.999,420,41,41,712.40625,905.32301925327,6.33726113477289
42.001,387,42,42,707.361979166667,895.872127630806,6.27110489341564
43.001,419,43,43,709.690104166667,911.454777299736,6.38018344109815
44,409,44,44,699.213541666667,856.017976177729,5.9921258332441
45,401,45,45,705.421875,835.218082050863,5.84652657435604
46.001,405,46,46,708.526041666667,886.095036245793,6.20266525372055
47,422,47,47,706.973958333333,931.489501614305,6.52042651130013
48.001,430,48,48,711.2421875,905.765518147974,6.34035862703582
49.001,431,49,49,702.317708333333,902.711164738348,6.31897815316843
50.001,426,50,50,705.809895833333,873.634820866613,6.11544374606629
51,404,51,51,708.138020833333,843.970904128109,5.90779632889676
52,412,52,52,709.302083333333,851.366976795865,5.95956883757106
