Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,694.9453125,
1.001,0,1,1,5.28549215913095,696.109375,0.0369984451139166
2.001,0,2,2,16.0029189324133,696.109375,0.112020432526893
3.001,0,3,3,12.0140359982568,696.109375,0.0840982519877973
4,0,4,4,15.5397085061478,695.721354166667,0.108777959543035
4.999,0,5,5,12.016211070355,696.109375,0.0841134774924851
6.001,0,6,6,16.6410671583547,696.109375,0.116487470108483
7.001,0,7,7,13.0030010926522,696.109375,0.0910210076485653
8,0,8,8,6.99843654927489,696.109375,0.0489890558449242
9,0,9,9,8.00715118672487,696.109375,0.056050058307074
10,0,10,10,15.5159829031601,696.109375,0.108611880322121
11.001,0,11,11,17.0113057137774,696.109375,0.119079139996442
12.001,0,12,12,16.0239542091473,696.109375,0.112167679464031
13.001,0,13,13,13.3237017773596,696.109375,0.0932659124415173
14,1,14,14,17.7503751430847,696.109375,0.124252626001593
15,1,15,15,10.0373127062542,696.109375,0.0702611889437796
16.001,5,16,16,12.2026627097499,696.109375,0.0854186389682493
17,6,17,17,16.6338609963683,696.109375,0.116437026974578
18,6,18,18,14.0223010676179,696.109375,0.0981561074733256
19.001,3,19,19,14.4378383313057,696.109375,0.10106486831914
20.001,7,20,20,16.0106230483926,696.109375,0.112074361338748
21.001,7,21,21,15.5402967108851,696.109375,0.108782076976196
22,3,22,22,17.0195503574957,696.109375,0.11913685250247
23,8,23,23,11.0948239096118,696.109375,0.0776637673672826
24.001,5,24,24,19.0488908833412,696.109375,0.133342236183388
25,6,25,25,17.738825288425,696.109375,0.124171777018975
26,3,26,26,10.0119993812584,696.109375,0.0700839956688091
27.001,8,27,27,27.7517743651976,696.109375,0.194262420556383
28,6,28,28,12.2071287856526,696.109375,0.0854499014995681
29,7,29,29,19.9881430335525,696.109375,0.139917001234867
30.001,5,30,30,16.0244661549253,696.109375,0.112171263084477
31,6,31,31,12.9937435124987,696.109375,0.0909562045874911
31.999,3,32,32,18.001897399986,696.109375,0.126013281799902
33,5,33,33,12.9829767209235,696.109375,0.0908808370464647
34.001,4,34,34,13.0138610634186,696.109375,0.0910970274439305
35.001,7,35,35,12.2160734652447,696.109375,0.085512514256713
36.001,4,36,36,13.0214293663081,696.109375,0.0911500055641569
37.001,9,37,37,9.00227217349659,696.109375,0.0630159052144761
38.001,9,38,38,10.9874830592988,696.109375,0.0769123814150919
39.001,5,39,39,19.0052397445976,696.109375,0.133036678212183
40.001,11,40,40,13.9966394068784,696.109375,0.0979764758481489
41.001,9,41,41,14.0210554189226,696.109375,0.0981473879324582
42,11,42,42,12.2060911945924,696.109375,0.0854426383621467
43,7,43,43,14.4365989549457,696.109375,0.10105619268462
44,6,44,44,4.4390514901119,696.109375,0.0310733604307833
45,7,45,45,9.99628471418123,696.109375,0.0699739929992686
46.001,4,46,46,8.87935344987855,696.109375,0.0621554741491498
47.001,10,47,47,12.0219882164479,696.109375,0.0841539175151352
48.001,11,48,48,13.3086428433827,696.109375,0.0931604999036787
49.001,15,49,49,10.0189307696893,696.109375,0.0701325153878253
50.001,11,50,50,9.97478816874859,696.109375,0.0698235171812401
50.999,7,51,51,28.8656840861818,696.109375,0.202059788603273
52,6,52,52,13.0352303169777,696.109375,0.0912466122188439
53,11,53,53,18.8849985791816,696.109375,0.132194990054271
54,10,54,54,25.5040996176825,696.109375,0.178528697323777
55,9,55,55,7.0091764137609,696.109375,0.0490642348963263
56,6,56,56,15.988336508517,696.109375,0.111918355559619
57.001,7,57,57,12.0146590855503,696.109375,0.0841026135988519
58,10,58,58,18.859325847882,695.721354166667,0.132015280935174
59,10,59,59,11.9993460356411,696.109375,0.0839954222494874
60.001,8,60,60,15.014062170629,696.109375,0.105098435194403
61,11,61,61,12.2049779444953,696.109375,0.0854348456114672
62.001,12,62,62,6.66344452104938,696.109375,0.0466441116473456
63,8,63,63,11.0219623622029,696.109375,0.0771537365354205
64,11,64,64,13.309476835521,696.109375,0.0931663378486473
65.001,11,65,65,17.9720749898807,696.109375,0.125804524929165
66,5,66,66,15.0162836579987,696.109375,0.105113985605991
67,16,67,67,18.0056357639941,696.497395833333,0.126039450347959
67.999,11,68,68,17.0357051343912,696.109375,0.119249935940738
68.999,11,69,69,14.4111978110943,696.109375,0.10087838467766
70.001,15,70,70,13.3300422940025,696.109375,0.0933102960580177
71.001,9,71,71,9.99715969585086,696.109375,0.069980117870956
72.001,10,72,72,17.7556640845862,696.109375,0.124289648592103
73.001,9,73,73,19.0330794921574,696.109375,0.133231556445102
74,8,74,74,11.0987126159288,696.109375,0.0776909883115018
75,10,75,75,12.0039733151673,696.109375,0.0840278132061712
76,14,76,76,15.9783238059249,696.109375,0.111848266641474
77,13,77,77,12.2158835359874,696.109375,0.0855111847519121
78,12,78,78,18.0484022050335,696.109375,0.126338815435234
79.001,9,79,79,17.7648291911673,696.109375,0.124353804338171
80.001,15,80,80,16.6642818227791,696.109375,0.116649972759454
81,13,81,81,14.4141491061675,696.109375,0.100899043743173
82.001,14,82,82,9.98306428605339,696.109375,0.0698814500023737
83,19,83,83,16.032501086202,696.109375,0.112227507603414
84,13,84,84,13.3143987788921,696.109375,0.0932007914522448
85,19,85,85,14.0298653744225,696.109375,0.0982090576209577
86.001,28,86,86,15.5194280514327,696.109375,0.108635996360029
87.001,24,87,87,12.2118706265544,696.109375,0.0854830943858811
88.001,22,88,88,16.0266282428255,696.109375,0.112186397699778
88.999,31,89,89,16.6538709424925,696.109375,0.116577096597448
90.001,33,90,90,12.018897312244,696.109375,0.0841322811857083
91.001,31,91,91,14.4095908463185,696.109375,0.100867135924229
92.001,28,92,92,11.1110049392861,696.109375,0.077777034575003
93.001,32,93,93,16.0115875859359,696.109375,0.112081113101552
94.001,33,94,94,13.3330888933703,696.109375,0.093331622253592
95.001,27,95,95,9.00467793018473,696.109375,0.0630327455112931
96.001,45,96,96,15.9852408271443,696.109375,0.11189668579001
97.001,53,97,97,21.9831762751966,696.109375,0.153882233926376
98.001,35,98,98,18.0300904178984,696.109375,0.126210632925289
99.001,31,99,99,17.7665295904882,696.109375,0.124365707133417
100,40,100,100,12.0059093085617,696.109375,0.0840413651599317
101,42,101,101,18.9760313747705,696.109375,0.132832219623394
102.001,38,102,102,21.0169102059517,696.109375,0.147118371441662
103,35,103,103,12.9888880063106,696.109375,0.0909222160441742
104,30,104,104,13.0358054468208,696.109375,0.0912506381277455
105,45,105,105,14.4206039814844,696.109375,0.100944227870391
106.001,30,106,106,14.4326385461137,696.109375,0.101028469822796
107.001,28,107,107,16.0113232077725,696.109375,0.112079262454408
108,42,108,108,18.0028318454493,696.109375,0.126019822918145
109.001,34,109,109,18.8648341292814,696.109375,0.13205383890497
110.001,23,110,110,12.9989106912841,696.109375,0.0909923748389885
111,46,111,111,14.4369917484818,696.109375,0.101058942239373
112.001,34,112,112,17.0196628164518,696.109375,0.119137639715163
112.999,27,113,113,17.0131733000863,696.109375,0.119092213100604
114,23,114,114,24.4202439826576,696.109375,0.170941707878603
115.001,37,115,115,14.4442053126009,696.109375,0.101109437188207
116,31,116,116,13.3192120087791,696.109375,0.093234484061454
117.001,29,117,117,15.0154719422893,696.109375,0.105108303596025
118.001,32,118,118,17.7629910745411,696.109375,0.124340937521787
119,34,119,119,14.4264146320243,696.109375,0.10098490242417
120.001,27,120,120,11.0066689407112,696.109375,0.0770466825849782
121,21,121,121,15.0418418915898,696.109375,0.105292893241129
121.999,22,122,122,9.98504794542661,696.109375,0.0698953356179863
123,37,123,123,15.5390617048371,696.109375,0.10877343193386
124,36,124,124,15.5515242548793,696.109375,0.108860669784155
125.001,35,125,125,12.2169526433154,696.109375,0.0855186685032078
125.999,34,126,126,16.0186216476654,696.109375,0.112130351533658
127.001,36,127,127,15.5432953495904,696.109375,0.108803067447133
128,25,128,128,8.87611714255599,696.109375,0.0621328199978919
129.001,36,129,129,21.034005676978,696.109375,0.147238039738846
129.999,29,130,130,9.00132049371643,696.109375,0.063009243456015
131,33,131,131,17.7752773887584,696.109375,0.124426941721309
132.001,33,132,132,4.43946829376139,696.109375,0.0310762780563297
133.001,31,133,133,14.0096947087384,696.109375,0.0980678629611691
133.999,23,134,134,12.2184372218917,696.109375,0.085529060553242
135.001,30,135,135,13.3265116400971,697.661458333333,0.0932855814806798
136.001,28,136,136,14.0129746131944,696.109375,0.0980908222923605
137,33,137,137,17.9941447053129,696.109375,0.12595901293719
138.001,21,138,138,21.0256639253873,696.109375,0.147179647477711
139,29,139,139,14.4250043469196,696.109375,0.100975030428437
140,38,140,140,14.4383097670501,696.885416666667,0.101068168369351
141,22,141,141,11.9897799116034,696.109375,0.0839284593812235
142,35,142,142,21.0454771716202,696.109375,0.147318340201341
143.001,25,143,143,8.88131312879003,696.109375,0.0621691919015302
144.001,24,144,144,11.0979033729969,696.109375,0.0776853236109781
145,36,145,145,11.102578162983,696.109375,0.0777180471408807
146,19,146,146,18.0276742827915,696.109375,0.126193719979541
147,26,147,147,12.9950268032424,696.109375,0.0909651876226968
147.999,30,148,148,14.0112426210792,696.109375,0.0980786983475541
149,27,149,149,19.9826838942565,696.109375,0.139878787259796
150,34,150,150,12.2186543751447,696.109375,0.0855305806260128
151.001,29,151,151,16.6481206602511,696.109375,0.116536844621758
152.001,31,152,152,16.9996821059446,696.109375,0.118997774741612
153,27,153,153,12.0076116250091,696.109375,0.0840532813750637
154,19,154,154,13.0083110099042,696.109375,0.0910581770693296
155.001,37,155,155,13.0114956564124,696.109375,0.0910804695948871
156.001,34,156,156,13.3149734643675,696.109375,0.0932048142505723
156.999,25,157,157,9.01319351266384,696.109375,0.0630923545886469
158.001,27,158,158,18.8687957179821,696.109375,0.132081570025875
159,26,159,159,9.99894455585244,696.109375,0.0699926118909671
160.001,30,160,160,19.9896453637016,696.109375,0.139927517545911
161.001,15,161,161,7.76920316721556,696.109375,0.0543844221705089
162,25,162,162,16.007448265678,696.109375,0.112052137859746
163,20,163,163,15.0149849549851,696.109375,0.105104894684896
164.001,19,164,164,7.75055352792464,696.109375,0.0542538746954725
165,31,165,165,16.0260342927085,696.109375,0.11218224004896
166,21,166,166,17.0071583129339,696.109375,0.119050108190537
167,15,167,167,20.0038747505392,696.109375,0.140027123253774
168.001,25,168,168,17.008264315631,696.109375,0.119057850209417
169,29,169,169,13.3085262404212,696.109375,0.0931596836829483
170,30,170,170,19.0539073145744,696.109375,0.133377351202021
171,34,171,171,17.7248297723966,696.109375,0.124073808406776
172.001,17,172,172,13.3213263778248,696.109375,0.0932492846447735
173.001,27,173,173,16.0239124846008,696.109375,0.112167387392205
174,16,174,174,14.4397066162625,696.109375,0.101077946313837
175.001,18,175,175,12.0097423029562,696.109375,0.0840681961206931
176.001,15,176,176,14.4313247667509,696.109375,0.101019273367257
177,29,177,177,12.999009475478,696.109375,0.0909930663283458
178,36,178,178,14.0021395269197,696.109375,0.098014976688438
179,24,179,179,12.0110381440544,696.109375,0.0840772670083807
180,20,180,180,11.0056690201123,696.109375,0.0770396831407858
181,23,181,181,16.6408382367412,696.109375,0.116485867657189
182.001,26,182,182,17.0335049041465,696.109375,0.119234534329025
182.999,25,183,183,13.2840245103536,696.109375,0.0929881715724754
184.001,29,184,184,15.0188546701529,696.109375,0.10513198269107
185,18,185,185,16.0168705697711,696.109375,0.112118093988398
186,21,186,186,19.9785740892101,696.109375,0.139850018624471
187,23,187,187,7.76836424661405,696.109375,0.0543785497262983
188.001,26,188,188,20.0285466875938,696.109375,0.140199826813157
189,22,189,189,13.3221885824625,696.109375,0.0932553200772376
190,36,190,190,12.2199180887781,696.109375,0.085539426621447
191,25,191,191,19.9702288266481,696.109375,0.139791601786537
192,25,192,192,15.0112359100787,696.109375,0.105078651370551
193,23,193,193,14.4429455876468,696.109375,0.101100619113528
194,22,194,194,12.0125928010333,696.109375,0.0840881496072333
195.001,19,195,195,22.2127546525725,696.109375,0.155489282568008
196.001,14,196,196,11.9809897635422,696.109375,0.0838669283447953
197.001,20,197,197,10.0113598900673,696.109375,0.0700795192304708
198.001,23,198,198,17.9918874579452,696.109375,0.125943212205616
199.001,16,199,199,17.008133289339,696.109375,0.119056933025373
200,26,200,200,16.0230154594059,696.109375,0.112161108215841
201,17,201,201,13.3327066961186,696.109375,0.0933289468728303
202,27,202,202,16.6493642773238,696.109375,0.116545549941267
203,22,203,203,12.2042115180686,696.109375,0.0854294806264799
204.001,12,204,204,11.0067493386945,696.109375,0.0770472453708614
205.001,28,205,205,15.5393014462428,696.109375,0.108775110123699
206.001,20,206,206,19.041077316094,696.109375,0.133287541212658
207,12,207,207,18.8766651994686,696.109375,0.13213665639628
208.001,19,208,208,11.0934786431123,696.109375,0.0776543505017858
209.001,25,209,209,13.0194758338999,696.109375,0.0911363308372995
210,13,210,210,12.2162009924886,696.109375,0.0855134069474201
211,26,211,211,9.98020703163249,696.109375,0.0698614492214274
212.001,18,212,212,10.0222142378582,696.109375,0.0701554996650075
213.001,21,213,213,5.5551913818983,696.109375,0.0388863396732881
214,29,214,214,21.1058627865649,696.109375,0.147741039505954
215.001,21,215,215,17.9895462746598,696.109375,0.125926823922619
216.001,21,216,216,15.0446872344926,696.109375,0.105312810641448
