Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,696.109375,
1,0,1,1,54.0766476041182,696.109375,0.378536533228828
2,0,2,2,55.4953739056312,696.109375,0.388467617339419
3,0,3,3,51.0031672966891,696.109375,0.357022171076824
4,0,4,4,48.012689753902,696.109375,0.336088828277314
5,0,5,5,39.0117425345029,696.109375,0.27308219774152
6,0,6,6,52.9922631295831,696.109375,0.370945841907082
7.001,0,7,7,43.0051348130967,696.109375,0.301035943691677
8.001,0,8,8,53.9898283163452,696.109375,0.377928798214416
9,0,9,9,49.9516412610769,696.109375,0.349661488827538
10,0,10,10,42.0028519936504,696.109375,0.294019963955553
11.001,0,11,11,21.989350557525,696.109375,0.153925453902675
12.001,0,12,12,19.0090521106151,696.109375,0.133063364774306
13.001,1,13,13,25.0236022616532,696.109375,0.175165215831572
14,3,14,14,17.7408039711016,695.721354166667,0.124185627797711
15.001,1,15,15,24.0726077996453,696.109375,0.168508254597517
16,3,16,16,23.2990035459974,696.109375,0.163093024821982
17.001,4,17,17,19.987427907846,696.109375,0.139911995354922
18,7,18,18,14.440473314283,696.109375,0.101083313199981
19,4,19,19,14.004587902997,696.109375,0.0980321153209792
20,4,20,20,13.3226411736448,696.109375,0.0932584882155133
21.001,8,21,21,14.4406080562375,696.109375,0.101084256393663
22.001,9,22,22,22.0427320403334,696.109375,0.154299124282334
23,9,23,23,23.9844029427663,696.109375,0.167890820599364
24.001,3,24,24,25.5420835255005,696.109375,0.178794584678503
25,4,25,25,33.0514842970896,696.109375,0.231360390079627
26.001,7,26,26,10.9979972646981,696.109375,0.0769859808528867
27.001,5,27,27,22.2114348686877,696.109375,0.155480044080814
28.001,3,28,28,22.2185339455873,696.109375,0.155529737619111
29.001,7,29,29,21.0289400272655,696.109375,0.147202580190859
30,6,30,30,16.6396051222029,696.109375,0.11647723585542
31,5,31,31,7.9903731983706,699.6015625,0.0559326123885942
32,6,32,32,24.0481251079661,696.109375,0.168336875755762
33,5,33,33,15.5408401067345,696.109375,0.108785880747141
34.001,11,34,34,7.77205322879404,696.109375,0.0544043726015583
35,4,35,35,14.0124570743391,696.109375,0.0980871995203736
36.001,8,36,36,23.0089688960757,696.109375,0.16106278227253
37.001,12,37,37,15.9933211890714,696.109375,0.1119532483235
38.001,7,38,38,16.6605559449806,696.109375,0.116623891614864
39.001,3,39,39,15.0187283542578,696.109375,0.105131098479804
40,7,40,40,15.5495033433098,696.109375,0.108846523403169
41.001,10,41,41,10.9921614896417,696.109375,0.0769451304274921
42,7,42,42,13.9986365328017,696.109375,0.0979904557296119
43.001,9,43,43,8.99616043872475,696.109375,0.0629731230710733
44,6,44,44,11.0201061837322,696.109375,0.0771407432861255
44.999,6,45,45,13.3093365994445,696.109375,0.0931653561961117
46.001,0,46,46,17.0104444128695,696.109375,0.119073110890087
47,14,47,47,10.0057422955034,696.109375,0.0700401960685237
48.002,11,48,48,7.77229571853097,696.109375,0.0544060700297168
49,9,49,49,9.99422222908245,696.109375,0.0699595556035772
50,8,50,50,9.99388707240738,696.109375,0.0699572095068516
51.001,11,51,51,11.0158838028553,696.109375,0.0771111866199873
52.001,11,52,52,22.0131154141638,696.109375,0.154091807899146
53.001,8,53,53,17.7595604153606,696.109375,0.124316922907524
54,12,54,54,8.88469037909086,696.109375,0.062192832653636
55.001,8,55,55,14.4437254678878,696.109375,0.101106078275215
56,15,56,56,10.9946467065186,696.109375,0.0769625269456302
57,14,57,57,14.0301423578416,696.109375,0.0982109965048911
58,12,58,58,20.9943210361597,696.109375,0.146960247253118
59,8,59,59,12.2188403187518,696.109375,0.0855318822312624
60.001,11,60,60,14.4379746275919,696.109375,0.101065822393143
61,10,61,61,9.00314029533501,696.109375,0.0630219820673451
62,12,62,62,12.2170286276079,696.109375,0.0855192003932551
63.001,13,63,63,14.9946379174807,696.109375,0.104962465422365
64,14,64,64,21.0157996781981,696.109375,0.147110597747386
65,5,65,65,16.0117702523125,696.109375,0.112082391766187
66.001,9,66,66,14.4350568458091,696.109375,0.101045397920663
67,10,67,67,11.1077824789616,696.109375,0.0777544773527311
68,5,68,68,13.025390393494,696.109375,0.0911777327544583
69,13,69,69,15.5309941511385,696.109375,0.10871695905797
70.001,10,70,70,8.99668292300629,696.109375,0.062976780461044
71,16,71,71,11.1098914919118,696.109375,0.0777692404433824
72.001,17,72,72,11.0050491165347,696.109375,0.0770353438157427
