Time (s),Events N,Channel n,Energy E / keV,Rate R / 1/s,Angle
2.001,0,2,2,27.76922794,45
3.001,51,3,3,23.05620642,45
4.001,111,4,4,25.51747215,45
5,118,5,5,26.6315899,45
6.001,128,6,6,33.04075577,45
7,138,7,7,23.99176363,45
8.001,148,8,8,34.05549343,45
9,181,9,9,31.07238111,45
10.001,266,10,10,31.0673131,45
11.001,421,11,11,26.05481412,45
12.001,442,12,12,24.39568019,45
13.001,418,13,13,27.76493804,45
14.001,318,14,14,26.00923068,45
15.001,317,15,15,27.99540595,45
16,294,16,16,32.99226991,45
17,295,17,17,29.02574003,45
18,291,18,18,25.5522508,45
19.001,330,19,19,32.04972515,45
20,284,20,20,24.40626762,45
21,316,21,21,31.99899843,45
21.999,313,22,22,24.02182623,45
23,297,23,23,26.03071885,45
24,254,24,24,25.54301394,45
25.001,305,25,25,29.97820584,45
26.001,279,26,26,19.99468141,45
27,271,27,27,37.0597403,45
28,267,28,28,45.51411748,45
29,262,29,29,27.75792469,45
30,266,30,30,34.01054667,45
31,218,31,31,27.9571082,45
32.001,205,32,32,26.0391629,45
33.001,223,33,33,28.96309233,45
34.001,204,34,34,34.07304921,45
35,203,35,35,29.9630622,45
36,186,36,36,32.99032724,45
37.001,206,37,37,31.05600396,45
38.001,195,38,38,20.03265724,45
39,184,39,39,33.28059838,45
40,172,40,40,30.03293412,45
41.001,173,41,41,25.98742209,45
42,215,42,42,23.01772825,45
43.001,189,43,43,28.87315623,45
44,177,44,44,25.99038096,45
45.001,182,45,45,31.09749386,45
46.001,186,46,46,31.05217697,45
47,174,47,47,14.41746776,45
48,175,48,48,17.04948442,45
49,180,49,49,21.08467561,45
50.001,177,50,50,32.15679743,45
51,222,51,51,25.02819677,45
52.001,203,52,52,29.96751521,45
53,179,53,53,32.04242738,45
53.999,203,54,54,25.50594932,45
55.001,221,55,55,27.77288049,45
56,217,56,56,34.06815334,45
57,224,57,57,29.96255347,45
58,233,58,58,21.99350752,45
59,245,59,59,20.01143253,45
60.001,199,60,60,29.01733496,45
61.001,218,61,61,16.00751873,45
62,225,62,62,33.29096503,45
63.001,195,63,63,22.20751591,45
64.001,223,64,64,37.73404402,45
65.001,186,65,65,40.97937508,45
66,185,66,66,35.07912447,45
67.001,134,67,67,36.59477014,45
68,149,68,68,25.53593828,45
69.001,134,69,69,40.0091621,45
70,93,70,70,35.05841433,45
71.001,100,71,71,27.01152041,45
72,112,72,72,41.02781553,45
73.001,93,73,73,30.02014952,45
74,92,74,74,31.07360527,45
75,91,75,75,37.09092469,45
76,88,76,76,35.53327619,45
77,92,77,77,28.84371962,45
78.001,86,78,78,29.99550967,45
79.001,87,79,79,26.04069379,45
80.001,105,80,80,25.53862345,45
81,120,81,81,28.97879911,45
82.001,110,82,82,33.03649872,45
83,105,83,83,37.75279382,45
84.001,96,84,84,33.98875992,45
85.001,82,85,85,39.93066262,45
86,67,86,86,36.64246635,45
87.001,49,87,87,33.01557014,45
88,48,88,88,36.99572699,45
89,40,89,89,33.01450327,45
90.001,34,90,90,31.02243543,45
91.001,21,91,91,35.53194261,45
92,26,92,92,34.02290762,45
93,20,93,93,39.95204423,45
94,20,94,94,41.09763565,45
95.001,23,95,95,38.05279064,45
96,16,96,96,35.52967022,45
97,16,97,97,48.94725444,45
98.001,11,98,98,24.04567717,45
99.001,13,99,99,42.21228826,45
100,16,100,100,28.88742526,45
101.001,17,101,101,31.09944536,45
102.001,15,102,102,21.02023618,45
103,21,103,103,39.87456348,45
104.001,11,104,104,38.83673547,45
