Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Dead time t / %,Voltage U / V
0,0,0,0,,,694.9453125
1,0,1,1,547.087654150694,3.82961357905486,698.825520833333
1.999,0,2,2,614.896318380439,4.30427422866307,701.541666666667
3,0,3,3,554.084166606336,3.87858916624435,701.153645833333
4.001,0,4,4,556.646712150176,3.89652698505123,702.705729166667
5.001,0,5,5,587.304280016023,4.11112996011216,703.869791666667
5.999,0,6,6,569.6714147294,3.9876999031058,701.541666666667
7.001,0,7,7,562.038123512432,3.93426686458702,701.153645833333
8.001,0,8,8,584.907643083157,4.0943535015821,700.377604166667
9.001,0,9,9,576.155744555856,4.03309021189099,702.317708333333
10,1,10,10,584.779070467178,4.09345349327024,706.973958333333
11.001,1,11,11,571.836226104844,4.0028535827339,701.541666666667
12.001,10,12,12,576.145015700452,4.03301510990316,698.825520833333
13,33,13,13,533.380353530102,3.73366247471072,699.213541666667
14.001,23,14,14,594.310065445025,4.16017045811518,701.541666666667
15,30,15,15,543.472766959979,3.80430936871985,702.317708333333
16,10,16,16,612.56887402646,4.28798211818522,705.421875
17,26,17,17,566.922671747574,3.96845870223302,699.6015625
18,32,18,18,610.614893208067,4.27430425245647,700.377604166667
19,44,19,19,589.413468108846,4.12589427676192,698.4375
20,34,20,20,580.905719001806,4.06634003301264,700.377604166667
21.001,43,21,21,584.845098726181,4.09391569108326,704.645833333333
22,32,22,22,563.622690348297,3.94535883243808,698.825520833333
23.001,42,23,23,587.418082105502,4.11192657473851,699.6015625
24,33,24,24,648.806202142905,4.54164341500033,701.153645833333
25,30,25,25,590.440054972971,4.1330803848108,706.197916666667
26,44,26,26,567.699435255713,3.97389604678999,703.09375
27.001,45,27,27,570.184806781744,3.99129364747221,708.9140625
28.001,34,28,28,581.408788519208,4.06986151963445,707.361979166667
29.001,41,29,29,582.739963205278,4.07917974243695,706.973958333333
30.001,31,30,30,535.050467913845,3.74535327539691,697.2734375
31.001,39,31,31,550.133737511589,3.85093616258112,701.9296875
32,40,32,32,613.318749976389,4.29323124983473,699.6015625
33,37,33,33,556.091482709717,3.89264037896802,707.361979166667
34.001,36,34,34,578.447892202933,4.04913524542053,705.809895833333
35,37,35,35,641.99591318042,4.49397139226294,702.705729166667
36.001,47,36,36,579.960240169649,4.05972168118754,699.989583333333
37,48,37,37,574.025027491199,4.01817519243839,704.645833333333
38,59,38,38,585.305044996297,4.09713531497408,704.2578125
39,36,39,39,599.965322004388,4.19975725403072,706.197916666667
40.001,41,40,40,609.012302048501,4.26308611433951,705.809895833333
41.001,47,41,41,570.917064080032,3.99641944856022,706.197916666667
42.001,42,42,42,598.005899955055,4.18604129968539,699.989583333333
43,44,43,43,534.154904922427,3.73908433445699,706.197916666667
44,55,44,44,576.241976330111,4.03369383431078,700.765625
45.001,49,45,45,559.863169441389,3.91904218608972,702.317708333333
46,39,46,46,556.732437194373,3.89712706036061,698.825520833333
47.001,43,47,47,566.479292234578,3.96535504564205,705.809895833333
48.001,56,48,48,564.691339713712,3.95283937799599,704.2578125
49,49,49,49,569.894569504642,3.98926198653249,701.9296875
50,54,50,50,582.338105504056,4.07636673852839,705.421875
51,51,51,51,582.771541567262,4.07940079097084,699.6015625
52,52,52,52,589.101561109135,4.12371092776395,701.541666666667
53.001,52,53,53,541.986578502036,3.79390604951425,702.705729166667
54,56,54,54,582.965157114118,4.08075609979883,707.361979166667
55,49,55,55,579.043548733836,4.05330484113685,699.989583333333
56,56,56,56,571.400087048608,3.99980060934025,702.317708333333
57,59,57,57,568.100012053339,3.97670008437337,708.138020833333
58,56,58,58,605.148559529907,4.23603991670935,703.09375
59,50,59,59,587.403957701712,4.11182770391198,701.9296875
60,61,60,60,556.061239545965,3.89242867682176,704.2578125
61.001,60,61,61,573.081686797086,4.0115718075796,708.138020833333
62,66,62,62,505.240949408773,3.53668664586141,700.377604166667
63.001,65,63,63,526.963850279871,3.6887469519591,700.765625
64,60,64,64,573.119495414794,4.01183646790356,706.197916666667
65,50,65,65,563.164049687674,3.94214834781372,707.361979166667
66,69,66,66,585.55119164658,4.09885834152606,702.705729166667
67.001,51,67,67,573.74730586589,4.01623114106123,700.377604166667
68,42,68,68,559.761044229786,3.9183273096085,701.541666666667
69,52,69,69,609.101804253715,4.263712629776,711.630208333333
70,52,70,70,583.352187395897,4.08346531177128,704.645833333333
71,54,71,71,598.318664520724,4.18823065164507,707.75
72,43,72,72,614.847878326147,4.30393514828303,704.645833333333
73.001,65,73,73,603.577631212463,4.22504341848724,702.705729166667
74,56,74,74,606.473403808653,4.24531382666057,703.09375
75.001,51,75,75,584.49575551172,4.09147028858204,705.809895833333
76.001,42,76,76,573.077549720308,4.01154284804216,706.5859375
77,46,77,77,585.714689063595,4.10000282344517,703.481770833333
78.001,51,78,78,526.378094497972,3.6846466614858,702.317708333333
79.001,56,79,79,584.822494356062,4.09375746049244,699.6015625
80,60,80,80,589.76271879947,4.12833903159629,705.809895833333
81,58,81,81,551.00421629315,3.85702951405205,710.466145833333
82,70,82,82,568.708797769595,3.98096158438717,706.973958333333
83,50,83,83,599.837843836216,4.19886490685351,702.705729166667
84,75,84,84,525.302574282787,3.67711801997951,704.2578125
85,94,85,85,526.391363983303,3.68473954788312,707.361979166667
86,76,86,86,594.677575629672,4.16274302940771,707.361979166667
87,77,87,87,602.049162469785,4.2143441372885,701.541666666667
87.999,92,88,88,577.386618079466,4.04170632655626,699.989583333333
89.001,76,89,89,600.262975209439,4.20184082646607,703.869791666667
90.001,83,90,90,589.549873166703,4.12684911216692,700.377604166667
91,91,91,91,593.483412487729,4.1543838874141,696.497395833333
92,98,92,92,588.062216982557,4.1164355188779,702.317708333333
93,113,93,93,595.383903541003,4.16768732478702,703.481770833333
94,109,94,94,551.637417035384,3.86146191924769,706.197916666667
95.001,96,95,95,564.228909001206,3.94960236300844,698.049479166667
96.001,68,96,96,548.753993584676,3.84127795509273,702.317708333333
97.001,92,97,97,578.748938710388,4.05124257097271,701.9296875
98,101,98,98,529.2279384731,3.7045955693117,702.317708333333
99.001,105,99,99,630.354895354984,4.41248426748489,701.541666666667
100,114,100,100,592.592177362839,4.14814524153987,707.361979166667
,103,101,101,,,
,96,102,102,,,
,115,103,103,,,
,90,104,104,,,
,89,105,105,,,
,91,106,106,,,
,101,107,107,,,
,83,108,108,,,
,87,109,109,,,
,70,110,110,,,
,69,111,111,,,
,75,112,112,,,
,81,113,113,,,
,80,114,114,,,
,89,115,115,,,
,71,116,116,,,
,50,117,117,,,
,76,118,118,,,
,65,119,119,,,
,76,120,120,,,
,67,121,121,,,
,67,122,122,,,
,63,123,123,,,
,75,124,124,,,
,62,125,125,,,
,72,126,126,,,
,75,127,127,,,
,61,128,128,,,
,59,129,129,,,
,70,130,130,,,
,69,131,131,,,
,74,132,132,,,
,65,133,133,,,
,54,134,134,,,
,70,135,135,,,
,59,136,136,,,
,62,137,137,,,
,84,138,138,,,
,49,139,139,,,
,65,140,140,,,
,76,141,141,,,
,81,142,142,,,
,72,143,143,,,
,84,144,144,,,
,87,145,145,,,
,58,146,146,,,
,75,147,147,,,
,75,148,148,,,
,73,149,149,,,
,70,150,150,,,
,70,151,151,,,
,68,152,152,,,
,62,153,153,,,
,75,154,154,,,
,68,155,155,,,
,62,156,156,,,
,66,157,157,,,
,64,158,158,,,
,62,159,159,,,
,72,160,160,,,
,67,161,161,,,
,57,162,162,,,
,75,163,163,,,
,64,164,164,,,
,63,165,165,,,
,81,166,166,,,
,70,167,167,,,
,72,168,168,,,
,66,169,169,,,
,65,170,170,,,
,76,171,171,,,
,69,172,172,,,
,69,173,173,,,
,70,174,174,,,
,75,175,175,,,
,76,176,176,,,
,61,177,177,,,
,69,178,178,,,
,68,179,179,,,
,74,180,180,,,
,77,181,181,,,
,79,182,182,,,
,72,183,183,,,
,79,184,184,,,
,74,185,185,,,
,64,186,186,,,
,81,187,187,,,
,81,188,188,,,
,96,189,189,,,
,63,190,190,,,
,95,191,191,,,
,73,192,192,,,
,71,193,193,,,
,78,194,194,,,
,90,195,195,,,
,64,196,196,,,
,69,197,197,,,
,77,198,198,,,
,76,199,199,,,
,76,200,200,,,
,82,201,201,,,
,74,202,202,,,
,75,203,203,,,
,91,204,204,,,
,78,205,205,,,
,102,206,206,,,
,67,207,207,,,
,79,208,208,,,
,87,209,209,,,
,93,210,210,,,
,78,211,211,,,
,90,212,212,,,
,91,213,213,,,
,65,214,214,,,
,101,215,215,,,
,102,216,216,,,
,86,217,217,,,
,92,218,218,,,
,85,219,219,,,
,82,220,220,,,
,104,221,221,,,
,78,222,222,,,
,91,223,223,,,
,89,224,224,,,
,105,225,225,,,
,99,226,226,,,
,92,227,227,,,
,86,228,228,,,
,73,229,229,,,
,95,230,230,,,
,88,231,231,,,
,106,232,232,,,
,74,233,233,,,
,91,234,234,,,
,104,235,235,,,
,86,236,236,,,
,76,237,237,,,
,95,238,238,,,
,76,239,239,,,
,78,240,240,,,
,87,241,241,,,
,70,242,242,,,
,79,243,243,,,
,72,244,244,,,
,78,245,245,,,
,82,246,246,,,
,71,247,247,,,
,74,248,248,,,
,89,249,249,,,
,69,250,250,,,
,82,251,251,,,
,87,252,252,,,
,75,253,253,,,
,84,254,254,,,
,89,255,255,,,
,71,256,256,,,
,71,257,257,,,
,84,258,258,,,
,73,259,259,,,
,86,260,260,,,
,81,261,261,,,
,82,262,262,,,
,78,263,263,,,
,68,264,264,,,
,84,265,265,,,
,68,266,266,,,
,73,267,267,,,
,70,268,268,,,
,81,269,269,,,
,75,270,270,,,
,70,271,271,,,
,65,272,272,,,
,68,273,273,,,
,71,274,274,,,
,70,275,275,,,
,67,276,276,,,
,65,277,277,,,
,72,278,278,,,
,80,279,279,,,
,86,280,280,,,
,95,281,281,,,
,83,282,282,,,
,78,283,283,,,
,59,284,284,,,
,67,285,285,,,
,81,286,286,,,
,91,287,287,,,
,66,288,288,,,
,72,289,289,,,
,57,290,290,,,
,62,291,291,,,
,74,292,292,,,
,85,293,293,,,
,75,294,294,,,
,95,295,295,,,
,63,296,296,,,
,63,297,297,,,
,60,298,298,,,
,68,299,299,,,
,82,300,300,,,
,58,301,301,,,
,77,302,302,,,
,53,303,303,,,
,74,304,304,,,
,60,305,305,,,
,56,306,306,,,
,69,307,307,,,
,61,308,308,,,
