Energy (keV),Counts
0.5,2184
1.5,815
2.5,635
3.5,506
4.5,434
5.5,418
6.5,399
7.5,343
8.5,307
9.5,299
10.5,288
11.5,277
12.5,233
13.5,240
14.5,239
15.5,242
16.5,206
17.5,198
18.5,201
19.5,201
20.5,179
21.5,193
22.5,167
23.5,171
24.5,157
25.5,191
26.5,156
27.5,151
28.5,143
29.5,151
30.5,130
31.5,134
32.5,131
33.5,126
34.5,141
35.5,113
36.5,140
37.5,133
38.5,122
39.5,118
40.5,112
41.5,101
42.5,107
43.5,111
44.5,113
45.5,113
46.5,119
47.5,117
48.5,99
49.5,98
50.5,92
51.5,76
52.5,99
53.5,97
54.5,108
55.5,88
56.5,79
57.5,99
58.5,95
59.5,92
60.5,94
61.5,97
62.5,84
63.5,105
64.5,87
65.5,83
66.5,98
67.5,90
68.5,87
69.5,93
70.5,89
71.5,92
72.5,90
73.5,89
74.5,75
75.5,72
76.5,78
77.5,80
78.5,87
79.5,78
80.5,81
81.5,63
82.5,56
83.5,71
84.5,61
85.5,73
86.5,68
87.5,65
88.5,75
89.5,59
90.5,71
91.5,73
92.5,65
93.5,61
94.5,54
95.5,65
96.5,63
97.5,63
98.5,68
99.5,85
100.5,67
101.5,69
102.5,65
103.5,60
104.5,60
105.5,62
106.5,62
107.5,57
108.5,59
109.5,56
110.5,64
111.5,50
112.5,53
113.5,64
114.5,45
115.5,66
116.5,45
117.5,49
118.5,44
119.5,62
120.5,39
121.5,54
122.5,43
123.5,45
124.5,36
125.5,37
126.5,41
127.5,56
128.5,39
129.5,51
130.5,56
131.5,38
132.5,40
133.5,43
134.5,43
135.5,35
136.5,44
137.5,35
138.5,35
139.5,33
140.5,41
141.5,49
142.5,43
143.5,44
144.5,42
145.5,52
146.5,39
147.5,44
148.5,38
149.5,47
150.5,43
151.5,47
152.5,50
153.5,46
154.5,41
155.5,58
156.5,50
157.5,47
158.5,41
159.5,74
160.5,59
161.5,64
162.5,65
163.5,65
164.5,62
165.5,84
166.5,95
167.5,107
168.5,121
169.5,132
170.5,138
171.5,157
172.5,173
173.5,198
174.5,182
175.5,208
176.5,224
177.5,261
178.5,291
179.5,296
180.5,292
181.5,344
182.5,314
183.5,321
184.5,362
185.5,342
186.5,356
187.5,389
188.5,396
189.5,319
190.5,343
191.5,355
192.5,361
193.5,378
194.5,358
195.5,336
196.5,318
197.5,312
198.5,290
199.5,328
200.5,302
201.5,265
202.5,297
203.5,275
204.5,266
205.5,267
206.5,231
207.5,240
208.5,247
209.5,244
210.5,214
211.5,248
212.5,209
213.5,222
214.5,214
215.5,196
216.5,210
217.5,209
218.5,186
219.5,200
220.5,199
221.5,182
222.5,181
223.5,180
224.5,171
225.5,170
226.5,170
227.5,160
228.5,179
229.5,163
230.5,157
231.5,154
232.5,160
233.5,186
234.5,156
235.5,184
236.5,153
237.5,162
238.5,147
239.5,173
240.5,152
241.5,158
242.5,156
243.5,160
244.5,140
245.5,141
246.5,128
247.5,135
248.5,140
249.5,140
250.5,156
251.5,145
252.5,148
253.5,129
254.5,125
255.5,129
256.5,161
257.5,137
258.5,147
259.5,121
260.5,116
261.5,118
262.5,121
263.5,144
264.5,134
265.5,135
266.5,142
267.5,127
268.5,117
269.5,160
270.5,135
271.5,149
272.5,116
273.5,132
274.5,139
275.5,126
276.5,136
277.5,127
278.5,118
279.5,143
280.5,124
281.5,120
282.5,121
283.5,136
284.5,138
285.5,128
286.5,135
287.5,144
288.5,158
289.5,135
290.5,131
291.5,148
292.5,140
293.5,139
294.5,147
295.5,144
296.5,142
297.5,157
298.5,153
299.5,148
300.5,161
301.5,139
302.5,129
303.5,136
304.5,131
305.5,132
306.5,144
307.5,161
308.5,134
309.5,158
310.5,137
311.5,151
312.5,154
313.5,133
314.5,125
315.5,125
316.5,126
317.5,141
318.5,131
319.5,110
320.5,126
321.5,114
322.5,116
323.5,114
324.5,109
325.5,114
326.5,105
327.5,101
328.5,91
329.5,100
330.5,115
331.5,122
332.5,108
333.5,103
334.5,107
335.5,84
336.5,87
337.5,79
338.5,93
339.5,93
340.5,94
341.5,84
342.5,79
343.5,96
344.5,86
345.5,96
346.5,76
347.5,79
348.5,95
349.5,88
350.5,90
351.5,78
352.5,101
353.5,108
354.5,80
355.5,84
356.5,100
357.5,95
