Energy (keV),Counts
0.5,1374
1.5,521
2.5,340
3.5,333
4.5,288
5.5,282
6.5,214
7.5,198
8.5,211
9.5,220
10.5,182
11.5,155
12.5,172
13.5,139
14.5,157
15.5,142
16.5,116
17.5,135
18.5,122
19.5,115
20.5,106
21.5,132
22.5,110
23.5,84
24.5,103
25.5,95
26.5,105
27.5,104
28.5,92
29.5,100
30.5,74
31.5,109
32.5,89
33.5,93
34.5,76
35.5,69
36.5,89
37.5,100
38.5,68
39.5,65
40.5,64
41.5,92
42.5,63
43.5,84
44.5,76
45.5,71
46.5,74
47.5,67
48.5,59
49.5,55
50.5,59
51.5,71
52.5,62
53.5,62
54.5,58
55.5,58
56.5,56
57.5,63
58.5,46
59.5,51
60.5,63
61.5,47
62.5,53
63.5,48
64.5,45
65.5,39
66.5,51
67.5,61
68.5,60
69.5,40
70.5,60
71.5,46
72.5,42
73.5,43
74.5,51
75.5,54
76.5,48
77.5,44
78.5,37
79.5,49
80.5,45
81.5,40
82.5,42
83.5,36
84.5,53
85.5,35
86.5,38
87.5,40
88.5,34
89.5,34
90.5,38
91.5,29
92.5,50
93.5,54
94.5,41
95.5,29
96.5,37
97.5,30
98.5,28
99.5,34
100.5,38
101.5,42
102.5,34
103.5,32
104.5,25
105.5,28
106.5,27
107.5,34
108.5,33
109.5,38
110.5,33
111.5,20
112.5,34
113.5,39
114.5,28
115.5,31
116.5,27
117.5,35
118.5,31
119.5,41
120.5,36
121.5,30
122.5,34
123.5,28
124.5,19
125.5,35
126.5,20
127.5,27
128.5,29
129.5,24
130.5,28
131.5,19
132.5,26
133.5,34
134.5,23
135.5,25
136.5,19
137.5,27
138.5,21
139.5,29
140.5,22
141.5,27
142.5,20
143.5,26
144.5,23
145.5,25
146.5,28
147.5,22
148.5,26
149.5,22
150.5,35
151.5,36
152.5,26
153.5,22
154.5,21
155.5,25
156.5,27
157.5,23
158.5,38
159.5,23
160.5,24
161.5,25
162.5,26
163.5,30
164.5,35
165.5,42
166.5,41
167.5,41
168.5,31
169.5,36
170.5,41
171.5,40
172.5,52
173.5,56
174.5,56
175.5,59
176.5,53
177.5,54
178.5,64
179.5,74
180.5,61
181.5,66
182.5,75
183.5,78
184.5,72
185.5,87
186.5,83
187.5,68
188.5,70
189.5,93
190.5,89
191.5,82
192.5,71
193.5,86
194.5,91
195.5,84
196.5,65
197.5,77
198.5,77
199.5,69
200.5,71
201.5,75
202.5,67
203.5,68
204.5,75
205.5,61
206.5,69
207.5,65
208.5,74
209.5,79
210.5,67
211.5,59
212.5,69
213.5,47
214.5,68
215.5,68
216.5,93
217.5,69
218.5,62
219.5,68
220.5,74
221.5,92
222.5,91
223.5,62
224.5,72
225.5,83
226.5,76
227.5,64
228.5,75
229.5,88
230.5,82
231.5,90
232.5,94
233.5,74
234.5,80
235.5,76
236.5,80
237.5,78
238.5,88
239.5,73
240.5,84
241.5,80
242.5,63
243.5,71
244.5,68
245.5,50
246.5,66
247.5,66
248.5,48
249.5,66
250.5,46
251.5,45
252.5,36
253.5,45
254.5,41
255.5,39
256.5,36
257.5,31
258.5,37
259.5,37
260.5,35
261.5,23
262.5,19
263.5,22
264.5,27
265.5,16
266.5,22
267.5,26
268.5,19
269.5,20
270.5,24
271.5,18
272.5,12
273.5,13
274.5,12
275.5,23
276.5,18
277.5,15
278.5,23
279.5,20
280.5,11
281.5,21
282.5,19
283.5,16
284.5,15
285.5,12
286.5,23
287.5,17
288.5,17
289.5,18
290.5,15
291.5,16
292.5,8
293.5,19
294.5,23
295.5,17
296.5,11
297.5,19
298.5,12
299.5,7
300.5,17
301.5,12
302.5,9
303.5,15
304.5,19
305.5,22
306.5,15
307.5,15
308.5,12
309.5,13
310.5,13
311.5,15
312.5,21
313.5,13
314.5,13
315.5,19
316.5,18
317.5,10
318.5,12
319.5,17
320.5,19
321.5,10
322.5,9
323.5,19
324.5,23
325.5,14
326.5,10
327.5,18
328.5,12
329.5,16
330.5,11
331.5,25
332.5,17
333.5,12
334.5,12
335.5,13
336.5,21
337.5,11
338.5,18
339.5,18
340.5,22
341.5,14
342.5,17
343.5,15
344.5,23
345.5,18
346.5,25
347.5,23
348.5,27
349.5,25
350.5,26
351.5,32
352.5,39
353.5,35
354.5,48
355.5,48
356.5,47
357.5,58
358.5,72
359.5,103
360.5,112
361.5,129
362.5,146
363.5,177
364.5,161
365.5,203
366.5,228
367.5,279
368.5,313
369.5,383
370.5,413
371.5,405
372.5,523
373.5,538
374.5,655
375.5,670
376.5,742
377.5,768
378.5,905
379.5,1010
380.5,1032
381.5,1156
382.5,1250
383.5,1290
384.5,1375
385.5,1468
386.5,1524
387.5,1611
388.5,1661
389.5,1877
390.5,1775
391.5,2026
392.5,2033
393.5,2009
394.5,2105
395.5,2064
396.5,2186
397.5,2180
398.5,2201
399.5,2284
400.5,2134
401.5,2141
402.5,2189
403.5,2073
404.5,2091
405.5,2136
406.5,1990
407.5,2059
408.5,1918
409.5,1829
410.5,1722
411.5,1690
412.5,1603
413.5,1536
414.5,1438
415.5,1304
416.5,1335
417.5,1101
418.5,1062
419.5,1013
420.5,936
421.5,881
422.5,718
423.5,728
424.5,594
425.5,574
426.5,508
427.5,460
428.5,440
429.5,364
430.5,329
431.5,324
432.5,248
433.5,215
434.5,200
435.5,190
436.5,191
437.5,151
438.5,131
439.5,122
440.5,92
441.5,86
442.5,59
443.5,62
444.5,48
445.5,53
446.5,45
447.5,39
448.5,40
449.5,33
450.5,27
451.5,32
452.5,18
453.5,27
454.5,15
455.5,13
456.5,20
457.5,22
458.5,16
459.5,20
460.5,15
461.5,22
462.5,21
463.5,22
464.5,19
465.5,20
466.5,23
467.5,19
468.5,22
469.5,19
470.5,16
471.5,19
472.5,25
473.5,13
474.5,23
475.5,21
476.5,20
477.5,17
478.5,23
479.5,15
480.5,22
481.5,15
482.5,17
483.5,16
484.5,15
485.5,19
486.5,22
487.5,22
488.5,14
489.5,17
490.5,18
491.5,16
492.5,25
493.5,16
494.5,19
495.5,20
496.5,19
497.5,13
498.5,23
499.5,12
500.5,22
501.5,20
502.5,18
503.5,13
504.5,22
505.5,24
506.5,20
507.5,18
508.5,24
509.5,23
510.5,25
511.5,19
512.5,18
513.5,20
514.5,17
515.5,13
516.5,17
517.5,30
518.5,27
519.5,33
520.5,29
521.5,20
522.5,17
523.5,21
524.5,27
525.5,28
526.5,30
527.5,24
528.5,25
529.5,15
530.5,25
531.5,20
532.5,18
533.5,19
534.5,23
535.5,32
536.5,23
537.5,27
538.5,18
539.5,32
540.5,28
541.5,22
542.5,24
543.5,27
544.5,20
