Energy (keV),Counts
0.5,1211
1.5,418
2.5,365
3.5,294
4.5,249
5.5,219
6.5,194
7.5,190
8.5,182
9.5,165
10.5,156
11.5,154
12.5,164
13.5,132
14.5,126
15.5,129
16.5,131
17.5,117
18.5,115
19.5,118
20.5,99
21.5,107
22.5,111
23.5,87
24.5,90
25.5,103
26.5,87
27.5,91
28.5,93
29.5,94
30.5,86
31.5,69
32.5,76
33.5,90
34.5,69
35.5,72
36.5,83
37.5,71
38.5,94
39.5,66
40.5,69
41.5,71
42.5,63
43.5,80
44.5,73
45.5,59
46.5,52
47.5,56
48.5,62
49.5,61
50.5,60
51.5,55
52.5,73
53.5,49
54.5,60
55.5,62
56.5,52
57.5,57
58.5,44
59.5,52
60.5,70
61.5,54
62.5,44
63.5,52
64.5,50
65.5,40
66.5,61
67.5,44
68.5,64
69.5,43
70.5,48
71.5,33
72.5,43
73.5,41
74.5,48
75.5,51
76.5,55
77.5,40
78.5,55
79.5,49
80.5,36
81.5,39
82.5,42
83.5,38
84.5,43
85.5,43
86.5,40
87.5,34
88.5,42
89.5,34
90.5,45
91.5,48
92.5,38
93.5,38
94.5,40
95.5,39
96.5,36
97.5,24
98.5,45
99.5,35
100.5,26
101.5,35
102.5,49
103.5,50
104.5,29
105.5,49
106.5,35
107.5,33
108.5,24
109.5,26
110.5,33
111.5,28
112.5,36
113.5,26
114.5,28
115.5,34
116.5,30
117.5,33
118.5,28
119.5,30
120.5,27
121.5,36
122.5,22
123.5,25
124.5,29
125.5,25
126.5,25
127.5,26
128.5,26
129.5,17
130.5,25
131.5,36
132.5,18
133.5,26
134.5,19
135.5,28
136.5,23
137.5,26
138.5,20
139.5,21
140.5,24
141.5,34
142.5,29
143.5,20
144.5,24
145.5,20
146.5,21
147.5,19
148.5,33
149.5,26
150.5,17
151.5,16
152.5,26
153.5,31
154.5,23
155.5,27
156.5,23
157.5,33
158.5,20
159.5,28
160.5,22
161.5,21
162.5,30
163.5,18
164.5,31
165.5,36
166.5,29
167.5,40
168.5,35
169.5,30
170.5,38
171.5,34
172.5,39
173.5,51
174.5,52
175.5,51
176.5,39
177.5,61
178.5,62
179.5,44
180.5,56
181.5,64
182.5,59
183.5,60
184.5,82
185.5,60
186.5,64
187.5,76
188.5,83
189.5,70
190.5,54
191.5,70
192.5,72
193.5,66
194.5,67
195.5,70
196.5,87
197.5,77
198.5,73
199.5,56
200.5,63
201.5,76
202.5,48
203.5,59
204.5,47
205.5,52
206.5,59
207.5,51
208.5,40
209.5,48
210.5,46
211.5,59
212.5,51
213.5,47
214.5,58
215.5,60
216.5,35
217.5,51
218.5,44
219.5,47
220.5,45
221.5,56
222.5,58
223.5,45
224.5,39
225.5,50
226.5,36
227.5,36
228.5,54
229.5,45
230.5,31
231.5,50
232.5,39
233.5,49
234.5,43
235.5,40
236.5,47
237.5,39
238.5,42
239.5,35
240.5,46
241.5,44
242.5,38
243.5,38
244.5,41
245.5,39
246.5,50
247.5,56
248.5,54
249.5,49
250.5,40
251.5,44
252.5,42
253.5,44
254.5,38
255.5,57
256.5,34
257.5,40
258.5,37
259.5,45
260.5,44
261.5,51
262.5,35
263.5,46
264.5,37
265.5,45
266.5,37
267.5,38
268.5,42
269.5,41
270.5,55
271.5,51
272.5,47
273.5,39
274.5,43
275.5,45
276.5,43
277.5,55
278.5,49
279.5,53
280.5,51
281.5,44
282.5,66
283.5,57
284.5,61
285.5,51
286.5,65
287.5,65
288.5,52
289.5,43
290.5,62
291.5,70
292.5,50
293.5,59
294.5,61
295.5,86
296.5,73
297.5,76
298.5,65
299.5,65
300.5,73
301.5,61
302.5,53
303.5,69
304.5,65
305.5,61
306.5,70
307.5,83
308.5,64
309.5,46
310.5,57
311.5,63
312.5,56
313.5,67
314.5,63
315.5,49
316.5,49
317.5,39
318.5,46
319.5,41
320.5,39
321.5,31
322.5,34
323.5,41
324.5,30
325.5,57
326.5,25
327.5,29
328.5,29
329.5,29
330.5,28
331.5,25
332.5,27
333.5,26
334.5,17
335.5,15
336.5,18
337.5,16
338.5,21
339.5,15
340.5,21
341.5,19
342.5,16
343.5,18
344.5,11
345.5,16
346.5,16
347.5,20
348.5,14
349.5,15
350.5,12
351.5,9
352.5,23
353.5,19
354.5,19
355.5,14
356.5,14
357.5,13
358.5,14
359.5,16
360.5,13
361.5,21
362.5,18
363.5,15
364.5,7
365.5,8
366.5,17
367.5,17
368.5,11
369.5,22
370.5,16
371.5,11
372.5,12
373.5,8
374.5,10
375.5,16
376.5,11
377.5,14
378.5,25
379.5,20
380.5,12
381.5,19
382.5,12
383.5,10
384.5,13
385.5,14
386.5,8
387.5,13
388.5,9
389.5,20
390.5,13
391.5,15
392.5,22
393.5,5
394.5,14
395.5,20
396.5,20
397.5,19
398.5,16
399.5,16
400.5,25
401.5,16
402.5,16
403.5,21
404.5,21
405.5,22
406.5,14
407.5,21
408.5,14
409.5,16
410.5,18
411.5,22
412.5,13
413.5,19
414.5,23
415.5,30
416.5,26
417.5,15
418.5,18
419.5,19
420.5,20
421.5,12
422.5,27
423.5,21
424.5,31
425.5,22
426.5,36
427.5,38
428.5,61
429.5,59
430.5,70
431.5,61
432.5,90
433.5,84
434.5,96
435.5,107
436.5,125
437.5,135
438.5,143
439.5,171
440.5,221
441.5,219
442.5,272
443.5,275
444.5,312
445.5,348
446.5,411
447.5,471
448.5,489
449.5,544
450.5,587
451.5,658
452.5,663
453.5,721
454.5,855
455.5,878
456.5,961
457.5,952
458.5,1062
459.5,1151
460.5,1233
461.5,1271
462.5,1320
463.5,1423
464.5,1493
465.5,1578
466.5,1611
467.5,1687
468.5,1794
469.5,1691
470.5,1830
471.5,1798
472.5,1864
473.5,1960
474.5,2005
475.5,1977
476.5,2031
477.5,2077
478.5,1919
479.5,2023
480.5,2020
481.5,2019
482.5,1897
483.5,1981
484.5,1893
485.5,1804
486.5,1759
487.5,1757
488.5,1659
489.5,1662
490.5,1494
491.5,1479
492.5,1413
493.5,1362
494.5,1269
495.5,1177
496.5,1048
497.5,1036
498.5,994
499.5,950
500.5,892
501.5,766
502.5,723
503.5,700
504.5,626
505.5,546
506.5,522
507.5,475
508.5,434
509.5,374
510.5,366
511.5,326
512.5,288
513.5,265
514.5,257
515.5,223
516.5,165
517.5,167
518.5,121
519.5,116
520.5,110
521.5,101
522.5,86
523.5,81
524.5,71
525.5,61
526.5,61
527.5,60
528.5,42
529.5,41
530.5,41
531.5,44
532.5,29
533.5,41
534.5,37
535.5,30
536.5,29
537.5,27
538.5,25
539.5,35
540.5,24
541.5,31
542.5,24
543.5,25
544.5,34
545.5,23
546.5,22
547.5,23
548.5,24
549.5,24
550.5,26
551.5,21
552.5,26
553.5,25
554.5,32
555.5,32
556.5,24
557.5,25
558.5,19
559.5,27
560.5,27
561.5,28
562.5,22
563.5,33
564.5,34
565.5,29
566.5,35
567.5,16
568.5,20
569.5,35
570.5,32
571.5,32
572.5,41
573.5,45
574.5,31
575.5,28
576.5,30
577.5,37
578.5,34
579.5,27
580.5,31
581.5,35
582.5,32
583.5,39
584.5,30
585.5,29
586.5,35
587.5,37
588.5,35
589.5,38
590.5,45
591.5,39
592.5,47
593.5,37
594.5,32
595.5,34
596.5,44
597.5,40
598.5,34
599.5,42
600.5,42
601.5,41
602.5,46
603.5,45
604.5,41
605.5,35
606.5,39
607.5,45
608.5,50
609.5,38
610.5,53
611.5,59
612.5,59
613.5,50
614.5,55
615.5,58
616.5,46
617.5,56
618.5,67
619.5,45
620.5,61
621.5,58
622.5,64
623.5,60
624.5,58
625.5,62
626.5,64
627.5,66
628.5,65
629.5,63
630.5,67
631.5,68
632.5,68
633.5,75
634.5,58
635.5,72
636.5,58
637.5,66
638.5,86
639.5,63
640.5,73
641.5,83
642.5,80
643.5,73
644.5,73
645.5,78
646.5,62
647.5,69
648.5,71
649.5,66
650.5,65
651.5,67
652.5,59
653.5,61
654.5,60
655.5,61
656.5,67
657.5,57
658.5,76
659.5,65
660.5,55
661.5,56
662.5,61
663.5,64
664.5,43
665.5,54
666.5,49
667.5,59
668.5,49
669.5,40
670.5,36
671.5,37
672.5,38
673.5,40
674.5,36
675.5,25
676.5,32
677.5,36
678.5,25
679.5,23
680.5,17
681.5,23
682.5,18
683.5,18
684.5,23
685.5,16
686.5,13
